maintained,technique,is,INFAROUP,and,the,number,is,40
cut,1,infaroup,40,infaroup,40,infaroup,40,25
cut,2,infaroup,40,infaroup,40,infaroup,40,25
cut,3,infaroup,40,infaroup,40,infaroup,40,25
cut,4,infaroup,40,infaroup,40,infaroup,40,25
cut,5,infaroup,40,infaroup,40,infaroup,40,10
cut,6,infaroup,40,infaroup,40,infaroup,40,0
cut,7,infaroup,40,infaroup,40,infaroup,40,0
cut,8,infaroup,40,infaroup,40,infaroup,40,0
cut,9,infaroup,40,infaroup,40,infaroup,40,0
cut,10,infaroup,40,infaroup,40,infaroup,40,0
cut,11,infaroup,40,infaroup,40,infaroup,40,0
cut,12,infaroup,40,infaroup,40,infaroup,40,210
cut,13,infaroup,40,infaroup,40,infaroup,40,10
cut,14,infaroup,40,infaroup,40,infaroup,40,10
cut,15,infaroup,40,infaroup,40,infaroup,40,5
cut,16,infaroup,40,infaroup,40,infaroup,40,15
cut,17,infaroup,40,infaroup,40,infaroup,40,15
cut,18,infaroup,40,infaroup,40,infaroup,40,0
cut,19,infaroup,40,infaroup,40,infaroup,40,0
cut,20,infaroup,40,infaroup,40,infaroup,40,0
cut,21,infaroup,40,infaroup,40,infaroup,40,5
cut,22,infaroup,40,infaroup,40,infaroup,40,15
cut,23,infaroup,40,infaroup,40,infaroup,40,10
cut,24,infaroup,40,infaroup,40,infaroup,40,25
cut,25,infaroup,40,infaroup,40,infaroup,40,5
cut,26,infaroup,40,infaroup,40,infaroup,40,0
cut,27,infaroup,40,infaroup,40,infaroup,40,10
cut,28,infaroup,40,infaroup,40,infaroup,40,-5
cut,29,infaroup,40,infaroup,40,infaroup,40,-5
cut,30,infaroup,40,infaroup,40,infaroup,40,0
cut,31,infaroup,40,infaroup,40,infaroup,40,-5
cut,32,infaroup,40,infaroup,40,infaroup,40,0
cut,33,infaroup,40,infaroup,40,infaroup,40,-5
cut,34,infaroup,40,infaroup,40,infaroup,40,-5
cut,35,infaroup,40,infaroup,40,infaroup,40,-5
cut,36,infaroup,40,infaroup,40,infaroup,40,0
cut,37,infaroup,40,infaroup,40,infaroup,40,0
cut,38,infaroup,40,infaroup,40,infaroup,40,10
cut,39,infaroup,40,infaroup,40,infaroup,40,0
cut,40,infaroup,40,infaroup,40,infaroup,40,25
cut,41,infaroup,40,infaroup,40,infaroup,40,-5
cut,42,infaroup,40,infaroup,40,infaroup,40,-5
cut,43,infaroup,40,infaroup,40,infaroup,40,-5
cut,44,infaroup,40,infaroup,40,infaroup,40,0
cut,45,infaroup,40,infaroup,40,infaroup,40,-5
cut,46,infaroup,40,infaroup,40,infaroup,40,5
cut,47,infaroup,40,infaroup,40,infaroup,40,5
cut,48,infaroup,40,infaroup,40,infaroup,40,5
cut,49,infaroup,40,infaroup,40,infaroup,40,5
cut,50,infaroup,40,infaroup,40,infaroup,40,5
cut,51,infaroup,40,infaroup,40,infaroup,40,15
slipcut,2,infaroup,40,infaroup,40,infaroup,40,135
slipcut,3,infaroup,40,infaroup,40,infaroup,40,135
slipcut,4,infaroup,40,infaroup,40,infaroup,40,135
slipcut,5,infaroup,40,infaroup,40,infaroup,40,125
slipcut,6,infaroup,40,infaroup,40,infaroup,40,115
slipcut,7,infaroup,40,infaroup,40,infaroup,40,105
slipcut,8,infaroup,40,infaroup,40,infaroup,40,95
slipcut,9,infaroup,40,infaroup,40,infaroup,40,85
slipcut,10,infaroup,40,infaroup,40,infaroup,40,75
slipcut,11,infaroup,40,infaroup,40,infaroup,40,70
slipcut,12,infaroup,40,infaroup,40,infaroup,40,70
slipcut,13,infaroup,40,infaroup,40,infaroup,40,65
slipcut,14,infaroup,40,infaroup,40,infaroup,40,60
slipcut,15,infaroup,40,infaroup,40,infaroup,40,55
slipcut,16,infaroup,40,infaroup,40,infaroup,40,50
slipcut,17,infaroup,40,infaroup,40,infaroup,40,45
slipcut,18,infaroup,40,infaroup,40,infaroup,40,40
slipcut,19,infaroup,40,infaroup,40,infaroup,40,30
slipcut,20,infaroup,40,infaroup,40,infaroup,40,20
slipcut,21,infaroup,40,infaroup,40,infaroup,40,10
slipcut,22,infaroup,40,infaroup,40,infaroup,40,10
slipcut,23,infaroup,40,infaroup,40,infaroup,40,15
slipcut,24,infaroup,40,infaroup,40,infaroup,40,10
slipcut,25,infaroup,40,infaroup,40,infaroup,40,5
slipcut,26,infaroup,40,infaroup,40,infaroup,40,5
slipcut,27,infaroup,40,infaroup,40,infaroup,40,5
slipcut,28,infaroup,40,infaroup,40,infaroup,40,0
slipcut,29,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,30,infaroup,40,infaroup,40,infaroup,40,0
slipcut,31,infaroup,40,infaroup,40,infaroup,40,0
slipcut,32,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,33,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,34,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,35,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,36,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,37,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,38,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,39,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,40,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,41,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,42,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,43,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,44,infaroup,40,infaroup,40,infaroup,40,-5
slipcut,45,infaroup,40,infaroup,40,infaroup,40,0
slipcut,46,infaroup,40,infaroup,40,infaroup,40,10
slipcut,47,infaroup,40,infaroup,40,infaroup,40,15
slipcut,48,infaroup,40,infaroup,40,infaroup,40,15
