maintained,technique,is,OUTFARO,and,the,number,is,20
cut,1,outfaro,20,outfaro,20,outfaro,20,110
cut,2,outfaro,20,outfaro,20,outfaro,20,100
cut,3,outfaro,20,outfaro,20,outfaro,20,90
cut,4,outfaro,20,outfaro,20,outfaro,20,80
cut,5,outfaro,20,outfaro,20,outfaro,20,70
cut,6,outfaro,20,outfaro,20,outfaro,20,60
cut,7,outfaro,20,outfaro,20,outfaro,20,50
cut,8,outfaro,20,outfaro,20,outfaro,20,40
cut,9,outfaro,20,outfaro,20,outfaro,20,30
cut,10,outfaro,20,outfaro,20,outfaro,20,20
cut,11,outfaro,20,outfaro,20,outfaro,20,10
cut,12,outfaro,20,outfaro,20,outfaro,20,0
cut,13,outfaro,20,outfaro,20,outfaro,20,0
cut,14,outfaro,20,outfaro,20,outfaro,20,0
cut,15,outfaro,20,outfaro,20,outfaro,20,0
cut,16,outfaro,20,outfaro,20,outfaro,20,0
cut,17,outfaro,20,outfaro,20,outfaro,20,0
cut,18,outfaro,20,outfaro,20,outfaro,20,0
cut,19,outfaro,20,outfaro,20,outfaro,20,0
cut,20,outfaro,20,outfaro,20,outfaro,20,0
cut,21,outfaro,20,outfaro,20,outfaro,20,0
cut,22,outfaro,20,outfaro,20,outfaro,20,0
cut,23,outfaro,20,outfaro,20,outfaro,20,0
cut,24,outfaro,20,outfaro,20,outfaro,20,0
cut,25,outfaro,20,outfaro,20,outfaro,20,0
cut,26,outfaro,20,outfaro,20,outfaro,20,0
cut,27,outfaro,20,outfaro,20,outfaro,20,0
cut,28,outfaro,20,outfaro,20,outfaro,20,0
cut,29,outfaro,20,outfaro,20,outfaro,20,0
cut,30,outfaro,20,outfaro,20,outfaro,20,0
cut,31,outfaro,20,outfaro,20,outfaro,20,0
cut,32,outfaro,20,outfaro,20,outfaro,20,0
cut,33,outfaro,20,outfaro,20,outfaro,20,0
cut,34,outfaro,20,outfaro,20,outfaro,20,0
cut,35,outfaro,20,outfaro,20,outfaro,20,0
cut,36,outfaro,20,outfaro,20,outfaro,20,0
cut,37,outfaro,20,outfaro,20,outfaro,20,0
cut,38,outfaro,20,outfaro,20,outfaro,20,0
cut,39,outfaro,20,outfaro,20,outfaro,20,0
cut,40,outfaro,20,outfaro,20,outfaro,20,0
cut,41,outfaro,20,outfaro,20,outfaro,20,10
cut,42,outfaro,20,outfaro,20,outfaro,20,20
cut,43,outfaro,20,outfaro,20,outfaro,20,30
cut,44,outfaro,20,outfaro,20,outfaro,20,40
cut,45,outfaro,20,outfaro,20,outfaro,20,50
cut,46,outfaro,20,outfaro,20,outfaro,20,60
cut,47,outfaro,20,outfaro,20,outfaro,20,70
cut,48,outfaro,20,outfaro,20,outfaro,20,80
cut,49,outfaro,20,outfaro,20,outfaro,20,90
cut,50,outfaro,20,outfaro,20,outfaro,20,100
cut,51,outfaro,20,outfaro,20,outfaro,20,110
slipcut,2,outfaro,20,outfaro,20,outfaro,20,120
slipcut,3,outfaro,20,outfaro,20,outfaro,20,120
slipcut,4,outfaro,20,outfaro,20,outfaro,20,120
slipcut,5,outfaro,20,outfaro,20,outfaro,20,120
slipcut,6,outfaro,20,outfaro,20,outfaro,20,120
slipcut,7,outfaro,20,outfaro,20,outfaro,20,120
slipcut,8,outfaro,20,outfaro,20,outfaro,20,120
slipcut,9,outfaro,20,outfaro,20,outfaro,20,120
slipcut,10,outfaro,20,outfaro,20,outfaro,20,120
slipcut,11,outfaro,20,outfaro,20,outfaro,20,120
slipcut,12,outfaro,20,outfaro,20,outfaro,20,120
slipcut,13,outfaro,20,outfaro,20,outfaro,20,120
slipcut,14,outfaro,20,outfaro,20,outfaro,20,120
slipcut,15,outfaro,20,outfaro,20,outfaro,20,120
slipcut,16,outfaro,20,outfaro,20,outfaro,20,120
slipcut,17,outfaro,20,outfaro,20,outfaro,20,120
slipcut,18,outfaro,20,outfaro,20,outfaro,20,130
slipcut,19,outfaro,20,outfaro,20,outfaro,20,120
slipcut,20,outfaro,20,outfaro,20,outfaro,20,120
slipcut,21,outfaro,20,outfaro,20,outfaro,20,120
slipcut,22,outfaro,20,outfaro,20,outfaro,20,120
slipcut,23,outfaro,20,outfaro,20,outfaro,20,120
slipcut,24,outfaro,20,outfaro,20,outfaro,20,120
slipcut,25,outfaro,20,outfaro,20,outfaro,20,120
slipcut,26,outfaro,20,outfaro,20,outfaro,20,120
slipcut,27,outfaro,20,outfaro,20,outfaro,20,120
slipcut,28,outfaro,20,outfaro,20,outfaro,20,120
slipcut,29,outfaro,20,outfaro,20,outfaro,20,120
slipcut,30,outfaro,20,outfaro,20,outfaro,20,120
