maintained,technique,is,PEALUP,and,the,number,is,40
cut,1,pealup,40,pealup,40,pealup,40,55
cut,2,pealup,40,pealup,40,pealup,40,50
cut,3,pealup,40,pealup,40,pealup,40,55
cut,4,pealup,40,pealup,40,pealup,40,50
cut,5,pealup,40,pealup,40,pealup,40,55
cut,6,pealup,40,pealup,40,pealup,40,50
cut,7,pealup,40,pealup,40,pealup,40,55
cut,8,pealup,40,pealup,40,pealup,40,50
cut,9,pealup,40,pealup,40,pealup,40,55
cut,10,pealup,40,pealup,40,pealup,40,50
cut,11,pealup,40,pealup,40,pealup,40,55
cut,12,pealup,40,pealup,40,pealup,40,50
cut,13,pealup,40,pealup,40,pealup,40,60
cut,14,pealup,40,pealup,40,pealup,40,50
cut,15,pealup,40,pealup,40,pealup,40,60
cut,16,pealup,40,pealup,40,pealup,40,50
cut,17,pealup,40,pealup,40,pealup,40,60
cut,18,pealup,40,pealup,40,pealup,40,50
cut,19,pealup,40,pealup,40,pealup,40,60
cut,20,pealup,40,pealup,40,pealup,40,50
cut,21,pealup,40,pealup,40,pealup,40,60
cut,22,pealup,40,pealup,40,pealup,40,50
cut,23,pealup,40,pealup,40,pealup,40,60
cut,24,pealup,40,pealup,40,pealup,40,50
cut,25,pealup,40,pealup,40,pealup,40,60
cut,26,pealup,40,pealup,40,pealup,40,50
cut,27,pealup,40,pealup,40,pealup,40,60
cut,28,pealup,40,pealup,40,pealup,40,50
cut,29,pealup,40,pealup,40,pealup,40,60
cut,30,pealup,40,pealup,40,pealup,40,50
cut,31,pealup,40,pealup,40,pealup,40,60
cut,32,pealup,40,pealup,40,pealup,40,50
cut,33,pealup,40,pealup,40,pealup,40,60
cut,34,pealup,40,pealup,40,pealup,40,50
cut,35,pealup,40,pealup,40,pealup,40,60
cut,36,pealup,40,pealup,40,pealup,40,50
cut,37,pealup,40,pealup,40,pealup,40,60
cut,38,pealup,40,pealup,40,pealup,40,50
cut,39,pealup,40,pealup,40,pealup,40,60
cut,40,pealup,40,pealup,40,pealup,40,50
cut,41,pealup,40,pealup,40,pealup,40,50
cut,42,pealup,40,pealup,40,pealup,40,45
cut,43,pealup,40,pealup,40,pealup,40,50
cut,44,pealup,40,pealup,40,pealup,40,45
cut,45,pealup,40,pealup,40,pealup,40,50
cut,46,pealup,40,pealup,40,pealup,40,45
cut,47,pealup,40,pealup,40,pealup,40,50
cut,48,pealup,40,pealup,40,pealup,40,45
cut,49,pealup,40,pealup,40,pealup,40,50
cut,50,pealup,40,pealup,40,pealup,40,45
cut,51,pealup,40,pealup,40,pealup,40,50
slipcut,2,pealup,40,pealup,40,pealup,40,90
slipcut,3,pealup,40,pealup,40,pealup,40,85
slipcut,4,pealup,40,pealup,40,pealup,40,80
slipcut,5,pealup,40,pealup,40,pealup,40,75
slipcut,6,pealup,40,pealup,40,pealup,40,70
slipcut,7,pealup,40,pealup,40,pealup,40,65
slipcut,8,pealup,40,pealup,40,pealup,40,60
slipcut,9,pealup,40,pealup,40,pealup,40,55
slipcut,10,pealup,40,pealup,40,pealup,40,50
slipcut,11,pealup,40,pealup,40,pealup,40,45
slipcut,12,pealup,40,pealup,40,pealup,40,45
slipcut,13,pealup,40,pealup,40,pealup,40,50
slipcut,14,pealup,40,pealup,40,pealup,40,50
slipcut,15,pealup,40,pealup,40,pealup,40,50
slipcut,16,pealup,40,pealup,40,pealup,40,50
slipcut,17,pealup,40,pealup,40,pealup,40,50
slipcut,18,pealup,40,pealup,40,pealup,40,50
slipcut,19,pealup,40,pealup,40,pealup,40,50
slipcut,20,pealup,40,pealup,40,pealup,40,50
slipcut,21,pealup,40,pealup,40,pealup,40,50
slipcut,22,pealup,40,pealup,40,pealup,40,50
slipcut,23,pealup,40,pealup,40,pealup,40,50
slipcut,24,pealup,40,pealup,40,pealup,40,50
slipcut,25,pealup,40,pealup,40,pealup,40,50
slipcut,26,pealup,40,pealup,40,pealup,40,50
slipcut,27,pealup,40,pealup,40,pealup,40,50
slipcut,28,pealup,40,pealup,40,pealup,40,50
slipcut,29,pealup,40,pealup,40,pealup,40,50
slipcut,30,pealup,40,pealup,40,pealup,40,50
slipcut,31,pealup,40,pealup,40,pealup,40,50
slipcut,32,pealup,40,pealup,40,pealup,40,50
slipcut,33,pealup,40,pealup,40,pealup,40,55
slipcut,34,pealup,40,pealup,40,pealup,40,55
slipcut,35,pealup,40,pealup,40,pealup,40,55
slipcut,36,pealup,40,pealup,40,pealup,40,55
slipcut,37,pealup,40,pealup,40,pealup,40,55
slipcut,38,pealup,40,pealup,40,pealup,40,55
