maintained,technique,is,SLIPCUT,and,the,number,is,20
cut,1,cut,20,cut,20,cut,20,235
cut,2,cut,20,cut,20,cut,20,235
cut,3,cut,20,cut,20,cut,20,235
cut,4,cut,20,cut,20,cut,20,235
cut,5,cut,20,cut,20,cut,20,235
cut,6,cut,20,cut,20,cut,20,235
cut,7,cut,20,cut,20,cut,20,235
cut,8,cut,20,cut,20,cut,20,235
cut,9,cut,20,cut,20,cut,20,235
cut,10,cut,20,cut,20,cut,20,235
cut,11,cut,20,cut,20,cut,20,235
cut,12,cut,20,cut,20,cut,20,240
cut,13,cut,20,cut,20,cut,20,235
cut,14,cut,20,cut,20,cut,20,235
cut,15,cut,20,cut,20,cut,20,235
cut,16,cut,20,cut,20,cut,20,235
cut,17,cut,20,cut,20,cut,20,235
cut,18,cut,20,cut,20,cut,20,235
cut,19,cut,20,cut,20,cut,20,235
cut,20,cut,20,cut,20,cut,20,235
cut,21,cut,20,cut,20,cut,20,235
cut,22,cut,20,cut,20,cut,20,235
cut,23,cut,20,cut,20,cut,20,235
cut,24,cut,20,cut,20,cut,20,235
cut,25,cut,20,cut,20,cut,20,235
cut,26,cut,20,cut,20,cut,20,235
cut,27,cut,20,cut,20,cut,20,235
cut,28,cut,20,cut,20,cut,20,255
cut,29,cut,20,cut,20,cut,20,235
cut,30,cut,20,cut,20,cut,20,235
cut,31,cut,20,cut,20,cut,20,235
cut,32,cut,20,cut,20,cut,20,235
cut,33,cut,20,cut,20,cut,20,235
cut,34,cut,20,cut,20,cut,20,235
cut,35,cut,20,cut,20,cut,20,235
cut,36,cut,20,cut,20,cut,20,235
cut,37,cut,20,cut,20,cut,20,235
cut,38,cut,20,cut,20,cut,20,235
cut,39,cut,20,cut,20,cut,20,235
cut,40,cut,20,cut,20,cut,20,235
cut,41,cut,20,cut,20,cut,20,235
cut,42,cut,20,cut,20,cut,20,235
cut,43,cut,20,cut,20,cut,20,235
cut,44,cut,20,cut,20,cut,20,400
cut,45,cut,20,cut,20,cut,20,235
cut,46,cut,20,cut,20,cut,20,235
cut,47,cut,20,cut,20,cut,20,235
cut,48,cut,20,cut,20,cut,20,320
cut,49,cut,20,cut,20,cut,20,235
cut,50,cut,20,cut,20,cut,20,235
cut,51,cut,20,cut,20,cut,20,235
slipcut,2,cut,20,cut,20,cut,20,225
slipcut,3,cut,20,cut,20,cut,20,225
slipcut,4,cut,20,cut,20,cut,20,230
slipcut,5,cut,20,cut,20,cut,20,225
slipcut,6,cut,20,cut,20,cut,20,225
slipcut,7,cut,20,cut,20,cut,20,225
slipcut,8,cut,20,cut,20,cut,20,230
slipcut,9,cut,20,cut,20,cut,20,230
slipcut,10,cut,20,cut,20,cut,20,225
slipcut,11,cut,20,cut,20,cut,20,225
slipcut,12,cut,20,cut,20,cut,20,225
slipcut,13,cut,20,cut,20,cut,20,225
slipcut,14,cut,20,cut,20,cut,20,225
slipcut,15,cut,20,cut,20,cut,20,225
slipcut,16,cut,20,cut,20,cut,20,225
slipcut,17,cut,20,cut,20,cut,20,225
slipcut,18,cut,20,cut,20,cut,20,225
slipcut,19,cut,20,cut,20,cut,20,225
slipcut,20,cut,20,cut,20,cut,20,235
slipcut,21,cut,20,cut,20,cut,20,225
slipcut,22,cut,20,cut,20,cut,20,225
slipcut,23,cut,20,cut,20,cut,20,225
slipcut,24,cut,20,cut,20,cut,20,225
slipcut,25,cut,20,cut,20,cut,20,230
slipcut,26,cut,20,cut,20,cut,20,225
slipcut,27,cut,20,cut,20,cut,20,225
slipcut,28,cut,20,cut,20,cut,20,225
slipcut,29,cut,20,cut,20,cut,20,225
slipcut,30,cut,20,cut,20,cut,20,225
slipcut,31,cut,20,cut,20,cut,20,225
slipcut,32,cut,20,cut,20,cut,20,225
slipcut,33,cut,20,cut,20,cut,20,225
slipcut,34,cut,20,cut,20,cut,20,225
slipcut,35,cut,20,cut,20,cut,20,225
slipcut,36,cut,20,cut,20,cut,20,225
slipcut,37,cut,20,cut,20,cut,20,225
slipcut,38,cut,20,cut,20,cut,20,225
slipcut,39,cut,20,cut,20,cut,20,225
slipcut,40,cut,20,cut,20,cut,20,225
slipcut,41,cut,20,cut,20,cut,20,225
slipcut,42,cut,20,cut,20,cut,20,225
slipcut,43,cut,20,cut,20,cut,20,225
slipcut,44,cut,20,cut,20,cut,20,225
slipcut,45,cut,20,cut,20,cut,20,225
slipcut,46,cut,20,cut,20,cut,20,225
slipcut,47,cut,20,cut,20,cut,20,225
slipcut,48,cut,20,cut,20,cut,20,225
slipcut,49,cut,20,cut,20,cut,20,225
slipcut,50,cut,20,cut,20,cut,20,225
slipcut,51,cut,20,cut,20,cut,20,225
slipcut,2,cut,20,cut,20,cut,20,225
slipcut,3,cut,20,cut,20,cut,20,225
slipcut,4,cut,20,cut,20,cut,20,225
slipcut,5,cut,20,cut,20,cut,20,225
slipcut,6,cut,20,cut,20,cut,20,225
slipcut,7,cut,20,cut,20,cut,20,225
slipcut,8,cut,20,cut,20,cut,20,225
slipcut,9,cut,20,cut,20,cut,20,225
slipcut,10,cut,20,cut,20,cut,20,225
slipcut,11,cut,20,cut,20,cut,20,225
