maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,cut,30,cut,1,245
cut,30,cut,30,cut,30,cut,2,245
cut,30,cut,30,cut,30,cut,3,245
cut,30,cut,30,cut,30,cut,4,245
cut,30,cut,30,cut,30,cut,5,245
cut,30,cut,30,cut,30,cut,6,245
cut,30,cut,30,cut,30,cut,7,245
cut,30,cut,30,cut,30,cut,8,245
cut,30,cut,30,cut,30,cut,9,245
cut,30,cut,30,cut,30,cut,10,245
cut,30,cut,30,cut,30,cut,11,245
cut,30,cut,30,cut,30,cut,12,245
cut,30,cut,30,cut,30,cut,13,245
cut,30,cut,30,cut,30,cut,14,245
cut,30,cut,30,cut,30,cut,15,245
cut,30,cut,30,cut,30,cut,16,245
cut,30,cut,30,cut,30,cut,17,245
cut,30,cut,30,cut,30,cut,18,245
cut,30,cut,30,cut,30,cut,19,245
cut,30,cut,30,cut,30,cut,20,245
cut,30,cut,30,cut,30,cut,21,245
cut,30,cut,30,cut,30,cut,22,245
cut,30,cut,30,cut,30,cut,23,245
cut,30,cut,30,cut,30,cut,24,245
cut,30,cut,30,cut,30,cut,25,245
cut,30,cut,30,cut,30,cut,26,245
cut,30,cut,30,cut,30,cut,27,245
cut,30,cut,30,cut,30,cut,28,245
cut,30,cut,30,cut,30,cut,29,245
cut,30,cut,30,cut,30,cut,30,510
cut,30,cut,30,cut,30,cut,31,245
cut,30,cut,30,cut,30,cut,32,245
cut,30,cut,30,cut,30,cut,33,245
cut,30,cut,30,cut,30,cut,34,245
cut,30,cut,30,cut,30,cut,35,245
cut,30,cut,30,cut,30,cut,36,245
cut,30,cut,30,cut,30,cut,37,245
cut,30,cut,30,cut,30,cut,38,245
cut,30,cut,30,cut,30,cut,39,245
cut,30,cut,30,cut,30,cut,40,245
cut,30,cut,30,cut,30,cut,41,245
cut,30,cut,30,cut,30,cut,42,245
cut,30,cut,30,cut,30,cut,43,245
cut,30,cut,30,cut,30,cut,44,245
cut,30,cut,30,cut,30,cut,45,245
cut,30,cut,30,cut,30,cut,46,245
cut,30,cut,30,cut,30,cut,47,245
cut,30,cut,30,cut,30,cut,48,245
cut,30,cut,30,cut,30,cut,49,245
cut,30,cut,30,cut,30,cut,50,245
cut,30,cut,30,cut,30,cut,51,245
cut,30,cut,30,cut,30,slipcut,2,235
cut,30,cut,30,cut,30,slipcut,3,235
cut,30,cut,30,cut,30,slipcut,4,235
cut,30,cut,30,cut,30,slipcut,5,235
cut,30,cut,30,cut,30,slipcut,6,235
cut,30,cut,30,cut,30,slipcut,7,235
cut,30,cut,30,cut,30,slipcut,8,235
cut,30,cut,30,cut,30,slipcut,9,235
cut,30,cut,30,cut,30,slipcut,10,235
cut,30,cut,30,cut,30,slipcut,11,235
cut,30,cut,30,cut,30,slipcut,12,235
cut,30,cut,30,cut,30,slipcut,13,235
cut,30,cut,30,cut,30,slipcut,14,235
cut,30,cut,30,cut,30,slipcut,15,235
cut,30,cut,30,cut,30,slipcut,16,235
cut,30,cut,30,cut,30,slipcut,17,235
cut,30,cut,30,cut,30,slipcut,18,235
cut,30,cut,30,cut,30,slipcut,19,235
cut,30,cut,30,cut,30,slipcut,20,235
cut,30,cut,30,cut,30,slipcut,21,235
cut,30,cut,30,cut,30,slipcut,22,235
cut,30,cut,30,cut,30,slipcut,23,240
cut,30,cut,30,cut,30,slipcut,24,235
cut,30,cut,30,cut,30,slipcut,25,235
cut,30,cut,30,cut,30,slipcut,26,235
cut,30,cut,30,cut,30,slipcut,27,235
cut,30,cut,30,cut,30,slipcut,28,235
cut,30,cut,30,cut,30,slipcut,29,235
cut,30,cut,30,cut,30,slipcut,30,240
cut,30,cut,30,cut,30,slipcut,31,235
cut,30,cut,30,cut,30,slipcut,32,235
cut,30,cut,30,cut,30,slipcut,33,235
cut,30,cut,30,cut,30,slipcut,34,235
cut,30,cut,30,cut,30,slipcut,35,235
cut,30,cut,30,cut,30,slipcut,36,235
cut,30,cut,30,cut,30,slipcut,37,235
cut,30,cut,30,cut,30,slipcut,38,235
cut,30,cut,30,cut,30,slipcut,39,235
cut,30,cut,30,cut,30,slipcut,40,235
cut,30,cut,30,cut,30,slipcut,41,235
cut,30,cut,30,cut,30,slipcut,42,235
cut,30,cut,30,cut,30,slipcut,43,235
cut,30,cut,30,cut,30,slipcut,44,235
cut,30,cut,30,cut,30,slipcut,45,235
cut,30,cut,30,cut,30,slipcut,46,235
cut,30,cut,30,cut,30,slipcut,47,235
cut,30,cut,30,cut,30,slipcut,48,235
cut,30,cut,30,cut,30,slipcut,49,235
cut,30,cut,30,cut,30,slipcut,50,235
cut,30,cut,30,cut,30,slipcut,51,235
cut,30,cut,30,cut,30,slipcut,2,235
cut,30,cut,30,cut,30,slipcut,3,235
cut,30,cut,30,cut,30,slipcut,4,235
cut,30,cut,30,cut,30,slipcut,5,235
cut,30,cut,30,cut,30,slipcut,6,235
cut,30,cut,30,cut,30,slipcut,7,235
cut,30,cut,30,cut,30,slipcut,8,235
cut,30,cut,30,cut,30,slipcut,9,235
cut,30,cut,30,cut,30,slipcut,10,235
cut,30,cut,30,cut,30,slipcut,11,235
cut,30,cut,30,cut,30,slipcut,12,235
cut,30,cut,30,cut,30,slipcut,13,235
cut,30,cut,30,cut,30,slipcut,14,235
cut,30,cut,30,cut,30,slipcut,15,235
cut,30,cut,30,cut,30,slipcut,16,235
cut,30,cut,30,cut,30,slipcut,17,235
cut,30,cut,30,cut,30,slipcut,18,235
cut,30,cut,30,cut,30,slipcut,19,235
cut,30,cut,30,cut,30,slipcut,20,235
cut,30,cut,30,cut,30,slipcut,21,235
cut,30,cut,30,cut,30,slipcut,22,240
cut,30,cut,30,cut,30,slipcut,23,235
cut,30,cut,30,cut,30,slipcut,24,235
cut,30,cut,30,cut,30,slipcut,25,235
cut,30,cut,30,cut,30,slipcut,26,235
cut,30,cut,30,cut,30,slipcut,27,235
cut,30,cut,30,cut,30,slipcut,28,235
cut,30,cut,30,cut,30,slipcut,29,235
cut,30,cut,30,cut,30,slipcut,30,235
cut,30,cut,30,cut,30,slipcut,31,240
cut,30,cut,30,cut,30,slipcut,32,235
cut,30,cut,30,cut,30,slipcut,33,235
cut,30,cut,30,cut,30,slipcut,34,235
cut,30,cut,30,cut,30,slipcut,35,235
cut,30,cut,30,cut,30,slipcut,36,235
cut,30,cut,30,cut,30,slipcut,37,235
cut,30,cut,30,cut,30,slipcut,38,235
cut,30,cut,30,cut,30,slipcut,39,235
cut,30,cut,30,cut,30,slipcut,40,235
cut,30,cut,30,cut,30,slipcut,41,235
cut,30,cut,30,cut,30,slipcut,42,235
cut,30,cut,30,cut,30,slipcut,43,235
cut,30,cut,30,cut,30,slipcut,44,235
cut,30,cut,30,cut,30,slipcut,45,235
cut,30,cut,30,cut,30,slipcut,46,235
cut,30,cut,30,cut,30,slipcut,47,235
cut,30,cut,30,cut,30,slipcut,48,235
cut,30,cut,30,cut,30,slipcut,49,235
cut,30,cut,30,cut,30,slipcut,50,235
cut,30,cut,30,cut,30,slipcut,51,235
cut,30,cut,30,cut,30,peal,2,235
cut,30,cut,30,cut,30,peal,3,230
cut,30,cut,30,cut,30,peal,4,225
cut,30,cut,30,cut,30,peal,5,220
cut,30,cut,30,cut,30,peal,6,215
cut,30,cut,30,cut,30,peal,7,210
cut,30,cut,30,cut,30,peal,8,205
cut,30,cut,30,cut,30,peal,9,200
cut,30,cut,30,cut,30,peal,10,195
cut,30,cut,30,cut,30,peal,11,190
cut,30,cut,30,cut,30,peal,12,185
cut,30,cut,30,cut,30,peal,13,180
cut,30,cut,30,cut,30,peal,14,175
cut,30,cut,30,cut,30,peal,15,170
cut,30,cut,30,cut,30,peal,16,165
cut,30,cut,30,cut,30,peal,17,160
cut,30,cut,30,cut,30,peal,18,155
cut,30,cut,30,cut,30,peal,19,150
cut,30,cut,30,cut,30,peal,20,145
cut,30,cut,30,cut,30,peal,21,140
cut,30,cut,30,cut,30,peal,22,135
cut,30,cut,30,cut,30,peal,23,135
cut,30,cut,30,cut,30,peal,24,125
cut,30,cut,30,cut,30,peal,25,125
cut,30,cut,30,cut,30,peal,26,115
cut,30,cut,30,cut,30,peal,27,115
cut,30,cut,30,cut,30,peal,28,105
cut,30,cut,30,cut,30,peal,29,105
cut,30,cut,30,cut,30,peal,30,100
cut,30,cut,30,cut,30,peal,31,105
cut,30,cut,30,cut,30,peal,32,90
cut,30,cut,30,cut,30,peal,33,95
cut,30,cut,30,cut,30,peal,34,80
cut,30,cut,30,cut,30,peal,35,85
cut,30,cut,30,cut,30,peal,36,70
cut,30,cut,30,cut,30,peal,37,75
cut,30,cut,30,cut,30,peal,38,60
cut,30,cut,30,cut,30,peal,39,65
cut,30,cut,30,cut,30,peal,40,50
cut,30,cut,30,cut,30,peal,41,55
cut,30,cut,30,cut,30,peal,42,40
cut,30,cut,30,cut,30,peal,43,45
cut,30,cut,30,cut,30,peal,44,30
cut,30,cut,30,cut,30,peal,45,35
cut,30,cut,30,cut,30,peal,46,20
cut,30,cut,30,cut,30,peal,47,25
cut,30,cut,30,cut,30,peal,48,10
cut,30,cut,30,cut,30,peal,49,15
cut,30,cut,30,cut,30,peal,50,0
cut,30,cut,30,cut,30,peal,51,5
cut,30,cut,30,cut,30,pealup,2,235
cut,30,cut,30,cut,30,pealup,3,230
cut,30,cut,30,cut,30,pealup,4,225
cut,30,cut,30,cut,30,pealup,5,220
cut,30,cut,30,cut,30,pealup,6,215
cut,30,cut,30,cut,30,pealup,7,210
cut,30,cut,30,cut,30,pealup,8,205
cut,30,cut,30,cut,30,pealup,9,200
cut,30,cut,30,cut,30,pealup,10,195
cut,30,cut,30,cut,30,pealup,11,190
cut,30,cut,30,cut,30,pealup,12,185
cut,30,cut,30,cut,30,pealup,13,180
cut,30,cut,30,cut,30,pealup,14,175
cut,30,cut,30,cut,30,pealup,15,170
cut,30,cut,30,cut,30,pealup,16,165
cut,30,cut,30,cut,30,pealup,17,160
cut,30,cut,30,cut,30,pealup,18,155
cut,30,cut,30,cut,30,pealup,19,150
cut,30,cut,30,cut,30,pealup,20,145
cut,30,cut,30,cut,30,pealup,21,140
cut,30,cut,30,cut,30,pealup,22,140
cut,30,cut,30,cut,30,pealup,23,140
cut,30,cut,30,cut,30,pealup,24,130
cut,30,cut,30,cut,30,pealup,25,130
cut,30,cut,30,cut,30,pealup,26,120
cut,30,cut,30,cut,30,pealup,27,120
cut,30,cut,30,cut,30,pealup,28,110
cut,30,cut,30,cut,30,pealup,29,110
cut,30,cut,30,cut,30,pealup,30,100
cut,30,cut,30,cut,30,pealup,31,105
cut,30,cut,30,cut,30,pealup,32,90
cut,30,cut,30,cut,30,pealup,33,95
cut,30,cut,30,cut,30,pealup,34,80
cut,30,cut,30,cut,30,pealup,35,85
cut,30,cut,30,cut,30,pealup,36,70
cut,30,cut,30,cut,30,pealup,37,75
cut,30,cut,30,cut,30,pealup,38,60
cut,30,cut,30,cut,30,pealup,39,65
cut,30,cut,30,cut,30,pealup,40,50
cut,30,cut,30,cut,30,pealup,41,55
cut,30,cut,30,cut,30,pealup,42,40
cut,30,cut,30,cut,30,pealup,43,45
cut,30,cut,30,cut,30,pealup,44,30
cut,30,cut,30,cut,30,pealup,45,35
cut,30,cut,30,cut,30,pealup,46,20
cut,30,cut,30,cut,30,pealup,47,25
cut,30,cut,30,cut,30,pealup,48,10
cut,30,cut,30,cut,30,pealup,49,15
cut,30,cut,30,cut,30,pealup,50,0
cut,30,cut,30,cut,30,pealup,51,5
cut,30,cut,30,cut,30,infaro,10,145
cut,30,cut,30,cut,30,infaro,11,135
cut,30,cut,30,cut,30,infaro,12,125
cut,30,cut,30,cut,30,infaro,13,115
cut,30,cut,30,cut,30,infaro,14,105
cut,30,cut,30,cut,30,infaro,15,100
cut,30,cut,30,cut,30,infaro,16,90
cut,30,cut,30,cut,30,infaro,17,80
cut,30,cut,30,cut,30,infaro,18,70
cut,30,cut,30,cut,30,infaro,19,60
cut,30,cut,30,cut,30,infaro,20,50
cut,30,cut,30,cut,30,infaro,21,40
cut,30,cut,30,cut,30,infaro,22,35
cut,30,cut,30,cut,30,infaro,23,25
cut,30,cut,30,cut,30,infaro,24,15
cut,30,cut,30,cut,30,infaro,25,5
cut,30,cut,30,cut,30,infaro,26,0
cut,30,cut,30,cut,30,infaro,27,10
cut,30,cut,30,cut,30,infaro,28,20
cut,30,cut,30,cut,30,infaro,29,30
cut,30,cut,30,cut,30,infaro,30,85
cut,30,cut,30,cut,30,infaro,31,45
cut,30,cut,30,cut,30,infaro,32,55
cut,30,cut,30,cut,30,infaro,33,65
cut,30,cut,30,cut,30,infaro,34,75
cut,30,cut,30,cut,30,infaro,35,85
cut,30,cut,30,cut,30,infaro,36,95
cut,30,cut,30,cut,30,infaro,37,105
cut,30,cut,30,cut,30,infaro,38,115
cut,30,cut,30,cut,30,infaro,39,125
cut,30,cut,30,cut,30,infaro,40,135
cut,30,cut,30,cut,30,infaro,41,140
cut,30,cut,30,cut,30,infaro,42,150
cut,30,cut,30,cut,30,infaroup,10,145
cut,30,cut,30,cut,30,infaroup,11,140
cut,30,cut,30,cut,30,infaroup,12,130
cut,30,cut,30,cut,30,infaroup,13,120
cut,30,cut,30,cut,30,infaroup,14,110
cut,30,cut,30,cut,30,infaroup,15,100
cut,30,cut,30,cut,30,infaroup,16,90
cut,30,cut,30,cut,30,infaroup,17,80
cut,30,cut,30,cut,30,infaroup,18,70
cut,30,cut,30,cut,30,infaroup,19,60
cut,30,cut,30,cut,30,infaroup,20,50
cut,30,cut,30,cut,30,infaroup,21,40
cut,30,cut,30,cut,30,infaroup,22,35
cut,30,cut,30,cut,30,infaroup,23,25
cut,30,cut,30,cut,30,infaroup,24,15
cut,30,cut,30,cut,30,infaroup,25,5
cut,30,cut,30,cut,30,infaroup,26,0
cut,30,cut,30,cut,30,infaroup,27,10
cut,30,cut,30,cut,30,infaroup,28,20
cut,30,cut,30,cut,30,infaroup,29,30
cut,30,cut,30,cut,30,infaroup,30,35
cut,30,cut,30,cut,30,infaroup,31,45
cut,30,cut,30,cut,30,infaroup,32,55
cut,30,cut,30,cut,30,infaroup,33,65
cut,30,cut,30,cut,30,infaroup,34,75
cut,30,cut,30,cut,30,infaroup,35,85
cut,30,cut,30,cut,30,infaroup,36,95
cut,30,cut,30,cut,30,infaroup,37,100
cut,30,cut,30,cut,30,infaroup,38,110
cut,30,cut,30,cut,30,infaroup,39,120
cut,30,cut,30,cut,30,infaroup,40,130
cut,30,cut,30,cut,30,infaroup,41,140
cut,30,cut,30,cut,30,infaroup,42,150
cut,30,cut,30,cut,30,outfaro,10,150
cut,30,cut,30,cut,30,outfaro,11,140
cut,30,cut,30,cut,30,outfaro,12,130
cut,30,cut,30,cut,30,outfaro,13,120
cut,30,cut,30,cut,30,outfaro,14,110
cut,30,cut,30,cut,30,outfaro,15,100
cut,30,cut,30,cut,30,outfaro,16,95
cut,30,cut,30,cut,30,outfaro,17,85
cut,30,cut,30,cut,30,outfaro,18,75
cut,30,cut,30,cut,30,outfaro,19,65
cut,30,cut,30,cut,30,outfaro,20,55
cut,30,cut,30,cut,30,outfaro,21,45
cut,30,cut,30,cut,30,outfaro,22,35
cut,30,cut,30,cut,30,outfaro,23,30
