maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,cut,30,cut,1,500
cut,30,cut,30,cut,30,cut,2,500
cut,30,cut,30,cut,30,cut,3,500
cut,30,cut,30,cut,30,cut,4,500
cut,30,cut,30,cut,30,cut,5,500
cut,30,cut,30,cut,30,cut,6,500
cut,30,cut,30,cut,30,cut,7,500
cut,30,cut,30,cut,30,cut,8,500
cut,30,cut,30,cut,30,cut,9,500
cut,30,cut,30,cut,30,cut,10,500
cut,30,cut,30,cut,30,cut,11,500
cut,30,cut,30,cut,30,cut,12,500
cut,30,cut,30,cut,30,cut,13,500
cut,30,cut,30,cut,30,cut,14,500
cut,30,cut,30,cut,30,cut,15,500
cut,30,cut,30,cut,30,cut,16,500
cut,30,cut,30,cut,30,cut,17,500
cut,30,cut,30,cut,30,cut,18,500
cut,30,cut,30,cut,30,cut,19,500
cut,30,cut,30,cut,30,cut,20,500
cut,30,cut,30,cut,30,cut,21,500
cut,30,cut,30,cut,30,cut,22,500
cut,30,cut,30,cut,30,cut,23,500
cut,30,cut,30,cut,30,cut,24,500
cut,30,cut,30,cut,30,cut,25,500
cut,30,cut,30,cut,30,cut,26,500
cut,30,cut,30,cut,30,cut,27,500
cut,30,cut,30,cut,30,cut,28,500
cut,30,cut,30,cut,30,cut,29,500
cut,30,cut,30,cut,30,cut,30,510
cut,30,cut,30,cut,30,cut,31,500
cut,30,cut,30,cut,30,cut,32,500
cut,30,cut,30,cut,30,cut,33,500
cut,30,cut,30,cut,30,cut,34,500
cut,30,cut,30,cut,30,cut,35,500
cut,30,cut,30,cut,30,cut,36,500
cut,30,cut,30,cut,30,cut,37,500
cut,30,cut,30,cut,30,cut,38,500
cut,30,cut,30,cut,30,cut,39,500
cut,30,cut,30,cut,30,cut,40,500
cut,30,cut,30,cut,30,cut,41,500
cut,30,cut,30,cut,30,cut,42,500
cut,30,cut,30,cut,30,cut,43,500
cut,30,cut,30,cut,30,cut,44,500
cut,30,cut,30,cut,30,cut,45,500
cut,30,cut,30,cut,30,cut,46,500
cut,30,cut,30,cut,30,cut,47,500
cut,30,cut,30,cut,30,cut,48,500
cut,30,cut,30,cut,30,cut,49,500
cut,30,cut,30,cut,30,cut,50,500
cut,30,cut,30,cut,30,cut,51,500
cut,30,cut,30,cut,30,slipcut,2,480
cut,30,cut,30,cut,30,slipcut,3,480
cut,30,cut,30,cut,30,slipcut,4,480
cut,30,cut,30,cut,30,slipcut,5,480
cut,30,cut,30,cut,30,slipcut,6,480
cut,30,cut,30,cut,30,slipcut,7,480
cut,30,cut,30,cut,30,slipcut,8,480
cut,30,cut,30,cut,30,slipcut,9,480
cut,30,cut,30,cut,30,slipcut,10,480
cut,30,cut,30,cut,30,slipcut,11,480
cut,30,cut,30,cut,30,slipcut,12,480
cut,30,cut,30,cut,30,slipcut,13,480
cut,30,cut,30,cut,30,slipcut,14,480
cut,30,cut,30,cut,30,slipcut,15,480
cut,30,cut,30,cut,30,slipcut,16,480
cut,30,cut,30,cut,30,slipcut,17,480
cut,30,cut,30,cut,30,slipcut,18,480
cut,30,cut,30,cut,30,slipcut,19,480
cut,30,cut,30,cut,30,slipcut,20,480
cut,30,cut,30,cut,30,slipcut,21,480
cut,30,cut,30,cut,30,slipcut,22,480
cut,30,cut,30,cut,30,slipcut,23,480
cut,30,cut,30,cut,30,slipcut,24,480
cut,30,cut,30,cut,30,slipcut,25,480
cut,30,cut,30,cut,30,slipcut,26,480
cut,30,cut,30,cut,30,slipcut,27,480
cut,30,cut,30,cut,30,slipcut,28,480
cut,30,cut,30,cut,30,slipcut,29,480
cut,30,cut,30,cut,30,slipcut,30,490
cut,30,cut,30,cut,30,slipcut,31,480
cut,30,cut,30,cut,30,slipcut,32,480
cut,30,cut,30,cut,30,slipcut,33,480
cut,30,cut,30,cut,30,slipcut,34,480
cut,30,cut,30,cut,30,slipcut,35,480
cut,30,cut,30,cut,30,slipcut,36,480
cut,30,cut,30,cut,30,slipcut,37,480
cut,30,cut,30,cut,30,slipcut,38,480
cut,30,cut,30,cut,30,slipcut,39,480
cut,30,cut,30,cut,30,slipcut,40,480
cut,30,cut,30,cut,30,slipcut,41,480
cut,30,cut,30,cut,30,slipcut,42,480
cut,30,cut,30,cut,30,slipcut,43,480
cut,30,cut,30,cut,30,slipcut,44,480
cut,30,cut,30,cut,30,slipcut,45,480
cut,30,cut,30,cut,30,slipcut,46,480
cut,30,cut,30,cut,30,slipcut,47,480
cut,30,cut,30,cut,30,slipcut,48,480
cut,30,cut,30,cut,30,slipcut,49,480
cut,30,cut,30,cut,30,slipcut,50,480
cut,30,cut,30,cut,30,slipcut,51,480
cut,30,cut,30,cut,30,slipcut,2,480
cut,30,cut,30,cut,30,slipcut,3,480
cut,30,cut,30,cut,30,slipcut,4,480
cut,30,cut,30,cut,30,slipcut,5,480
