maintained,technique,is,INFARO,and,the,number,is,30
infaro,30,infaro,30,infaro,30,cut,1,35
infaro,30,infaro,30,infaro,30,cut,2,35
infaro,30,infaro,30,infaro,30,cut,3,35
infaro,30,infaro,30,infaro,30,cut,4,35
infaro,30,infaro,30,infaro,30,cut,5,35
infaro,30,infaro,30,infaro,30,cut,6,35
infaro,30,infaro,30,infaro,30,cut,7,35
infaro,30,infaro,30,infaro,30,cut,8,35
infaro,30,infaro,30,infaro,30,cut,9,40
infaro,30,infaro,30,infaro,30,cut,10,40
infaro,30,infaro,30,infaro,30,cut,11,40
infaro,30,infaro,30,infaro,30,cut,12,40
infaro,30,infaro,30,infaro,30,cut,13,40
infaro,30,infaro,30,infaro,30,cut,14,40
infaro,30,infaro,30,infaro,30,cut,15,40
infaro,30,infaro,30,infaro,30,cut,16,40
infaro,30,infaro,30,infaro,30,cut,17,40
infaro,30,infaro,30,infaro,30,cut,18,40
infaro,30,infaro,30,infaro,30,cut,19,40
infaro,30,infaro,30,infaro,30,cut,20,40
infaro,30,infaro,30,infaro,30,cut,21,40
infaro,30,infaro,30,infaro,30,cut,22,35
infaro,30,infaro,30,infaro,30,cut,23,35
infaro,30,infaro,30,infaro,30,cut,24,35
infaro,30,infaro,30,infaro,30,cut,25,35
infaro,30,infaro,30,infaro,30,cut,26,35
infaro,30,infaro,30,infaro,30,cut,27,35
infaro,30,infaro,30,infaro,30,cut,28,35
infaro,30,infaro,30,infaro,30,cut,29,35
infaro,30,infaro,30,infaro,30,cut,30,85
infaro,30,infaro,30,infaro,30,cut,31,40
infaro,30,infaro,30,infaro,30,cut,32,40
infaro,30,infaro,30,infaro,30,cut,33,40
infaro,30,infaro,30,infaro,30,cut,34,40
infaro,30,infaro,30,infaro,30,cut,35,40
infaro,30,infaro,30,infaro,30,cut,36,40
infaro,30,infaro,30,infaro,30,cut,37,40
infaro,30,infaro,30,infaro,30,cut,38,40
infaro,30,infaro,30,infaro,30,cut,39,40
infaro,30,infaro,30,infaro,30,cut,40,40
infaro,30,infaro,30,infaro,30,cut,41,40
infaro,30,infaro,30,infaro,30,cut,42,40
