maintained,technique,is,INFAROUP,and,the,number,is,20
infaroup,20,infaroup,20,infaroup,20,cut,1,50
infaroup,20,infaroup,20,infaroup,20,cut,2,50
infaroup,20,infaroup,20,infaroup,20,cut,3,50
infaroup,20,infaroup,20,infaroup,20,cut,4,50
infaroup,20,infaroup,20,infaroup,20,cut,5,50
infaroup,20,infaroup,20,infaroup,20,cut,6,50
infaroup,20,infaroup,20,infaroup,20,cut,7,50
infaroup,20,infaroup,20,infaroup,20,cut,8,50
infaroup,20,infaroup,20,infaroup,20,cut,9,50
infaroup,20,infaroup,20,infaroup,20,cut,10,50
infaroup,20,infaroup,20,infaroup,20,cut,11,50
infaroup,20,infaroup,20,infaroup,20,cut,12,55
infaroup,20,infaroup,20,infaroup,20,cut,13,55
infaroup,20,infaroup,20,infaroup,20,cut,14,55
infaroup,20,infaroup,20,infaroup,20,cut,15,55
infaroup,20,infaroup,20,infaroup,20,cut,16,55
infaroup,20,infaroup,20,infaroup,20,cut,17,55
infaroup,20,infaroup,20,infaroup,20,cut,18,55
infaroup,20,infaroup,20,infaroup,20,cut,19,55
infaroup,20,infaroup,20,infaroup,20,cut,20,55
infaroup,20,infaroup,20,infaroup,20,cut,21,50
infaroup,20,infaroup,20,infaroup,20,cut,22,50
infaroup,20,infaroup,20,infaroup,20,cut,23,50
infaroup,20,infaroup,20,infaroup,20,cut,24,50
infaroup,20,infaroup,20,infaroup,20,cut,25,50
infaroup,20,infaroup,20,infaroup,20,cut,26,50
infaroup,20,infaroup,20,infaroup,20,cut,27,50
infaroup,20,infaroup,20,infaroup,20,cut,28,50
infaroup,20,infaroup,20,infaroup,20,cut,29,50
infaroup,20,infaroup,20,infaroup,20,cut,30,50
infaroup,20,infaroup,20,infaroup,20,cut,31,50
infaroup,20,infaroup,20,infaroup,20,cut,32,55
infaroup,20,infaroup,20,infaroup,20,cut,33,55
infaroup,20,infaroup,20,infaroup,20,cut,34,55
infaroup,20,infaroup,20,infaroup,20,cut,35,55
infaroup,20,infaroup,20,infaroup,20,cut,36,55
infaroup,20,infaroup,20,infaroup,20,cut,37,55
infaroup,20,infaroup,20,infaroup,20,cut,38,55
infaroup,20,infaroup,20,infaroup,20,cut,39,55
infaroup,20,infaroup,20,infaroup,20,cut,40,55
infaroup,20,infaroup,20,infaroup,20,cut,41,55
infaroup,20,infaroup,20,infaroup,20,cut,42,55
infaroup,20,infaroup,20,infaroup,20,cut,43,55
infaroup,20,infaroup,20,infaroup,20,cut,44,55
infaroup,20,infaroup,20,infaroup,20,cut,45,55
infaroup,20,infaroup,20,infaroup,20,cut,46,55
infaroup,20,infaroup,20,infaroup,20,cut,47,55
infaroup,20,infaroup,20,infaroup,20,cut,48,55
infaroup,20,infaroup,20,infaroup,20,cut,49,55
