maintained,technique,is,INFAROUP,and,the,number,is,40
infaroup,40,infaroup,40,infaroup,40,cut,1,0
infaroup,40,infaroup,40,infaroup,40,cut,2,0
infaroup,40,infaroup,40,infaroup,40,cut,3,0
infaroup,40,infaroup,40,infaroup,40,cut,4,0
infaroup,40,infaroup,40,infaroup,40,cut,5,0
infaroup,40,infaroup,40,infaroup,40,cut,6,0
infaroup,40,infaroup,40,infaroup,40,cut,7,0
infaroup,40,infaroup,40,infaroup,40,cut,8,0
infaroup,40,infaroup,40,infaroup,40,cut,9,0
infaroup,40,infaroup,40,infaroup,40,cut,10,0
infaroup,40,infaroup,40,infaroup,40,cut,11,0
infaroup,40,infaroup,40,infaroup,40,cut,12,290
infaroup,40,infaroup,40,infaroup,40,cut,13,0
infaroup,40,infaroup,40,infaroup,40,cut,14,0
infaroup,40,infaroup,40,infaroup,40,cut,15,0
infaroup,40,infaroup,40,infaroup,40,cut,16,0
infaroup,40,infaroup,40,infaroup,40,cut,17,0
infaroup,40,infaroup,40,infaroup,40,cut,18,0
infaroup,40,infaroup,40,infaroup,40,cut,19,0
infaroup,40,infaroup,40,infaroup,40,cut,20,0
infaroup,40,infaroup,40,infaroup,40,cut,21,0
infaroup,40,infaroup,40,infaroup,40,cut,22,0
infaroup,40,infaroup,40,infaroup,40,cut,23,0
infaroup,40,infaroup,40,infaroup,40,cut,24,-10
infaroup,40,infaroup,40,infaroup,40,cut,25,-10
infaroup,40,infaroup,40,infaroup,40,cut,26,-10
infaroup,40,infaroup,40,infaroup,40,cut,27,-10
infaroup,40,infaroup,40,infaroup,40,cut,28,-10
infaroup,40,infaroup,40,infaroup,40,cut,29,-10
infaroup,40,infaroup,40,infaroup,40,cut,30,-10
infaroup,40,infaroup,40,infaroup,40,cut,31,-10
infaroup,40,infaroup,40,infaroup,40,cut,32,-10
infaroup,40,infaroup,40,infaroup,40,cut,33,-10
infaroup,40,infaroup,40,infaroup,40,cut,34,-10
infaroup,40,infaroup,40,infaroup,40,cut,35,-10
infaroup,40,infaroup,40,infaroup,40,cut,36,-10
infaroup,40,infaroup,40,infaroup,40,cut,37,-10
infaroup,40,infaroup,40,infaroup,40,cut,38,-10
infaroup,40,infaroup,40,infaroup,40,cut,39,-10
infaroup,40,infaroup,40,infaroup,40,cut,40,-10
infaroup,40,infaroup,40,infaroup,40,cut,41,-10
infaroup,40,infaroup,40,infaroup,40,cut,42,-10
infaroup,40,infaroup,40,infaroup,40,cut,43,-10
infaroup,40,infaroup,40,infaroup,40,cut,44,-10
infaroup,40,infaroup,40,infaroup,40,cut,45,-10
infaroup,40,infaroup,40,infaroup,40,cut,46,-10
infaroup,40,infaroup,40,infaroup,40,cut,47,-10
infaroup,40,infaroup,40,infaroup,40,cut,48,-10
infaroup,40,infaroup,40,infaroup,40,cut,49,-10
infaroup,40,infaroup,40,infaroup,40,cut,50,-10
infaroup,40,infaroup,40,infaroup,40,cut,51,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,2,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,3,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,4,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,5,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,6,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,7,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,8,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,9,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,10,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,11,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,12,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,13,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,14,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,15,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,16,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,17,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,18,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,19,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,20,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,21,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,22,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,23,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,24,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,25,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,26,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,27,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,28,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,29,-10
infaroup,40,infaroup,40,infaroup,40,slipcut,30,0
infaroup,40,infaroup,40,infaroup,40,slipcut,31,-10
