maintained,technique,is,OUTFAROUP,and,the,number,is,20
outfaroup,20,outfaroup,20,outfaroup,20,cut,1,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,2,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,3,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,4,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,5,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,6,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,7,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,8,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,9,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,10,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,11,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,12,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,13,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,14,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,15,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,16,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,17,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,18,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,19,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,20,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,21,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,22,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,23,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,24,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,25,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,26,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,27,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,28,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,29,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,30,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,31,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,32,55
outfaroup,20,outfaroup,20,outfaroup,20,cut,33,60
outfaroup,20,outfaroup,20,outfaroup,20,cut,34,60
