maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,cut,1,0
peal,20,peal,20,peal,20,cut,2,-10
peal,20,peal,20,peal,20,cut,3,0
peal,20,peal,20,peal,20,cut,4,-10
peal,20,peal,20,peal,20,cut,5,0
peal,20,peal,20,peal,20,cut,6,-10
peal,20,peal,20,peal,20,cut,7,0
peal,20,peal,20,peal,20,cut,8,-10
peal,20,peal,20,peal,20,cut,9,0
peal,20,peal,20,peal,20,cut,10,-10
peal,20,peal,20,peal,20,cut,11,0
peal,20,peal,20,peal,20,cut,12,-10
peal,20,peal,20,peal,20,cut,13,0
peal,20,peal,20,peal,20,cut,14,-10
peal,20,peal,20,peal,20,cut,15,0
peal,20,peal,20,peal,20,cut,16,-10
peal,20,peal,20,peal,20,cut,17,0
peal,20,peal,20,peal,20,cut,18,-10
peal,20,peal,20,peal,20,cut,19,0
peal,20,peal,20,peal,20,cut,20,-10
peal,20,peal,20,peal,20,cut,21,-10
peal,20,peal,20,peal,20,cut,22,-10
peal,20,peal,20,peal,20,cut,23,-10
peal,20,peal,20,peal,20,cut,24,-10
peal,20,peal,20,peal,20,cut,25,-10
peal,20,peal,20,peal,20,cut,26,-10
peal,20,peal,20,peal,20,cut,27,-10
peal,20,peal,20,peal,20,cut,28,-10
peal,20,peal,20,peal,20,cut,29,-10
peal,20,peal,20,peal,20,cut,30,-10
peal,20,peal,20,peal,20,cut,31,-10
peal,20,peal,20,peal,20,cut,32,-10
peal,20,peal,20,peal,20,cut,33,0
peal,20,peal,20,peal,20,cut,34,-10
peal,20,peal,20,peal,20,cut,35,0
peal,20,peal,20,peal,20,cut,36,-10
peal,20,peal,20,peal,20,cut,37,0
peal,20,peal,20,peal,20,cut,38,-10
peal,20,peal,20,peal,20,cut,39,0
peal,20,peal,20,peal,20,cut,40,-10
peal,20,peal,20,peal,20,cut,41,0
peal,20,peal,20,peal,20,cut,42,-10
peal,20,peal,20,peal,20,cut,43,0
peal,20,peal,20,peal,20,cut,44,-10
peal,20,peal,20,peal,20,cut,45,0
peal,20,peal,20,peal,20,cut,46,-10
peal,20,peal,20,peal,20,cut,47,0
peal,20,peal,20,peal,20,cut,48,-10
peal,20,peal,20,peal,20,cut,49,0
peal,20,peal,20,peal,20,cut,50,-10
peal,20,peal,20,peal,20,cut,51,0
peal,20,peal,20,peal,20,slipcut,2,310
peal,20,peal,20,peal,20,slipcut,3,310
peal,20,peal,20,peal,20,slipcut,4,310
peal,20,peal,20,peal,20,slipcut,5,310
peal,20,peal,20,peal,20,slipcut,6,310
peal,20,peal,20,peal,20,slipcut,7,310
peal,20,peal,20,peal,20,slipcut,8,310
peal,20,peal,20,peal,20,slipcut,9,310
peal,20,peal,20,peal,20,slipcut,10,310
peal,20,peal,20,peal,20,slipcut,11,320
peal,20,peal,20,peal,20,slipcut,12,320
peal,20,peal,20,peal,20,slipcut,13,320
peal,20,peal,20,peal,20,slipcut,14,320
peal,20,peal,20,peal,20,slipcut,15,320
peal,20,peal,20,peal,20,slipcut,16,320
peal,20,peal,20,peal,20,slipcut,17,320
peal,20,peal,20,peal,20,slipcut,18,320
peal,20,peal,20,peal,20,slipcut,19,320
peal,20,peal,20,peal,20,slipcut,20,330
peal,20,peal,20,peal,20,slipcut,21,310
peal,20,peal,20,peal,20,slipcut,22,300
peal,20,peal,20,peal,20,slipcut,23,290
peal,20,peal,20,peal,20,slipcut,24,280
