maintained,technique,is,PEAL,and,the,number,is,30
peal,30,peal,30,peal,30,cut,1,105
peal,30,peal,30,peal,30,cut,2,100
peal,30,peal,30,peal,30,cut,3,105
peal,30,peal,30,peal,30,cut,4,100
peal,30,peal,30,peal,30,cut,5,105
peal,30,peal,30,peal,30,cut,6,100
peal,30,peal,30,peal,30,cut,7,105
peal,30,peal,30,peal,30,cut,8,100
peal,30,peal,30,peal,30,cut,9,105
peal,30,peal,30,peal,30,cut,10,100
peal,30,peal,30,peal,30,cut,11,105
peal,30,peal,30,peal,30,cut,12,100
peal,30,peal,30,peal,30,cut,13,105
peal,30,peal,30,peal,30,cut,14,100
peal,30,peal,30,peal,30,cut,15,105
peal,30,peal,30,peal,30,cut,16,100
peal,30,peal,30,peal,30,cut,17,105
peal,30,peal,30,peal,30,cut,18,100
peal,30,peal,30,peal,30,cut,19,105
peal,30,peal,30,peal,30,cut,20,100
peal,30,peal,30,peal,30,cut,21,105
peal,30,peal,30,peal,30,cut,22,100
peal,30,peal,30,peal,30,cut,23,110
peal,30,peal,30,peal,30,cut,24,100
peal,30,peal,30,peal,30,cut,25,110
peal,30,peal,30,peal,30,cut,26,100
peal,30,peal,30,peal,30,cut,27,110
peal,30,peal,30,peal,30,cut,28,100
peal,30,peal,30,peal,30,cut,29,110
peal,30,peal,30,peal,30,cut,30,100
peal,30,peal,30,peal,30,cut,31,100
peal,30,peal,30,peal,30,cut,32,95
peal,30,peal,30,peal,30,cut,33,100
peal,30,peal,30,peal,30,cut,34,95
peal,30,peal,30,peal,30,cut,35,100
peal,30,peal,30,peal,30,cut,36,95
peal,30,peal,30,peal,30,cut,37,100
peal,30,peal,30,peal,30,cut,38,95
peal,30,peal,30,peal,30,cut,39,100
peal,30,peal,30,peal,30,cut,40,95
peal,30,peal,30,peal,30,cut,41,100
peal,30,peal,30,peal,30,cut,42,95
peal,30,peal,30,peal,30,cut,43,100
peal,30,peal,30,peal,30,cut,44,95
peal,30,peal,30,peal,30,cut,45,100
peal,30,peal,30,peal,30,cut,46,95
peal,30,peal,30,peal,30,cut,47,100
peal,30,peal,30,peal,30,cut,48,95
peal,30,peal,30,peal,30,cut,49,100
peal,30,peal,30,peal,30,cut,50,95
peal,30,peal,30,peal,30,cut,51,100
peal,30,peal,30,peal,30,slipcut,2,215
peal,30,peal,30,peal,30,slipcut,3,210
peal,30,peal,30,peal,30,slipcut,4,210
peal,30,peal,30,peal,30,slipcut,5,210
peal,30,peal,30,peal,30,slipcut,6,210
peal,30,peal,30,peal,30,slipcut,7,210
peal,30,peal,30,peal,30,slipcut,8,210
peal,30,peal,30,peal,30,slipcut,9,210
peal,30,peal,30,peal,30,slipcut,10,210
peal,30,peal,30,peal,30,slipcut,11,210
peal,30,peal,30,peal,30,slipcut,12,210
peal,30,peal,30,peal,30,slipcut,13,210
peal,30,peal,30,peal,30,slipcut,14,210
peal,30,peal,30,peal,30,slipcut,15,210
peal,30,peal,30,peal,30,slipcut,16,215
peal,30,peal,30,peal,30,slipcut,17,215
peal,30,peal,30,peal,30,slipcut,18,215
peal,30,peal,30,peal,30,slipcut,19,215
peal,30,peal,30,peal,30,slipcut,20,215
peal,30,peal,30,peal,30,slipcut,21,215
peal,30,peal,30,peal,30,slipcut,22,215
peal,30,peal,30,peal,30,slipcut,23,215
peal,30,peal,30,peal,30,slipcut,24,215
peal,30,peal,30,peal,30,slipcut,25,215
peal,30,peal,30,peal,30,slipcut,26,215
peal,30,peal,30,peal,30,slipcut,27,215
peal,30,peal,30,peal,30,slipcut,28,215
peal,30,peal,30,peal,30,slipcut,29,215
peal,30,peal,30,peal,30,slipcut,30,225
peal,30,peal,30,peal,30,slipcut,31,205
peal,30,peal,30,peal,30,slipcut,32,200
peal,30,peal,30,peal,30,slipcut,33,195
peal,30,peal,30,peal,30,slipcut,34,190
peal,30,peal,30,peal,30,slipcut,35,185
peal,30,peal,30,peal,30,slipcut,36,180
peal,30,peal,30,peal,30,slipcut,37,175
peal,30,peal,30,peal,30,slipcut,38,170
peal,30,peal,30,peal,30,slipcut,39,165
peal,30,peal,30,peal,30,slipcut,40,160
peal,30,peal,30,peal,30,slipcut,41,155
peal,30,peal,30,peal,30,slipcut,42,150
peal,30,peal,30,peal,30,slipcut,43,145
peal,30,peal,30,peal,30,slipcut,44,140
peal,30,peal,30,peal,30,slipcut,45,135
peal,30,peal,30,peal,30,slipcut,46,130
