maintained,technique,is,PEAL,and,the,number,is,30
peal,30,peal,30,peal,30,cut,1,210
peal,30,peal,30,peal,30,cut,2,210
peal,30,peal,30,peal,30,cut,3,210
peal,30,peal,30,peal,30,cut,4,210
peal,30,peal,30,peal,30,cut,5,210
peal,30,peal,30,peal,30,cut,6,210
peal,30,peal,30,peal,30,cut,7,210
peal,30,peal,30,peal,30,cut,8,210
peal,30,peal,30,peal,30,cut,9,210
peal,30,peal,30,peal,30,cut,10,210
peal,30,peal,30,peal,30,cut,11,210
peal,30,peal,30,peal,30,cut,12,210
peal,30,peal,30,peal,30,cut,13,210
peal,30,peal,30,peal,30,cut,14,210
peal,30,peal,30,peal,30,cut,15,210
peal,30,peal,30,peal,30,cut,16,210
peal,30,peal,30,peal,30,cut,17,210
peal,30,peal,30,peal,30,cut,18,210
peal,30,peal,30,peal,30,cut,19,210
peal,30,peal,30,peal,30,cut,20,210
peal,30,peal,30,peal,30,cut,21,210
peal,30,peal,30,peal,30,cut,22,210
peal,30,peal,30,peal,30,cut,23,210
peal,30,peal,30,peal,30,cut,24,210
peal,30,peal,30,peal,30,cut,25,210
peal,30,peal,30,peal,30,cut,26,210
peal,30,peal,30,peal,30,cut,27,210
peal,30,peal,30,peal,30,cut,28,210
peal,30,peal,30,peal,30,cut,29,210
peal,30,peal,30,peal,30,cut,30,210
peal,30,peal,30,peal,30,cut,31,200
peal,30,peal,30,peal,30,cut,32,200
peal,30,peal,30,peal,30,cut,33,200
peal,30,peal,30,peal,30,cut,34,200
peal,30,peal,30,peal,30,cut,35,200
peal,30,peal,30,peal,30,cut,36,200
peal,30,peal,30,peal,30,cut,37,200
peal,30,peal,30,peal,30,cut,38,200
peal,30,peal,30,peal,30,cut,39,200
peal,30,peal,30,peal,30,cut,40,200
peal,30,peal,30,peal,30,cut,41,200
peal,30,peal,30,peal,30,cut,42,200
peal,30,peal,30,peal,30,cut,43,200
peal,30,peal,30,peal,30,cut,44,200
peal,30,peal,30,peal,30,cut,45,200
peal,30,peal,30,peal,30,cut,46,200
peal,30,peal,30,peal,30,cut,47,200
peal,30,peal,30,peal,30,cut,48,200
peal,30,peal,30,peal,30,cut,49,200
peal,30,peal,30,peal,30,cut,50,200
peal,30,peal,30,peal,30,cut,51,200
peal,30,peal,30,peal,30,slipcut,2,220
peal,30,peal,30,peal,30,slipcut,3,210
peal,30,peal,30,peal,30,slipcut,4,210
peal,30,peal,30,peal,30,slipcut,5,210
peal,30,peal,30,peal,30,slipcut,6,210
peal,30,peal,30,peal,30,slipcut,7,210
peal,30,peal,30,peal,30,slipcut,8,210
peal,30,peal,30,peal,30,slipcut,9,210
peal,30,peal,30,peal,30,slipcut,10,210
peal,30,peal,30,peal,30,slipcut,11,210
peal,30,peal,30,peal,30,slipcut,12,210
peal,30,peal,30,peal,30,slipcut,13,210
peal,30,peal,30,peal,30,slipcut,14,210
peal,30,peal,30,peal,30,slipcut,15,210
peal,30,peal,30,peal,30,slipcut,16,210
peal,30,peal,30,peal,30,slipcut,17,210
peal,30,peal,30,peal,30,slipcut,18,210
peal,30,peal,30,peal,30,slipcut,19,210
peal,30,peal,30,peal,30,slipcut,20,210
peal,30,peal,30,peal,30,slipcut,21,210
peal,30,peal,30,peal,30,slipcut,22,210
peal,30,peal,30,peal,30,slipcut,23,210
peal,30,peal,30,peal,30,slipcut,24,210
peal,30,peal,30,peal,30,slipcut,25,210
peal,30,peal,30,peal,30,slipcut,26,210
peal,30,peal,30,peal,30,slipcut,27,210
peal,30,peal,30,peal,30,slipcut,28,210
peal,30,peal,30,peal,30,slipcut,29,210
peal,30,peal,30,peal,30,slipcut,30,220
peal,30,peal,30,peal,30,slipcut,31,200
peal,30,peal,30,peal,30,slipcut,32,200
peal,30,peal,30,peal,30,slipcut,33,200
peal,30,peal,30,peal,30,slipcut,34,200
peal,30,peal,30,peal,30,slipcut,35,200
peal,30,peal,30,peal,30,slipcut,36,200
peal,30,peal,30,peal,30,slipcut,37,200
peal,30,peal,30,peal,30,slipcut,38,200
peal,30,peal,30,peal,30,slipcut,39,200
peal,30,peal,30,peal,30,slipcut,40,200
peal,30,peal,30,peal,30,slipcut,41,200
peal,30,peal,30,peal,30,slipcut,42,200
peal,30,peal,30,peal,30,slipcut,43,200
peal,30,peal,30,peal,30,slipcut,44,200
peal,30,peal,30,peal,30,slipcut,45,200
peal,30,peal,30,peal,30,slipcut,46,200
peal,30,peal,30,peal,30,slipcut,47,200
peal,30,peal,30,peal,30,slipcut,48,200
peal,30,peal,30,peal,30,slipcut,49,200
peal,30,peal,30,peal,30,slipcut,50,200
peal,30,peal,30,peal,30,slipcut,51,200
peal,30,peal,30,peal,30,slipcut,2,190
peal,30,peal,30,peal,30,slipcut,3,190
peal,30,peal,30,peal,30,slipcut,4,190
peal,30,peal,30,peal,30,slipcut,5,190
peal,30,peal,30,peal,30,slipcut,6,190
peal,30,peal,30,peal,30,slipcut,7,190
peal,30,peal,30,peal,30,slipcut,8,190
peal,30,peal,30,peal,30,slipcut,9,190
peal,30,peal,30,peal,30,slipcut,10,190
peal,30,peal,30,peal,30,slipcut,11,190
peal,30,peal,30,peal,30,slipcut,12,190
peal,30,peal,30,peal,30,slipcut,13,190
peal,30,peal,30,peal,30,slipcut,14,190
peal,30,peal,30,peal,30,slipcut,15,190
peal,30,peal,30,peal,30,slipcut,16,190
peal,30,peal,30,peal,30,slipcut,17,190
peal,30,peal,30,peal,30,slipcut,18,190
peal,30,peal,30,peal,30,slipcut,19,190
peal,30,peal,30,peal,30,slipcut,20,190
peal,30,peal,30,peal,30,slipcut,21,190
peal,30,peal,30,peal,30,slipcut,22,200
peal,30,peal,30,peal,30,slipcut,23,200
peal,30,peal,30,peal,30,slipcut,24,200
peal,30,peal,30,peal,30,slipcut,25,200
peal,30,peal,30,peal,30,slipcut,26,200
peal,30,peal,30,peal,30,slipcut,27,200
peal,30,peal,30,peal,30,slipcut,28,200
peal,30,peal,30,peal,30,slipcut,29,200
peal,30,peal,30,peal,30,slipcut,30,200
peal,30,peal,30,peal,30,slipcut,31,200
peal,30,peal,30,peal,30,slipcut,32,200
peal,30,peal,30,peal,30,slipcut,33,200
peal,30,peal,30,peal,30,slipcut,34,200
peal,30,peal,30,peal,30,slipcut,35,200
peal,30,peal,30,peal,30,slipcut,36,200
peal,30,peal,30,peal,30,slipcut,37,200
peal,30,peal,30,peal,30,slipcut,38,200
peal,30,peal,30,peal,30,slipcut,39,200
peal,30,peal,30,peal,30,slipcut,40,200
peal,30,peal,30,peal,30,slipcut,41,200
peal,30,peal,30,peal,30,slipcut,42,200
peal,30,peal,30,peal,30,slipcut,43,200
peal,30,peal,30,peal,30,slipcut,44,200
peal,30,peal,30,peal,30,slipcut,45,200
peal,30,peal,30,peal,30,slipcut,46,200
peal,30,peal,30,peal,30,slipcut,47,200
peal,30,peal,30,peal,30,slipcut,48,200
peal,30,peal,30,peal,30,slipcut,49,200
peal,30,peal,30,peal,30,slipcut,50,200
peal,30,peal,30,peal,30,slipcut,51,200
peal,30,peal,30,peal,30,peal,2,220
peal,30,peal,30,peal,30,peal,3,230
peal,30,peal,30,peal,30,peal,4,240
peal,30,peal,30,peal,30,peal,5,250
peal,30,peal,30,peal,30,peal,6,260
peal,30,peal,30,peal,30,peal,7,270
peal,30,peal,30,peal,30,peal,8,280
peal,30,peal,30,peal,30,peal,9,290
peal,30,peal,30,peal,30,peal,10,300
peal,30,peal,30,peal,30,peal,11,310
peal,30,peal,30,peal,30,peal,12,320
peal,30,peal,30,peal,30,peal,13,330
peal,30,peal,30,peal,30,peal,14,340
peal,30,peal,30,peal,30,peal,15,350
peal,30,peal,30,peal,30,peal,16,360
peal,30,peal,30,peal,30,peal,17,370
peal,30,peal,30,peal,30,peal,18,380
peal,30,peal,30,peal,30,peal,19,390
peal,30,peal,30,peal,30,peal,20,400
peal,30,peal,30,peal,30,peal,21,410
peal,30,peal,30,peal,30,peal,22,420
peal,30,peal,30,peal,30,peal,23,430
peal,30,peal,30,peal,30,peal,24,440
peal,30,peal,30,peal,30,peal,25,450
peal,30,peal,30,peal,30,peal,26,460
peal,30,peal,30,peal,30,peal,27,470
peal,30,peal,30,peal,30,peal,28,480
peal,30,peal,30,peal,30,peal,29,490
peal,30,peal,30,peal,30,peal,30,510
peal,30,peal,30,peal,30,peal,31,490
peal,30,peal,30,peal,30,peal,32,480
peal,30,peal,30,peal,30,peal,33,470
peal,30,peal,30,peal,30,peal,34,460
peal,30,peal,30,peal,30,peal,35,450
peal,30,peal,30,peal,30,peal,36,440
peal,30,peal,30,peal,30,peal,37,430
peal,30,peal,30,peal,30,peal,38,420
peal,30,peal,30,peal,30,peal,39,410
peal,30,peal,30,peal,30,peal,40,400
peal,30,peal,30,peal,30,peal,41,390
peal,30,peal,30,peal,30,peal,42,380
peal,30,peal,30,peal,30,peal,43,370
peal,30,peal,30,peal,30,peal,44,360
peal,30,peal,30,peal,30,peal,45,350
peal,30,peal,30,peal,30,peal,46,340
peal,30,peal,30,peal,30,peal,47,330
peal,30,peal,30,peal,30,peal,48,320
peal,30,peal,30,peal,30,peal,49,310
peal,30,peal,30,peal,30,peal,50,300
peal,30,peal,30,peal,30,peal,51,290
peal,30,peal,30,peal,30,pealup,2,190
peal,30,peal,30,peal,30,pealup,3,180
peal,30,peal,30,peal,30,pealup,4,170
peal,30,peal,30,peal,30,pealup,5,160
peal,30,peal,30,peal,30,pealup,6,150
