maintained,technique,is,PEALUP,and,the,number,is,20
pealup,20,pealup,20,pealup,20,cut,1,0
pealup,20,pealup,20,pealup,20,cut,2,-10
pealup,20,pealup,20,pealup,20,cut,3,0
pealup,20,pealup,20,pealup,20,cut,4,-10
pealup,20,pealup,20,pealup,20,cut,5,0
pealup,20,pealup,20,pealup,20,cut,6,-10
pealup,20,pealup,20,pealup,20,cut,7,0
pealup,20,pealup,20,pealup,20,cut,8,-10
pealup,20,pealup,20,pealup,20,cut,9,0
pealup,20,pealup,20,pealup,20,cut,10,-10
pealup,20,pealup,20,pealup,20,cut,11,0
pealup,20,pealup,20,pealup,20,cut,12,-10
pealup,20,pealup,20,pealup,20,cut,13,0
pealup,20,pealup,20,pealup,20,cut,14,-10
pealup,20,pealup,20,pealup,20,cut,15,0
pealup,20,pealup,20,pealup,20,cut,16,-10
pealup,20,pealup,20,pealup,20,cut,17,0
pealup,20,pealup,20,pealup,20,cut,18,-10
pealup,20,pealup,20,pealup,20,cut,19,0
pealup,20,pealup,20,pealup,20,cut,20,-10
pealup,20,pealup,20,pealup,20,cut,21,-10
pealup,20,pealup,20,pealup,20,cut,22,-10
pealup,20,pealup,20,pealup,20,cut,23,-10
pealup,20,pealup,20,pealup,20,cut,24,-10
pealup,20,pealup,20,pealup,20,cut,25,-10
pealup,20,pealup,20,pealup,20,cut,26,-10
pealup,20,pealup,20,pealup,20,cut,27,-10
pealup,20,pealup,20,pealup,20,cut,28,-10
pealup,20,pealup,20,pealup,20,cut,29,-10
pealup,20,pealup,20,pealup,20,cut,30,-10
pealup,20,pealup,20,pealup,20,cut,31,-10
pealup,20,pealup,20,pealup,20,cut,32,-10
pealup,20,pealup,20,pealup,20,cut,33,0
pealup,20,pealup,20,pealup,20,cut,34,-10
pealup,20,pealup,20,pealup,20,cut,35,0
pealup,20,pealup,20,pealup,20,cut,36,-10
pealup,20,pealup,20,pealup,20,cut,37,0
pealup,20,pealup,20,pealup,20,cut,38,-10
pealup,20,pealup,20,pealup,20,cut,39,0
pealup,20,pealup,20,pealup,20,cut,40,-10
pealup,20,pealup,20,pealup,20,cut,41,0
pealup,20,pealup,20,pealup,20,cut,42,-10
pealup,20,pealup,20,pealup,20,cut,43,0
pealup,20,pealup,20,pealup,20,cut,44,-10
pealup,20,pealup,20,pealup,20,cut,45,0
pealup,20,pealup,20,pealup,20,cut,46,-10
pealup,20,pealup,20,pealup,20,cut,47,0
pealup,20,pealup,20,pealup,20,cut,48,-10
pealup,20,pealup,20,pealup,20,cut,49,0
pealup,20,pealup,20,pealup,20,cut,50,-10
pealup,20,pealup,20,pealup,20,cut,51,0
pealup,20,pealup,20,pealup,20,slipcut,2,290
pealup,20,pealup,20,pealup,20,slipcut,3,280
pealup,20,pealup,20,pealup,20,slipcut,4,270
pealup,20,pealup,20,pealup,20,slipcut,5,260
pealup,20,pealup,20,pealup,20,slipcut,6,250
pealup,20,pealup,20,pealup,20,slipcut,7,240
pealup,20,pealup,20,pealup,20,slipcut,8,230
pealup,20,pealup,20,pealup,20,slipcut,9,220
pealup,20,pealup,20,pealup,20,slipcut,10,210
pealup,20,pealup,20,pealup,20,slipcut,11,200
pealup,20,pealup,20,pealup,20,slipcut,12,190
pealup,20,pealup,20,pealup,20,slipcut,13,180
pealup,20,pealup,20,pealup,20,slipcut,14,170
pealup,20,pealup,20,pealup,20,slipcut,15,160
pealup,20,pealup,20,pealup,20,slipcut,16,150
pealup,20,pealup,20,pealup,20,slipcut,17,140
pealup,20,pealup,20,pealup,20,slipcut,18,130
pealup,20,pealup,20,pealup,20,slipcut,19,120
pealup,20,pealup,20,pealup,20,slipcut,20,110
pealup,20,pealup,20,pealup,20,slipcut,21,100
pealup,20,pealup,20,pealup,20,slipcut,22,90
pealup,20,pealup,20,pealup,20,slipcut,23,80
pealup,20,pealup,20,pealup,20,slipcut,24,70
pealup,20,pealup,20,pealup,20,slipcut,25,60
pealup,20,pealup,20,pealup,20,slipcut,26,50
pealup,20,pealup,20,pealup,20,slipcut,27,40
pealup,20,pealup,20,pealup,20,slipcut,28,30
pealup,20,pealup,20,pealup,20,slipcut,29,20
pealup,20,pealup,20,pealup,20,slipcut,30,10
pealup,20,pealup,20,pealup,20,slipcut,31,0
pealup,20,pealup,20,pealup,20,slipcut,32,-10
pealup,20,pealup,20,pealup,20,slipcut,33,-10
pealup,20,pealup,20,pealup,20,slipcut,34,-10
pealup,20,pealup,20,pealup,20,slipcut,35,-10
pealup,20,pealup,20,pealup,20,slipcut,36,-10
pealup,20,pealup,20,pealup,20,slipcut,37,-10
pealup,20,pealup,20,pealup,20,slipcut,38,-10
pealup,20,pealup,20,pealup,20,slipcut,39,-10
pealup,20,pealup,20,pealup,20,slipcut,40,-10
pealup,20,pealup,20,pealup,20,slipcut,41,-10
pealup,20,pealup,20,pealup,20,slipcut,42,-10
pealup,20,pealup,20,pealup,20,slipcut,43,0
pealup,20,pealup,20,pealup,20,slipcut,44,0
pealup,20,pealup,20,pealup,20,slipcut,45,0
pealup,20,pealup,20,pealup,20,slipcut,46,0
pealup,20,pealup,20,pealup,20,slipcut,47,0
pealup,20,pealup,20,pealup,20,slipcut,48,0
pealup,20,pealup,20,pealup,20,slipcut,49,0
pealup,20,pealup,20,pealup,20,slipcut,50,0
pealup,20,pealup,20,pealup,20,slipcut,51,0
pealup,20,pealup,20,pealup,20,slipcut,2,310
pealup,20,pealup,20,pealup,20,slipcut,3,310
pealup,20,pealup,20,pealup,20,slipcut,4,310
pealup,20,pealup,20,pealup,20,slipcut,5,310
pealup,20,pealup,20,pealup,20,slipcut,6,310
pealup,20,pealup,20,pealup,20,slipcut,7,310
pealup,20,pealup,20,pealup,20,slipcut,8,310
pealup,20,pealup,20,pealup,20,slipcut,9,310
pealup,20,pealup,20,pealup,20,slipcut,10,310
pealup,20,pealup,20,pealup,20,slipcut,11,320
pealup,20,pealup,20,pealup,20,slipcut,12,320
pealup,20,pealup,20,pealup,20,slipcut,13,320
pealup,20,pealup,20,pealup,20,slipcut,14,320
pealup,20,pealup,20,pealup,20,slipcut,15,320
pealup,20,pealup,20,pealup,20,slipcut,16,320
pealup,20,pealup,20,pealup,20,slipcut,17,320
pealup,20,pealup,20,pealup,20,slipcut,18,320
pealup,20,pealup,20,pealup,20,slipcut,19,320
pealup,20,pealup,20,pealup,20,slipcut,20,330
pealup,20,pealup,20,pealup,20,slipcut,21,310
pealup,20,pealup,20,pealup,20,slipcut,22,300
pealup,20,pealup,20,pealup,20,slipcut,23,290
pealup,20,pealup,20,pealup,20,slipcut,24,280
pealup,20,pealup,20,pealup,20,slipcut,25,270
pealup,20,pealup,20,pealup,20,slipcut,26,260
pealup,20,pealup,20,pealup,20,slipcut,27,250
pealup,20,pealup,20,pealup,20,slipcut,28,240
pealup,20,pealup,20,pealup,20,slipcut,29,230
pealup,20,pealup,20,pealup,20,slipcut,30,220
pealup,20,pealup,20,pealup,20,slipcut,31,210
pealup,20,pealup,20,pealup,20,slipcut,32,200
pealup,20,pealup,20,pealup,20,slipcut,33,190
pealup,20,pealup,20,pealup,20,slipcut,34,180
pealup,20,pealup,20,pealup,20,slipcut,35,170
pealup,20,pealup,20,pealup,20,slipcut,36,160
pealup,20,pealup,20,pealup,20,slipcut,37,150
pealup,20,pealup,20,pealup,20,slipcut,38,140
pealup,20,pealup,20,pealup,20,slipcut,39,130
