maintained,technique,is,PEALUP,and,the,number,is,20
pealup,20,pealup,20,pealup,20,cut,1,300
pealup,20,pealup,20,pealup,20,cut,2,300
pealup,20,pealup,20,pealup,20,cut,3,300
pealup,20,pealup,20,pealup,20,cut,4,300
pealup,20,pealup,20,pealup,20,cut,5,300
pealup,20,pealup,20,pealup,20,cut,6,300
pealup,20,pealup,20,pealup,20,cut,7,300
pealup,20,pealup,20,pealup,20,cut,8,300
pealup,20,pealup,20,pealup,20,cut,9,300
pealup,20,pealup,20,pealup,20,cut,10,300
pealup,20,pealup,20,pealup,20,cut,11,300
pealup,20,pealup,20,pealup,20,cut,12,300
pealup,20,pealup,20,pealup,20,cut,13,300
pealup,20,pealup,20,pealup,20,cut,14,300
pealup,20,pealup,20,pealup,20,cut,15,300
pealup,20,pealup,20,pealup,20,cut,16,300
pealup,20,pealup,20,pealup,20,cut,17,300
pealup,20,pealup,20,pealup,20,cut,18,300
pealup,20,pealup,20,pealup,20,cut,19,300
pealup,20,pealup,20,pealup,20,cut,20,300
pealup,20,pealup,20,pealup,20,cut,21,300
pealup,20,pealup,20,pealup,20,cut,22,300
pealup,20,pealup,20,pealup,20,cut,23,300
pealup,20,pealup,20,pealup,20,cut,24,300
pealup,20,pealup,20,pealup,20,cut,25,300
pealup,20,pealup,20,pealup,20,cut,26,300
pealup,20,pealup,20,pealup,20,cut,27,300
pealup,20,pealup,20,pealup,20,cut,28,300
pealup,20,pealup,20,pealup,20,cut,29,300
pealup,20,pealup,20,pealup,20,cut,30,300
pealup,20,pealup,20,pealup,20,cut,31,300
pealup,20,pealup,20,pealup,20,cut,32,310
pealup,20,pealup,20,pealup,20,cut,33,310
pealup,20,pealup,20,pealup,20,cut,34,310
pealup,20,pealup,20,pealup,20,cut,35,310
pealup,20,pealup,20,pealup,20,cut,36,310
pealup,20,pealup,20,pealup,20,cut,37,310
pealup,20,pealup,20,pealup,20,cut,38,310
pealup,20,pealup,20,pealup,20,cut,39,310
pealup,20,pealup,20,pealup,20,cut,40,310
pealup,20,pealup,20,pealup,20,cut,41,310
pealup,20,pealup,20,pealup,20,cut,42,310
pealup,20,pealup,20,pealup,20,cut,43,310
pealup,20,pealup,20,pealup,20,cut,44,310
pealup,20,pealup,20,pealup,20,cut,45,310
pealup,20,pealup,20,pealup,20,cut,46,310
pealup,20,pealup,20,pealup,20,cut,47,310
pealup,20,pealup,20,pealup,20,cut,48,310
pealup,20,pealup,20,pealup,20,cut,49,310
pealup,20,pealup,20,pealup,20,cut,50,310
pealup,20,pealup,20,pealup,20,cut,51,310
pealup,20,pealup,20,pealup,20,slipcut,2,290
pealup,20,pealup,20,pealup,20,slipcut,3,290
pealup,20,pealup,20,pealup,20,slipcut,4,290
pealup,20,pealup,20,pealup,20,slipcut,5,290
pealup,20,pealup,20,pealup,20,slipcut,6,290
pealup,20,pealup,20,pealup,20,slipcut,7,290
pealup,20,pealup,20,pealup,20,slipcut,8,290
pealup,20,pealup,20,pealup,20,slipcut,9,290
pealup,20,pealup,20,pealup,20,slipcut,10,290
pealup,20,pealup,20,pealup,20,slipcut,11,290
pealup,20,pealup,20,pealup,20,slipcut,12,290
pealup,20,pealup,20,pealup,20,slipcut,13,290
pealup,20,pealup,20,pealup,20,slipcut,14,290
pealup,20,pealup,20,pealup,20,slipcut,15,290
pealup,20,pealup,20,pealup,20,slipcut,16,290
pealup,20,pealup,20,pealup,20,slipcut,17,290
pealup,20,pealup,20,pealup,20,slipcut,18,290
pealup,20,pealup,20,pealup,20,slipcut,19,290
pealup,20,pealup,20,pealup,20,slipcut,20,290
pealup,20,pealup,20,pealup,20,slipcut,21,290
pealup,20,pealup,20,pealup,20,slipcut,22,290
pealup,20,pealup,20,pealup,20,slipcut,23,290
pealup,20,pealup,20,pealup,20,slipcut,24,290
pealup,20,pealup,20,pealup,20,slipcut,25,290
pealup,20,pealup,20,pealup,20,slipcut,26,290
pealup,20,pealup,20,pealup,20,slipcut,27,290
pealup,20,pealup,20,pealup,20,slipcut,28,290
pealup,20,pealup,20,pealup,20,slipcut,29,290
pealup,20,pealup,20,pealup,20,slipcut,30,290
pealup,20,pealup,20,pealup,20,slipcut,31,290
pealup,20,pealup,20,pealup,20,slipcut,32,300
pealup,20,pealup,20,pealup,20,slipcut,33,300
pealup,20,pealup,20,pealup,20,slipcut,34,300
pealup,20,pealup,20,pealup,20,slipcut,35,300
pealup,20,pealup,20,pealup,20,slipcut,36,300
pealup,20,pealup,20,pealup,20,slipcut,37,300
pealup,20,pealup,20,pealup,20,slipcut,38,300
pealup,20,pealup,20,pealup,20,slipcut,39,300
pealup,20,pealup,20,pealup,20,slipcut,40,300
pealup,20,pealup,20,pealup,20,slipcut,41,300
pealup,20,pealup,20,pealup,20,slipcut,42,300
pealup,20,pealup,20,pealup,20,slipcut,43,300
pealup,20,pealup,20,pealup,20,slipcut,44,300
pealup,20,pealup,20,pealup,20,slipcut,45,300
pealup,20,pealup,20,pealup,20,slipcut,46,300
pealup,20,pealup,20,pealup,20,slipcut,47,300
pealup,20,pealup,20,pealup,20,slipcut,48,300
pealup,20,pealup,20,pealup,20,slipcut,49,300
