maintained,technique,is,PEALUP,and,the,number,is,30
pealup,30,pealup,30,pealup,30,cut,1,100
pealup,30,pealup,30,pealup,30,cut,2,95
pealup,30,pealup,30,pealup,30,cut,3,100
pealup,30,pealup,30,pealup,30,cut,4,95
pealup,30,pealup,30,pealup,30,cut,5,100
pealup,30,pealup,30,pealup,30,cut,6,95
pealup,30,pealup,30,pealup,30,cut,7,100
pealup,30,pealup,30,pealup,30,cut,8,95
pealup,30,pealup,30,pealup,30,cut,9,100
pealup,30,pealup,30,pealup,30,cut,10,95
pealup,30,pealup,30,pealup,30,cut,11,100
pealup,30,pealup,30,pealup,30,cut,12,95
pealup,30,pealup,30,pealup,30,cut,13,100
pealup,30,pealup,30,pealup,30,cut,14,95
pealup,30,pealup,30,pealup,30,cut,15,100
pealup,30,pealup,30,pealup,30,cut,16,95
pealup,30,pealup,30,pealup,30,cut,17,100
pealup,30,pealup,30,pealup,30,cut,18,95
pealup,30,pealup,30,pealup,30,cut,19,100
pealup,30,pealup,30,pealup,30,cut,20,95
pealup,30,pealup,30,pealup,30,cut,21,100
pealup,30,pealup,30,pealup,30,cut,22,100
pealup,30,pealup,30,pealup,30,cut,23,110
pealup,30,pealup,30,pealup,30,cut,24,100
pealup,30,pealup,30,pealup,30,cut,25,110
pealup,30,pealup,30,pealup,30,cut,26,100
pealup,30,pealup,30,pealup,30,cut,27,110
pealup,30,pealup,30,pealup,30,cut,28,100
pealup,30,pealup,30,pealup,30,cut,29,110
pealup,30,pealup,30,pealup,30,cut,30,100
pealup,30,pealup,30,pealup,30,cut,31,105
pealup,30,pealup,30,pealup,30,cut,32,100
pealup,30,pealup,30,pealup,30,cut,33,105
pealup,30,pealup,30,pealup,30,cut,34,100
pealup,30,pealup,30,pealup,30,cut,35,105
pealup,30,pealup,30,pealup,30,cut,36,100
pealup,30,pealup,30,pealup,30,cut,37,105
pealup,30,pealup,30,pealup,30,cut,38,100
pealup,30,pealup,30,pealup,30,cut,39,105
pealup,30,pealup,30,pealup,30,cut,40,100
pealup,30,pealup,30,pealup,30,cut,41,105
pealup,30,pealup,30,pealup,30,cut,42,100
pealup,30,pealup,30,pealup,30,cut,43,105
pealup,30,pealup,30,pealup,30,cut,44,100
pealup,30,pealup,30,pealup,30,cut,45,105
pealup,30,pealup,30,pealup,30,cut,46,100
pealup,30,pealup,30,pealup,30,cut,47,105
pealup,30,pealup,30,pealup,30,cut,48,100
pealup,30,pealup,30,pealup,30,cut,49,105
pealup,30,pealup,30,pealup,30,cut,50,100
pealup,30,pealup,30,pealup,30,cut,51,105
pealup,30,pealup,30,pealup,30,slipcut,2,190
pealup,30,pealup,30,pealup,30,slipcut,3,185
pealup,30,pealup,30,pealup,30,slipcut,4,180
pealup,30,pealup,30,pealup,30,slipcut,5,175
pealup,30,pealup,30,pealup,30,slipcut,6,170
pealup,30,pealup,30,pealup,30,slipcut,7,165
pealup,30,pealup,30,pealup,30,slipcut,8,160
pealup,30,pealup,30,pealup,30,slipcut,9,155
pealup,30,pealup,30,pealup,30,slipcut,10,150
pealup,30,pealup,30,pealup,30,slipcut,11,145
pealup,30,pealup,30,pealup,30,slipcut,12,140
pealup,30,pealup,30,pealup,30,slipcut,13,135
pealup,30,pealup,30,pealup,30,slipcut,14,130
pealup,30,pealup,30,pealup,30,slipcut,15,125
pealup,30,pealup,30,pealup,30,slipcut,16,120
pealup,30,pealup,30,pealup,30,slipcut,17,115
pealup,30,pealup,30,pealup,30,slipcut,18,110
pealup,30,pealup,30,pealup,30,slipcut,19,105
pealup,30,pealup,30,pealup,30,slipcut,20,100
pealup,30,pealup,30,pealup,30,slipcut,21,95
