maintained,technique,is,INFAROUP,and,the,number,is,40
infaroup,40,infaroup,40,cut,1,infaroup,40,130
infaroup,40,infaroup,40,cut,2,infaroup,40,120
infaroup,40,infaroup,40,cut,3,infaroup,40,110
infaroup,40,infaroup,40,cut,4,infaroup,40,100
infaroup,40,infaroup,40,cut,5,infaroup,40,90
infaroup,40,infaroup,40,cut,6,infaroup,40,80
infaroup,40,infaroup,40,cut,7,infaroup,40,80
infaroup,40,infaroup,40,cut,8,infaroup,40,80
infaroup,40,infaroup,40,cut,9,infaroup,40,80
infaroup,40,infaroup,40,cut,10,infaroup,40,80
infaroup,40,infaroup,40,cut,11,infaroup,40,80
infaroup,40,infaroup,40,cut,12,infaroup,40,235
infaroup,40,infaroup,40,cut,13,infaroup,40,85
infaroup,40,infaroup,40,cut,14,infaroup,40,80
infaroup,40,infaroup,40,cut,15,infaroup,40,75
infaroup,40,infaroup,40,cut,16,infaroup,40,70
infaroup,40,infaroup,40,cut,17,infaroup,40,65
infaroup,40,infaroup,40,cut,18,infaroup,40,60
infaroup,40,infaroup,40,cut,19,infaroup,40,55
infaroup,40,infaroup,40,cut,20,infaroup,40,50
infaroup,40,infaroup,40,cut,21,infaroup,40,45
infaroup,40,infaroup,40,cut,22,infaroup,40,40
infaroup,40,infaroup,40,cut,23,infaroup,40,30
infaroup,40,infaroup,40,cut,24,infaroup,40,15
infaroup,40,infaroup,40,cut,25,infaroup,40,10
infaroup,40,infaroup,40,cut,26,infaroup,40,5
infaroup,40,infaroup,40,cut,27,infaroup,40,0
infaroup,40,infaroup,40,cut,28,infaroup,40,-5
infaroup,40,infaroup,40,cut,29,infaroup,40,-5
infaroup,40,infaroup,40,cut,30,infaroup,40,-5
infaroup,40,infaroup,40,cut,31,infaroup,40,-5
infaroup,40,infaroup,40,cut,32,infaroup,40,-5
infaroup,40,infaroup,40,cut,33,infaroup,40,-5
infaroup,40,infaroup,40,cut,34,infaroup,40,-5
infaroup,40,infaroup,40,cut,35,infaroup,40,-5
infaroup,40,infaroup,40,cut,36,infaroup,40,-5
infaroup,40,infaroup,40,cut,37,infaroup,40,0
infaroup,40,infaroup,40,cut,38,infaroup,40,5
infaroup,40,infaroup,40,cut,39,infaroup,40,10
infaroup,40,infaroup,40,cut,40,infaroup,40,15
infaroup,40,infaroup,40,cut,41,infaroup,40,25
infaroup,40,infaroup,40,cut,42,infaroup,40,40
infaroup,40,infaroup,40,cut,43,infaroup,40,55
infaroup,40,infaroup,40,cut,44,infaroup,40,70
infaroup,40,infaroup,40,cut,45,infaroup,40,85
infaroup,40,infaroup,40,cut,46,infaroup,40,100
infaroup,40,infaroup,40,cut,47,infaroup,40,110
infaroup,40,infaroup,40,cut,48,infaroup,40,115
infaroup,40,infaroup,40,cut,49,infaroup,40,120
infaroup,40,infaroup,40,cut,50,infaroup,40,125
infaroup,40,infaroup,40,cut,51,infaroup,40,130
infaroup,40,infaroup,40,slipcut,2,infaroup,40,115
infaroup,40,infaroup,40,slipcut,3,infaroup,40,105
infaroup,40,infaroup,40,slipcut,4,infaroup,40,95
infaroup,40,infaroup,40,slipcut,5,infaroup,40,85
infaroup,40,infaroup,40,slipcut,6,infaroup,40,75
infaroup,40,infaroup,40,slipcut,7,infaroup,40,75
infaroup,40,infaroup,40,slipcut,8,infaroup,40,75
infaroup,40,infaroup,40,slipcut,9,infaroup,40,75
infaroup,40,infaroup,40,slipcut,10,infaroup,40,75
infaroup,40,infaroup,40,slipcut,11,infaroup,40,75
infaroup,40,infaroup,40,slipcut,12,infaroup,40,75
infaroup,40,infaroup,40,slipcut,13,infaroup,40,75
infaroup,40,infaroup,40,slipcut,14,infaroup,40,75
infaroup,40,infaroup,40,slipcut,15,infaroup,40,75
infaroup,40,infaroup,40,slipcut,16,infaroup,40,75
infaroup,40,infaroup,40,slipcut,17,infaroup,40,75
infaroup,40,infaroup,40,slipcut,18,infaroup,40,75
infaroup,40,infaroup,40,slipcut,19,infaroup,40,75
infaroup,40,infaroup,40,slipcut,20,infaroup,40,75
infaroup,40,infaroup,40,slipcut,21,infaroup,40,75
infaroup,40,infaroup,40,slipcut,22,infaroup,40,75
infaroup,40,infaroup,40,slipcut,23,infaroup,40,75
infaroup,40,infaroup,40,slipcut,24,infaroup,40,75
infaroup,40,infaroup,40,slipcut,25,infaroup,40,70
infaroup,40,infaroup,40,slipcut,26,infaroup,40,70
infaroup,40,infaroup,40,slipcut,27,infaroup,40,70
infaroup,40,infaroup,40,slipcut,28,infaroup,40,70
infaroup,40,infaroup,40,slipcut,29,infaroup,40,70
infaroup,40,infaroup,40,slipcut,30,infaroup,40,75
infaroup,40,infaroup,40,slipcut,31,infaroup,40,70
infaroup,40,infaroup,40,slipcut,32,infaroup,40,70
infaroup,40,infaroup,40,slipcut,33,infaroup,40,70
infaroup,40,infaroup,40,slipcut,34,infaroup,40,70
infaroup,40,infaroup,40,slipcut,35,infaroup,40,70
infaroup,40,infaroup,40,slipcut,36,infaroup,40,70
infaroup,40,infaroup,40,slipcut,37,infaroup,40,70
infaroup,40,infaroup,40,slipcut,38,infaroup,40,70
infaroup,40,infaroup,40,slipcut,39,infaroup,40,70
infaroup,40,infaroup,40,slipcut,40,infaroup,40,70
infaroup,40,infaroup,40,slipcut,41,infaroup,40,80
infaroup,40,infaroup,40,slipcut,42,infaroup,40,80
infaroup,40,infaroup,40,slipcut,43,infaroup,40,90
infaroup,40,infaroup,40,slipcut,44,infaroup,40,100
infaroup,40,infaroup,40,slipcut,45,infaroup,40,110
infaroup,40,infaroup,40,slipcut,46,infaroup,40,120
infaroup,40,infaroup,40,slipcut,47,infaroup,40,125
infaroup,40,infaroup,40,slipcut,48,infaroup,40,125
infaroup,40,infaroup,40,slipcut,49,infaroup,40,125
infaroup,40,infaroup,40,slipcut,50,infaroup,40,125
infaroup,40,infaroup,40,slipcut,51,infaroup,40,125
infaroup,40,infaroup,40,slipcut,2,infaroup,40,140
infaroup,40,infaroup,40,slipcut,3,infaroup,40,135
infaroup,40,infaroup,40,slipcut,4,infaroup,40,135
infaroup,40,infaroup,40,slipcut,5,infaroup,40,135
infaroup,40,infaroup,40,slipcut,6,infaroup,40,130
infaroup,40,infaroup,40,slipcut,7,infaroup,40,120
infaroup,40,infaroup,40,slipcut,8,infaroup,40,110
infaroup,40,infaroup,40,slipcut,9,infaroup,40,100
infaroup,40,infaroup,40,slipcut,10,infaroup,40,90
infaroup,40,infaroup,40,slipcut,11,infaroup,40,80
infaroup,40,infaroup,40,slipcut,12,infaroup,40,70
infaroup,40,infaroup,40,slipcut,13,infaroup,40,65
infaroup,40,infaroup,40,slipcut,14,infaroup,40,65
infaroup,40,infaroup,40,slipcut,15,infaroup,40,65
infaroup,40,infaroup,40,slipcut,16,infaroup,40,65
infaroup,40,infaroup,40,slipcut,17,infaroup,40,65
infaroup,40,infaroup,40,slipcut,18,infaroup,40,65
infaroup,40,infaroup,40,slipcut,19,infaroup,40,65
infaroup,40,infaroup,40,slipcut,20,infaroup,40,65
infaroup,40,infaroup,40,slipcut,21,infaroup,40,65
infaroup,40,infaroup,40,slipcut,22,infaroup,40,65
infaroup,40,infaroup,40,slipcut,23,infaroup,40,65
infaroup,40,infaroup,40,slipcut,24,infaroup,40,65
infaroup,40,infaroup,40,slipcut,25,infaroup,40,65
infaroup,40,infaroup,40,slipcut,26,infaroup,40,65
infaroup,40,infaroup,40,slipcut,27,infaroup,40,65
infaroup,40,infaroup,40,slipcut,28,infaroup,40,70
infaroup,40,infaroup,40,slipcut,29,infaroup,40,70
infaroup,40,infaroup,40,slipcut,30,infaroup,40,80
infaroup,40,infaroup,40,slipcut,31,infaroup,40,70
infaroup,40,infaroup,40,slipcut,32,infaroup,40,70
infaroup,40,infaroup,40,slipcut,33,infaroup,40,70
infaroup,40,infaroup,40,slipcut,34,infaroup,40,70
infaroup,40,infaroup,40,slipcut,35,infaroup,40,70
infaroup,40,infaroup,40,slipcut,36,infaroup,40,70
infaroup,40,infaroup,40,slipcut,37,infaroup,40,70
infaroup,40,infaroup,40,slipcut,38,infaroup,40,70
infaroup,40,infaroup,40,slipcut,39,infaroup,40,70
infaroup,40,infaroup,40,slipcut,40,infaroup,40,70
infaroup,40,infaroup,40,slipcut,41,infaroup,40,70
infaroup,40,infaroup,40,slipcut,42,infaroup,40,70
infaroup,40,infaroup,40,slipcut,43,infaroup,40,70
infaroup,40,infaroup,40,slipcut,44,infaroup,40,70
infaroup,40,infaroup,40,slipcut,45,infaroup,40,70
infaroup,40,infaroup,40,slipcut,46,infaroup,40,70
infaroup,40,infaroup,40,slipcut,47,infaroup,40,80
infaroup,40,infaroup,40,slipcut,48,infaroup,40,90
infaroup,40,infaroup,40,slipcut,49,infaroup,40,100
infaroup,40,infaroup,40,slipcut,50,infaroup,40,110
infaroup,40,infaroup,40,slipcut,51,infaroup,40,120
infaroup,40,infaroup,40,peal,2,infaroup,40,115
infaroup,40,infaroup,40,peal,3,infaroup,40,115
infaroup,40,infaroup,40,peal,4,infaroup,40,95
infaroup,40,infaroup,40,peal,5,infaroup,40,95
infaroup,40,infaroup,40,peal,6,infaroup,40,75
infaroup,40,infaroup,40,peal,7,infaroup,40,85
infaroup,40,infaroup,40,peal,8,infaroup,40,75
infaroup,40,infaroup,40,peal,9,infaroup,40,85
infaroup,40,infaroup,40,peal,10,infaroup,40,75
infaroup,40,infaroup,40,peal,11,infaroup,40,85
infaroup,40,infaroup,40,peal,12,infaroup,40,75
infaroup,40,infaroup,40,peal,13,infaroup,40,80
infaroup,40,infaroup,40,peal,14,infaroup,40,75
infaroup,40,infaroup,40,peal,15,infaroup,40,80
infaroup,40,infaroup,40,peal,16,infaroup,40,75
infaroup,40,infaroup,40,peal,17,infaroup,40,80
infaroup,40,infaroup,40,peal,18,infaroup,40,75
infaroup,40,infaroup,40,peal,19,infaroup,40,85
infaroup,40,infaroup,40,peal,20,infaroup,40,80
infaroup,40,infaroup,40,peal,21,infaroup,40,80
infaroup,40,infaroup,40,peal,22,infaroup,40,80
infaroup,40,infaroup,40,peal,23,infaroup,40,85
infaroup,40,infaroup,40,peal,24,infaroup,40,75
infaroup,40,infaroup,40,peal,25,infaroup,40,80
infaroup,40,infaroup,40,peal,26,infaroup,40,70
infaroup,40,infaroup,40,peal,27,infaroup,40,65
infaroup,40,infaroup,40,peal,28,infaroup,40,60
infaroup,40,infaroup,40,peal,29,infaroup,40,60
infaroup,40,infaroup,40,peal,30,infaroup,40,50
infaroup,40,infaroup,40,peal,31,infaroup,40,50
infaroup,40,infaroup,40,peal,32,infaroup,40,40
infaroup,40,infaroup,40,peal,33,infaroup,40,40
infaroup,40,infaroup,40,peal,34,infaroup,40,30
infaroup,40,infaroup,40,peal,35,infaroup,40,25
infaroup,40,infaroup,40,peal,36,infaroup,40,20
infaroup,40,infaroup,40,peal,37,infaroup,40,15
infaroup,40,infaroup,40,peal,38,infaroup,40,5
infaroup,40,infaroup,40,peal,39,infaroup,40,10
infaroup,40,infaroup,40,peal,40,infaroup,40,-5
infaroup,40,infaroup,40,peal,41,infaroup,40,0
infaroup,40,infaroup,40,peal,42,infaroup,40,0
infaroup,40,infaroup,40,peal,43,infaroup,40,0
infaroup,40,infaroup,40,peal,44,infaroup,40,-5
infaroup,40,infaroup,40,peal,45,infaroup,40,5
