maintained,technique,is,CUT,and,the,number,is,40
cut,40,cut,1,cut,40,cut,40,-10
cut,40,cut,2,cut,40,cut,40,-10
cut,40,cut,3,cut,40,cut,40,-10
cut,40,cut,4,cut,40,cut,40,-10
cut,40,cut,5,cut,40,cut,40,-10
cut,40,cut,6,cut,40,cut,40,-10
cut,40,cut,7,cut,40,cut,40,-10
cut,40,cut,8,cut,40,cut,40,-10
cut,40,cut,9,cut,40,cut,40,-10
cut,40,cut,10,cut,40,cut,40,-10
cut,40,cut,11,cut,40,cut,40,-10
cut,40,cut,12,cut,40,cut,40,-10
cut,40,cut,13,cut,40,cut,40,-10
cut,40,cut,14,cut,40,cut,40,-10
cut,40,cut,15,cut,40,cut,40,-10
cut,40,cut,16,cut,40,cut,40,-10
cut,40,cut,17,cut,40,cut,40,-10
cut,40,cut,18,cut,40,cut,40,-10
cut,40,cut,19,cut,40,cut,40,-10
cut,40,cut,20,cut,40,cut,40,-10
cut,40,cut,21,cut,40,cut,40,-10
cut,40,cut,22,cut,40,cut,40,-10
cut,40,cut,23,cut,40,cut,40,-10
cut,40,cut,24,cut,40,cut,40,-10
cut,40,cut,25,cut,40,cut,40,-10
cut,40,cut,26,cut,40,cut,40,-10
cut,40,cut,27,cut,40,cut,40,-10
cut,40,cut,28,cut,40,cut,40,-10
cut,40,cut,29,cut,40,cut,40,-10
cut,40,cut,30,cut,40,cut,40,-10
cut,40,cut,31,cut,40,cut,40,-10
cut,40,cut,32,cut,40,cut,40,-10
cut,40,cut,33,cut,40,cut,40,-10
cut,40,cut,34,cut,40,cut,40,-10
cut,40,cut,35,cut,40,cut,40,-10
cut,40,cut,36,cut,40,cut,40,-10
cut,40,cut,37,cut,40,cut,40,-10
cut,40,cut,38,cut,40,cut,40,-10
cut,40,cut,39,cut,40,cut,40,-10
cut,40,cut,40,cut,40,cut,40,510
cut,40,cut,41,cut,40,cut,40,-10
cut,40,cut,42,cut,40,cut,40,-10
cut,40,cut,43,cut,40,cut,40,-10
cut,40,cut,44,cut,40,cut,40,-10
cut,40,cut,45,cut,40,cut,40,-10
cut,40,cut,46,cut,40,cut,40,-10
cut,40,cut,47,cut,40,cut,40,-10
cut,40,cut,48,cut,40,cut,40,-10
cut,40,cut,49,cut,40,cut,40,-10
cut,40,cut,50,cut,40,cut,40,-10
cut,40,cut,51,cut,40,cut,40,-10
cut,40,slipcut,2,cut,40,cut,40,-10
