maintained,technique,is,INFARO,and,the,number,is,30
cut,1,pealup,30,pealup,30,pealup,30,0
cut,2,pealup,30,pealup,30,pealup,30,5
cut,3,pealup,30,pealup,30,pealup,30,-5
cut,4,pealup,30,pealup,30,pealup,30,5
cut,5,pealup,30,pealup,30,pealup,30,0
cut,6,pealup,30,pealup,30,pealup,30,0
cut,7,pealup,30,pealup,30,pealup,30,-5
cut,8,pealup,30,pealup,30,pealup,30,0
cut,9,pealup,30,pealup,30,pealup,30,5
cut,10,pealup,30,pealup,30,pealup,30,0
cut,11,pealup,30,pealup,30,pealup,30,10
cut,12,pealup,30,pealup,30,pealup,30,-5
cut,13,pealup,30,pealup,30,pealup,30,-5
cut,14,pealup,30,pealup,30,pealup,30,0
cut,15,pealup,30,pealup,30,pealup,30,0
cut,16,pealup,30,pealup,30,pealup,30,-5
cut,17,pealup,30,pealup,30,pealup,30,0
cut,18,pealup,30,pealup,30,pealup,30,0
cut,19,pealup,30,pealup,30,pealup,30,-5
cut,20,pealup,30,pealup,30,pealup,30,-5
cut,21,pealup,30,pealup,30,pealup,30,-5
cut,22,pealup,30,pealup,30,pealup,30,10
cut,23,pealup,30,pealup,30,pealup,30,5
cut,24,pealup,30,pealup,30,pealup,30,5
cut,25,pealup,30,pealup,30,pealup,30,5
cut,26,pealup,30,pealup,30,pealup,30,0
cut,27,pealup,30,pealup,30,pealup,30,5
cut,28,pealup,30,pealup,30,pealup,30,-5
cut,29,pealup,30,pealup,30,pealup,30,-5
cut,30,pealup,30,pealup,30,pealup,30,0
cut,31,pealup,30,pealup,30,pealup,30,0
cut,32,pealup,30,pealup,30,pealup,30,-5
cut,33,pealup,30,pealup,30,pealup,30,0
cut,34,pealup,30,pealup,30,pealup,30,-5
cut,35,pealup,30,pealup,30,pealup,30,-5
cut,36,pealup,30,pealup,30,pealup,30,0
cut,37,pealup,30,pealup,30,pealup,30,5
cut,38,pealup,30,pealup,30,pealup,30,5
cut,39,pealup,30,pealup,30,pealup,30,10
cut,40,pealup,30,pealup,30,pealup,30,0
cut,41,pealup,30,pealup,30,pealup,30,0
cut,42,pealup,30,pealup,30,pealup,30,0
cut,43,pealup,30,pealup,30,pealup,30,0
cut,44,pealup,30,pealup,30,pealup,30,-5
cut,45,pealup,30,pealup,30,pealup,30,-5
cut,46,pealup,30,pealup,30,pealup,30,-5
cut,47,pealup,30,pealup,30,pealup,30,0
cut,48,pealup,30,pealup,30,pealup,30,5
cut,49,pealup,30,pealup,30,pealup,30,5
cut,50,pealup,30,pealup,30,pealup,30,0
cut,51,pealup,30,pealup,30,pealup,30,0
slipcut,2,pealup,30,pealup,30,pealup,30,-5
slipcut,3,pealup,30,pealup,30,pealup,30,-5
slipcut,4,pealup,30,pealup,30,pealup,30,0
slipcut,5,pealup,30,pealup,30,pealup,30,0
slipcut,6,pealup,30,pealup,30,pealup,30,0
slipcut,7,pealup,30,pealup,30,pealup,30,0
slipcut,8,pealup,30,pealup,30,pealup,30,0
slipcut,9,pealup,30,pealup,30,pealup,30,0
slipcut,10,pealup,30,pealup,30,pealup,30,0
slipcut,11,pealup,30,pealup,30,pealup,30,0
slipcut,12,pealup,30,pealup,30,pealup,30,0
slipcut,13,pealup,30,pealup,30,pealup,30,5
slipcut,14,pealup,30,pealup,30,pealup,30,0
slipcut,15,pealup,30,pealup,30,pealup,30,0
slipcut,16,pealup,30,pealup,30,pealup,30,5
slipcut,17,pealup,30,pealup,30,pealup,30,0
slipcut,18,pealup,30,pealup,30,pealup,30,0
slipcut,19,pealup,30,pealup,30,pealup,30,0
slipcut,20,pealup,30,pealup,30,pealup,30,5
slipcut,21,pealup,30,pealup,30,pealup,30,0
slipcut,22,pealup,30,pealup,30,pealup,30,0
slipcut,23,pealup,30,pealup,30,pealup,30,0
slipcut,24,pealup,30,pealup,30,pealup,30,0
slipcut,25,pealup,30,pealup,30,pealup,30,0
slipcut,26,pealup,30,pealup,30,pealup,30,0
slipcut,27,pealup,30,pealup,30,pealup,30,0
slipcut,28,pealup,30,pealup,30,pealup,30,0
slipcut,29,pealup,30,pealup,30,pealup,30,0
slipcut,30,pealup,30,pealup,30,pealup,30,0
slipcut,31,pealup,30,pealup,30,pealup,30,0
slipcut,32,pealup,30,pealup,30,pealup,30,0
slipcut,33,pealup,30,pealup,30,pealup,30,0
slipcut,34,pealup,30,pealup,30,pealup,30,0
slipcut,35,pealup,30,pealup,30,pealup,30,0
slipcut,36,pealup,30,pealup,30,pealup,30,0
slipcut,37,pealup,30,pealup,30,pealup,30,0
slipcut,38,pealup,30,pealup,30,pealup,30,0
slipcut,39,pealup,30,pealup,30,pealup,30,0
slipcut,40,pealup,30,pealup,30,pealup,30,0
slipcut,41,pealup,30,pealup,30,pealup,30,0
slipcut,42,pealup,30,pealup,30,pealup,30,0
slipcut,43,pealup,30,pealup,30,pealup,30,0
slipcut,44,pealup,30,pealup,30,pealup,30,0
slipcut,45,pealup,30,pealup,30,pealup,30,0
slipcut,46,pealup,30,pealup,30,pealup,30,0
slipcut,47,pealup,30,pealup,30,pealup,30,0
slipcut,48,pealup,30,pealup,30,pealup,30,0
slipcut,49,pealup,30,pealup,30,pealup,30,0
slipcut,50,pealup,30,pealup,30,pealup,30,0
slipcut,51,pealup,30,pealup,30,pealup,30,0
slipcut,2,pealup,30,pealup,30,pealup,30,0
slipcut,3,pealup,30,pealup,30,pealup,30,0
slipcut,4,pealup,30,pealup,30,pealup,30,0
slipcut,5,pealup,30,pealup,30,pealup,30,0
slipcut,6,pealup,30,pealup,30,pealup,30,0
slipcut,7,pealup,30,pealup,30,pealup,30,0
slipcut,8,pealup,30,pealup,30,pealup,30,0
slipcut,9,pealup,30,pealup,30,pealup,30,0
slipcut,10,pealup,30,pealup,30,pealup,30,0
slipcut,11,pealup,30,pealup,30,pealup,30,5
slipcut,12,pealup,30,pealup,30,pealup,30,0
slipcut,13,pealup,30,pealup,30,pealup,30,0
slipcut,14,pealup,30,pealup,30,pealup,30,0
slipcut,15,pealup,30,pealup,30,pealup,30,0
slipcut,16,pealup,30,pealup,30,pealup,30,0
slipcut,17,pealup,30,pealup,30,pealup,30,0
slipcut,18,pealup,30,pealup,30,pealup,30,0
slipcut,19,pealup,30,pealup,30,pealup,30,0
slipcut,20,pealup,30,pealup,30,pealup,30,0
slipcut,21,pealup,30,pealup,30,pealup,30,0
slipcut,22,pealup,30,pealup,30,pealup,30,0
slipcut,23,pealup,30,pealup,30,pealup,30,0
slipcut,24,pealup,30,pealup,30,pealup,30,5
slipcut,25,pealup,30,pealup,30,pealup,30,0
slipcut,26,pealup,30,pealup,30,pealup,30,0
slipcut,27,pealup,30,pealup,30,pealup,30,0
slipcut,28,pealup,30,pealup,30,pealup,30,0
slipcut,29,pealup,30,pealup,30,pealup,30,0
slipcut,30,pealup,30,pealup,30,pealup,30,0
slipcut,31,pealup,30,pealup,30,pealup,30,0
slipcut,32,pealup,30,pealup,30,pealup,30,0
slipcut,33,pealup,30,pealup,30,pealup,30,0
slipcut,34,pealup,30,pealup,30,pealup,30,0
slipcut,35,pealup,30,pealup,30,pealup,30,0
slipcut,36,pealup,30,pealup,30,pealup,30,0
slipcut,37,pealup,30,pealup,30,pealup,30,0
slipcut,38,pealup,30,pealup,30,pealup,30,0
slipcut,39,pealup,30,pealup,30,pealup,30,0
slipcut,40,pealup,30,pealup,30,pealup,30,0
slipcut,41,pealup,30,pealup,30,pealup,30,0
slipcut,42,pealup,30,pealup,30,pealup,30,0
slipcut,43,pealup,30,pealup,30,pealup,30,0
slipcut,44,pealup,30,pealup,30,pealup,30,0
slipcut,45,pealup,30,pealup,30,pealup,30,0
slipcut,46,pealup,30,pealup,30,pealup,30,0
slipcut,47,pealup,30,pealup,30,pealup,30,0
slipcut,48,pealup,30,pealup,30,pealup,30,0
slipcut,49,pealup,30,pealup,30,pealup,30,0
slipcut,50,pealup,30,pealup,30,pealup,30,5
slipcut,51,pealup,30,pealup,30,pealup,30,0
peal,2,pealup,30,pealup,30,pealup,30,-5
peal,3,pealup,30,pealup,30,pealup,30,-5
