maintained,technique,is,PEALUP,and,the,number,is,20
cut,1,pealup,20,pealup,20,pealup,20,0
cut,2,pealup,20,pealup,20,pealup,20,-10
cut,3,pealup,20,pealup,20,pealup,20,0
cut,4,pealup,20,pealup,20,pealup,20,-10
cut,5,pealup,20,pealup,20,pealup,20,0
cut,6,pealup,20,pealup,20,pealup,20,-10
cut,7,pealup,20,pealup,20,pealup,20,0
cut,8,pealup,20,pealup,20,pealup,20,-10
cut,9,pealup,20,pealup,20,pealup,20,0
cut,10,pealup,20,pealup,20,pealup,20,-10
cut,11,pealup,20,pealup,20,pealup,20,0
cut,12,pealup,20,pealup,20,pealup,20,-10
cut,13,pealup,20,pealup,20,pealup,20,0
cut,14,pealup,20,pealup,20,pealup,20,-10
cut,15,pealup,20,pealup,20,pealup,20,0
cut,16,pealup,20,pealup,20,pealup,20,-10
cut,17,pealup,20,pealup,20,pealup,20,0
cut,18,pealup,20,pealup,20,pealup,20,-10
cut,19,pealup,20,pealup,20,pealup,20,0
cut,20,pealup,20,pealup,20,pealup,20,-10
cut,21,pealup,20,pealup,20,pealup,20,-10
cut,22,pealup,20,pealup,20,pealup,20,-10
cut,23,pealup,20,pealup,20,pealup,20,-10
cut,24,pealup,20,pealup,20,pealup,20,-10
cut,25,pealup,20,pealup,20,pealup,20,-10
cut,26,pealup,20,pealup,20,pealup,20,-10
cut,27,pealup,20,pealup,20,pealup,20,-10
cut,28,pealup,20,pealup,20,pealup,20,-10
cut,29,pealup,20,pealup,20,pealup,20,-10
cut,30,pealup,20,pealup,20,pealup,20,-10
cut,31,pealup,20,pealup,20,pealup,20,-10
cut,32,pealup,20,pealup,20,pealup,20,-10
cut,33,pealup,20,pealup,20,pealup,20,0
cut,34,pealup,20,pealup,20,pealup,20,-10
cut,35,pealup,20,pealup,20,pealup,20,0
cut,36,pealup,20,pealup,20,pealup,20,-10
cut,37,pealup,20,pealup,20,pealup,20,0
cut,38,pealup,20,pealup,20,pealup,20,-10
cut,39,pealup,20,pealup,20,pealup,20,0
cut,40,pealup,20,pealup,20,pealup,20,-10
cut,41,pealup,20,pealup,20,pealup,20,0
cut,42,pealup,20,pealup,20,pealup,20,-10
cut,43,pealup,20,pealup,20,pealup,20,0
cut,44,pealup,20,pealup,20,pealup,20,-10
cut,45,pealup,20,pealup,20,pealup,20,0
cut,46,pealup,20,pealup,20,pealup,20,-10
cut,47,pealup,20,pealup,20,pealup,20,0
cut,48,pealup,20,pealup,20,pealup,20,-10
cut,49,pealup,20,pealup,20,pealup,20,0
cut,50,pealup,20,pealup,20,pealup,20,-10
cut,51,pealup,20,pealup,20,pealup,20,0
slipcut,2,pealup,20,pealup,20,pealup,20,290
slipcut,3,pealup,20,pealup,20,pealup,20,280
slipcut,4,pealup,20,pealup,20,pealup,20,270
slipcut,5,pealup,20,pealup,20,pealup,20,260
slipcut,6,pealup,20,pealup,20,pealup,20,250
slipcut,7,pealup,20,pealup,20,pealup,20,240
slipcut,8,pealup,20,pealup,20,pealup,20,230
slipcut,9,pealup,20,pealup,20,pealup,20,220
slipcut,10,pealup,20,pealup,20,pealup,20,210
slipcut,11,pealup,20,pealup,20,pealup,20,200
slipcut,12,pealup,20,pealup,20,pealup,20,190
slipcut,13,pealup,20,pealup,20,pealup,20,180
slipcut,14,pealup,20,pealup,20,pealup,20,170
slipcut,15,pealup,20,pealup,20,pealup,20,160
slipcut,16,pealup,20,pealup,20,pealup,20,150
slipcut,17,pealup,20,pealup,20,pealup,20,140
slipcut,18,pealup,20,pealup,20,pealup,20,130
slipcut,19,pealup,20,pealup,20,pealup,20,120
slipcut,20,pealup,20,pealup,20,pealup,20,110
slipcut,21,pealup,20,pealup,20,pealup,20,100
slipcut,22,pealup,20,pealup,20,pealup,20,90
slipcut,23,pealup,20,pealup,20,pealup,20,80
slipcut,24,pealup,20,pealup,20,pealup,20,70
slipcut,25,pealup,20,pealup,20,pealup,20,60
slipcut,26,pealup,20,pealup,20,pealup,20,50
slipcut,27,pealup,20,pealup,20,pealup,20,40
slipcut,28,pealup,20,pealup,20,pealup,20,30
slipcut,29,pealup,20,pealup,20,pealup,20,20
slipcut,30,pealup,20,pealup,20,pealup,20,10
slipcut,31,pealup,20,pealup,20,pealup,20,0
slipcut,32,pealup,20,pealup,20,pealup,20,-10
slipcut,33,pealup,20,pealup,20,pealup,20,-10
slipcut,34,pealup,20,pealup,20,pealup,20,-10
slipcut,35,pealup,20,pealup,20,pealup,20,-10
slipcut,36,pealup,20,pealup,20,pealup,20,-10
slipcut,37,pealup,20,pealup,20,pealup,20,-10
slipcut,38,pealup,20,pealup,20,pealup,20,-10
slipcut,39,pealup,20,pealup,20,pealup,20,-10
slipcut,40,pealup,20,pealup,20,pealup,20,-10
slipcut,41,pealup,20,pealup,20,pealup,20,-10
slipcut,42,pealup,20,pealup,20,pealup,20,-10
slipcut,43,pealup,20,pealup,20,pealup,20,0
slipcut,44,pealup,20,pealup,20,pealup,20,0
slipcut,45,pealup,20,pealup,20,pealup,20,0
slipcut,46,pealup,20,pealup,20,pealup,20,0
slipcut,47,pealup,20,pealup,20,pealup,20,0
slipcut,48,pealup,20,pealup,20,pealup,20,0
slipcut,49,pealup,20,pealup,20,pealup,20,0
slipcut,50,pealup,20,pealup,20,pealup,20,0
slipcut,51,pealup,20,pealup,20,pealup,20,0
slipcut,2,pealup,20,pealup,20,pealup,20,310
slipcut,3,pealup,20,pealup,20,pealup,20,310
slipcut,4,pealup,20,pealup,20,pealup,20,310
slipcut,5,pealup,20,pealup,20,pealup,20,310
slipcut,6,pealup,20,pealup,20,pealup,20,310
slipcut,7,pealup,20,pealup,20,pealup,20,310
slipcut,8,pealup,20,pealup,20,pealup,20,310
slipcut,9,pealup,20,pealup,20,pealup,20,310
slipcut,10,pealup,20,pealup,20,pealup,20,310
slipcut,11,pealup,20,pealup,20,pealup,20,320
slipcut,12,pealup,20,pealup,20,pealup,20,320
slipcut,13,pealup,20,pealup,20,pealup,20,320
slipcut,14,pealup,20,pealup,20,pealup,20,320
slipcut,15,pealup,20,pealup,20,pealup,20,320
slipcut,16,pealup,20,pealup,20,pealup,20,320
slipcut,17,pealup,20,pealup,20,pealup,20,320
slipcut,18,pealup,20,pealup,20,pealup,20,320
slipcut,19,pealup,20,pealup,20,pealup,20,320
slipcut,20,pealup,20,pealup,20,pealup,20,330
slipcut,21,pealup,20,pealup,20,pealup,20,310
slipcut,22,pealup,20,pealup,20,pealup,20,300
slipcut,23,pealup,20,pealup,20,pealup,20,290
slipcut,24,pealup,20,pealup,20,pealup,20,280
slipcut,25,pealup,20,pealup,20,pealup,20,270
slipcut,26,pealup,20,pealup,20,pealup,20,260
slipcut,27,pealup,20,pealup,20,pealup,20,250
slipcut,28,pealup,20,pealup,20,pealup,20,240
slipcut,29,pealup,20,pealup,20,pealup,20,230
slipcut,30,pealup,20,pealup,20,pealup,20,220
slipcut,31,pealup,20,pealup,20,pealup,20,210
slipcut,32,pealup,20,pealup,20,pealup,20,200
slipcut,33,pealup,20,pealup,20,pealup,20,190
slipcut,34,pealup,20,pealup,20,pealup,20,180
slipcut,35,pealup,20,pealup,20,pealup,20,170
slipcut,36,pealup,20,pealup,20,pealup,20,160
slipcut,37,pealup,20,pealup,20,pealup,20,150
slipcut,38,pealup,20,pealup,20,pealup,20,140
slipcut,39,pealup,20,pealup,20,pealup,20,130
slipcut,40,pealup,20,pealup,20,pealup,20,120
slipcut,41,pealup,20,pealup,20,pealup,20,110
slipcut,42,pealup,20,pealup,20,pealup,20,100
slipcut,43,pealup,20,pealup,20,pealup,20,90
slipcut,44,pealup,20,pealup,20,pealup,20,80
slipcut,45,pealup,20,pealup,20,pealup,20,70
slipcut,46,pealup,20,pealup,20,pealup,20,60
slipcut,47,pealup,20,pealup,20,pealup,20,50
slipcut,48,pealup,20,pealup,20,pealup,20,40
slipcut,49,pealup,20,pealup,20,pealup,20,30
slipcut,50,pealup,20,pealup,20,pealup,20,20
slipcut,51,pealup,20,pealup,20,pealup,20,10
peal,2,pealup,20,pealup,20,pealup,20,290
peal,3,pealup,20,pealup,20,pealup,20,290
peal,4,pealup,20,pealup,20,pealup,20,270
