maintained,technique,is,SLIPCUTUP,and,the,number,is,20
cut,1,slipcut,20,slipcut,20,slipcut,20,225
cut,2,slipcut,20,slipcut,20,slipcut,20,225
cut,3,slipcut,20,slipcut,20,slipcut,20,230
cut,4,slipcut,20,slipcut,20,slipcut,20,225
cut,5,slipcut,20,slipcut,20,slipcut,20,225
cut,6,slipcut,20,slipcut,20,slipcut,20,225
cut,7,slipcut,20,slipcut,20,slipcut,20,225
cut,8,slipcut,20,slipcut,20,slipcut,20,225
cut,9,slipcut,20,slipcut,20,slipcut,20,225
cut,10,slipcut,20,slipcut,20,slipcut,20,225
cut,11,slipcut,20,slipcut,20,slipcut,20,225
cut,12,slipcut,20,slipcut,20,slipcut,20,225
cut,13,slipcut,20,slipcut,20,slipcut,20,225
cut,14,slipcut,20,slipcut,20,slipcut,20,225
cut,15,slipcut,20,slipcut,20,slipcut,20,225
cut,16,slipcut,20,slipcut,20,slipcut,20,230
cut,17,slipcut,20,slipcut,20,slipcut,20,225
cut,18,slipcut,20,slipcut,20,slipcut,20,225
cut,19,slipcut,20,slipcut,20,slipcut,20,230
cut,20,slipcut,20,slipcut,20,slipcut,20,230
cut,21,slipcut,20,slipcut,20,slipcut,20,225
cut,22,slipcut,20,slipcut,20,slipcut,20,225
cut,23,slipcut,20,slipcut,20,slipcut,20,225
cut,24,slipcut,20,slipcut,20,slipcut,20,225
cut,25,slipcut,20,slipcut,20,slipcut,20,225
cut,26,slipcut,20,slipcut,20,slipcut,20,225
cut,27,slipcut,20,slipcut,20,slipcut,20,225
cut,28,slipcut,20,slipcut,20,slipcut,20,225
cut,29,slipcut,20,slipcut,20,slipcut,20,225
cut,30,slipcut,20,slipcut,20,slipcut,20,225
cut,31,slipcut,20,slipcut,20,slipcut,20,225
cut,32,slipcut,20,slipcut,20,slipcut,20,230
cut,33,slipcut,20,slipcut,20,slipcut,20,225
cut,34,slipcut,20,slipcut,20,slipcut,20,225
cut,35,slipcut,20,slipcut,20,slipcut,20,230
cut,36,slipcut,20,slipcut,20,slipcut,20,225
cut,37,slipcut,20,slipcut,20,slipcut,20,225
cut,38,slipcut,20,slipcut,20,slipcut,20,225
cut,39,slipcut,20,slipcut,20,slipcut,20,225
cut,40,slipcut,20,slipcut,20,slipcut,20,225
cut,41,slipcut,20,slipcut,20,slipcut,20,225
cut,42,slipcut,20,slipcut,20,slipcut,20,225
cut,43,slipcut,20,slipcut,20,slipcut,20,225
cut,44,slipcut,20,slipcut,20,slipcut,20,225
cut,45,slipcut,20,slipcut,20,slipcut,20,225
cut,46,slipcut,20,slipcut,20,slipcut,20,225
cut,47,slipcut,20,slipcut,20,slipcut,20,225
cut,48,slipcut,20,slipcut,20,slipcut,20,230
cut,49,slipcut,20,slipcut,20,slipcut,20,225
cut,50,slipcut,20,slipcut,20,slipcut,20,225
cut,51,slipcut,20,slipcut,20,slipcut,20,325
slipcut,2,slipcut,20,slipcut,20,slipcut,20,380
slipcut,3,slipcut,20,slipcut,20,slipcut,20,375
slipcut,4,slipcut,20,slipcut,20,slipcut,20,370
slipcut,5,slipcut,20,slipcut,20,slipcut,20,365
slipcut,6,slipcut,20,slipcut,20,slipcut,20,360
slipcut,7,slipcut,20,slipcut,20,slipcut,20,355
slipcut,8,slipcut,20,slipcut,20,slipcut,20,350
slipcut,9,slipcut,20,slipcut,20,slipcut,20,345
slipcut,10,slipcut,20,slipcut,20,slipcut,20,340
slipcut,11,slipcut,20,slipcut,20,slipcut,20,335
slipcut,12,slipcut,20,slipcut,20,slipcut,20,330
slipcut,13,slipcut,20,slipcut,20,slipcut,20,325
slipcut,14,slipcut,20,slipcut,20,slipcut,20,320
slipcut,15,slipcut,20,slipcut,20,slipcut,20,315
slipcut,16,slipcut,20,slipcut,20,slipcut,20,310
slipcut,17,slipcut,20,slipcut,20,slipcut,20,305
slipcut,18,slipcut,20,slipcut,20,slipcut,20,300
slipcut,19,slipcut,20,slipcut,20,slipcut,20,295
slipcut,20,slipcut,20,slipcut,20,slipcut,20,290
slipcut,21,slipcut,20,slipcut,20,slipcut,20,285
slipcut,22,slipcut,20,slipcut,20,slipcut,20,280
slipcut,23,slipcut,20,slipcut,20,slipcut,20,275
slipcut,24,slipcut,20,slipcut,20,slipcut,20,270
slipcut,25,slipcut,20,slipcut,20,slipcut,20,265
slipcut,26,slipcut,20,slipcut,20,slipcut,20,260
slipcut,27,slipcut,20,slipcut,20,slipcut,20,255
slipcut,28,slipcut,20,slipcut,20,slipcut,20,250
slipcut,29,slipcut,20,slipcut,20,slipcut,20,245
slipcut,30,slipcut,20,slipcut,20,slipcut,20,240
slipcut,31,slipcut,20,slipcut,20,slipcut,20,235
slipcut,32,slipcut,20,slipcut,20,slipcut,20,235
slipcut,33,slipcut,20,slipcut,20,slipcut,20,225
slipcut,34,slipcut,20,slipcut,20,slipcut,20,220
slipcut,35,slipcut,20,slipcut,20,slipcut,20,220
slipcut,36,slipcut,20,slipcut,20,slipcut,20,220
slipcut,37,slipcut,20,slipcut,20,slipcut,20,220
slipcut,38,slipcut,20,slipcut,20,slipcut,20,220
slipcut,39,slipcut,20,slipcut,20,slipcut,20,220
slipcut,40,slipcut,20,slipcut,20,slipcut,20,220
slipcut,41,slipcut,20,slipcut,20,slipcut,20,220
slipcut,42,slipcut,20,slipcut,20,slipcut,20,220
slipcut,43,slipcut,20,slipcut,20,slipcut,20,220
slipcut,44,slipcut,20,slipcut,20,slipcut,20,220
slipcut,45,slipcut,20,slipcut,20,slipcut,20,220
slipcut,46,slipcut,20,slipcut,20,slipcut,20,220
slipcut,47,slipcut,20,slipcut,20,slipcut,20,220
slipcut,48,slipcut,20,slipcut,20,slipcut,20,225
slipcut,49,slipcut,20,slipcut,20,slipcut,20,225
slipcut,50,slipcut,20,slipcut,20,slipcut,20,225
slipcut,51,slipcut,20,slipcut,20,slipcut,20,220
slipcut,2,slipcut,20,slipcut,20,slipcut,20,390
