maintained,technique,is,SLIPCUTUP,and,the,number,is,20
cut,1,slipcut,20,slipcut,20,slipcut,20,460
cut,2,slipcut,20,slipcut,20,slipcut,20,460
cut,3,slipcut,20,slipcut,20,slipcut,20,470
cut,4,slipcut,20,slipcut,20,slipcut,20,460
cut,5,slipcut,20,slipcut,20,slipcut,20,460
cut,6,slipcut,20,slipcut,20,slipcut,20,460
cut,7,slipcut,20,slipcut,20,slipcut,20,460
cut,8,slipcut,20,slipcut,20,slipcut,20,460
cut,9,slipcut,20,slipcut,20,slipcut,20,460
cut,10,slipcut,20,slipcut,20,slipcut,20,460
cut,11,slipcut,20,slipcut,20,slipcut,20,460
cut,12,slipcut,20,slipcut,20,slipcut,20,460
cut,13,slipcut,20,slipcut,20,slipcut,20,460
cut,14,slipcut,20,slipcut,20,slipcut,20,460
cut,15,slipcut,20,slipcut,20,slipcut,20,460
cut,16,slipcut,20,slipcut,20,slipcut,20,470
cut,17,slipcut,20,slipcut,20,slipcut,20,460
cut,18,slipcut,20,slipcut,20,slipcut,20,460
cut,19,slipcut,20,slipcut,20,slipcut,20,460
cut,20,slipcut,20,slipcut,20,slipcut,20,470
cut,21,slipcut,20,slipcut,20,slipcut,20,460
cut,22,slipcut,20,slipcut,20,slipcut,20,460
cut,23,slipcut,20,slipcut,20,slipcut,20,460
cut,24,slipcut,20,slipcut,20,slipcut,20,460
cut,25,slipcut,20,slipcut,20,slipcut,20,460
cut,26,slipcut,20,slipcut,20,slipcut,20,460
cut,27,slipcut,20,slipcut,20,slipcut,20,460
cut,28,slipcut,20,slipcut,20,slipcut,20,460
cut,29,slipcut,20,slipcut,20,slipcut,20,460
cut,30,slipcut,20,slipcut,20,slipcut,20,460
cut,31,slipcut,20,slipcut,20,slipcut,20,460
cut,32,slipcut,20,slipcut,20,slipcut,20,470
cut,33,slipcut,20,slipcut,20,slipcut,20,460
cut,34,slipcut,20,slipcut,20,slipcut,20,460
cut,35,slipcut,20,slipcut,20,slipcut,20,470
cut,36,slipcut,20,slipcut,20,slipcut,20,460
cut,37,slipcut,20,slipcut,20,slipcut,20,460
cut,38,slipcut,20,slipcut,20,slipcut,20,460
cut,39,slipcut,20,slipcut,20,slipcut,20,460
cut,40,slipcut,20,slipcut,20,slipcut,20,460
cut,41,slipcut,20,slipcut,20,slipcut,20,460
cut,42,slipcut,20,slipcut,20,slipcut,20,460
cut,43,slipcut,20,slipcut,20,slipcut,20,460
cut,44,slipcut,20,slipcut,20,slipcut,20,460
cut,45,slipcut,20,slipcut,20,slipcut,20,460
cut,46,slipcut,20,slipcut,20,slipcut,20,460
cut,47,slipcut,20,slipcut,20,slipcut,20,460
cut,48,slipcut,20,slipcut,20,slipcut,20,470
cut,49,slipcut,20,slipcut,20,slipcut,20,460
cut,50,slipcut,20,slipcut,20,slipcut,20,460
cut,51,slipcut,20,slipcut,20,slipcut,20,470
slipcut,2,slipcut,20,slipcut,20,slipcut,20,470
slipcut,3,slipcut,20,slipcut,20,slipcut,20,470
slipcut,4,slipcut,20,slipcut,20,slipcut,20,470
slipcut,5,slipcut,20,slipcut,20,slipcut,20,470
slipcut,6,slipcut,20,slipcut,20,slipcut,20,470
