maintained,technique,is,INFARO,and,the,number,is,20
infaro,20,infaro,20,infaro,20,cut,1,0
infaro,20,infaro,20,infaro,20,cut,2,0
infaro,20,infaro,20,infaro,20,cut,3,0
infaro,20,infaro,20,infaro,20,cut,4,0
infaro,20,infaro,20,infaro,20,cut,5,0
infaro,20,infaro,20,infaro,20,cut,6,0
infaro,20,infaro,20,infaro,20,cut,7,0
infaro,20,infaro,20,infaro,20,cut,8,0
infaro,20,infaro,20,infaro,20,cut,9,0
infaro,20,infaro,20,infaro,20,cut,10,0
infaro,20,infaro,20,infaro,20,cut,11,0
infaro,20,infaro,20,infaro,20,cut,12,0
infaro,20,infaro,20,infaro,20,cut,13,0
infaro,20,infaro,20,infaro,20,cut,14,0
infaro,20,infaro,20,infaro,20,cut,15,0
infaro,20,infaro,20,infaro,20,cut,16,0
infaro,20,infaro,20,infaro,20,cut,17,0
infaro,20,infaro,20,infaro,20,cut,18,0
infaro,20,infaro,20,infaro,20,cut,19,0
infaro,20,infaro,20,infaro,20,cut,20,0
infaro,20,infaro,20,infaro,20,cut,21,-10
infaro,20,infaro,20,infaro,20,cut,22,-10
infaro,20,infaro,20,infaro,20,cut,23,-10
infaro,20,infaro,20,infaro,20,cut,24,-10
infaro,20,infaro,20,infaro,20,cut,25,-10
infaro,20,infaro,20,infaro,20,cut,26,-10
infaro,20,infaro,20,infaro,20,cut,27,-10
infaro,20,infaro,20,infaro,20,cut,28,-10
infaro,20,infaro,20,infaro,20,cut,29,-10
infaro,20,infaro,20,infaro,20,cut,30,-10
infaro,20,infaro,20,infaro,20,cut,31,-10
infaro,20,infaro,20,infaro,20,cut,32,0
infaro,20,infaro,20,infaro,20,cut,33,0
infaro,20,infaro,20,infaro,20,cut,34,0
infaro,20,infaro,20,infaro,20,cut,35,0
infaro,20,infaro,20,infaro,20,cut,36,0
infaro,20,infaro,20,infaro,20,cut,37,0
infaro,20,infaro,20,infaro,20,cut,38,0
infaro,20,infaro,20,infaro,20,cut,39,0
infaro,20,infaro,20,infaro,20,cut,40,0
infaro,20,infaro,20,infaro,20,cut,41,0
infaro,20,infaro,20,infaro,20,cut,42,0
infaro,20,infaro,20,infaro,20,cut,43,0
infaro,20,infaro,20,infaro,20,cut,44,0
infaro,20,infaro,20,infaro,20,cut,45,0
infaro,20,infaro,20,infaro,20,cut,46,0
infaro,20,infaro,20,infaro,20,cut,47,0
infaro,20,infaro,20,infaro,20,cut,48,0
infaro,20,infaro,20,infaro,20,cut,49,0
infaro,20,infaro,20,infaro,20,cut,50,0
infaro,20,infaro,20,infaro,20,cut,51,0
infaro,20,infaro,20,infaro,20,slipcut,2,120
infaro,20,infaro,20,infaro,20,slipcut,3,110
infaro,20,infaro,20,infaro,20,slipcut,4,110
infaro,20,infaro,20,infaro,20,slipcut,5,110
infaro,20,infaro,20,infaro,20,slipcut,6,110
infaro,20,infaro,20,infaro,20,slipcut,7,110
infaro,20,infaro,20,infaro,20,slipcut,8,110
infaro,20,infaro,20,infaro,20,slipcut,9,110
infaro,20,infaro,20,infaro,20,slipcut,10,110
infaro,20,infaro,20,infaro,20,slipcut,11,110
infaro,20,infaro,20,infaro,20,slipcut,12,110
infaro,20,infaro,20,infaro,20,slipcut,13,110
infaro,20,infaro,20,infaro,20,slipcut,14,110
infaro,20,infaro,20,infaro,20,slipcut,15,110
infaro,20,infaro,20,infaro,20,slipcut,16,110
infaro,20,infaro,20,infaro,20,slipcut,17,110
infaro,20,infaro,20,infaro,20,slipcut,18,110
infaro,20,infaro,20,infaro,20,slipcut,19,110
infaro,20,infaro,20,infaro,20,slipcut,20,110
infaro,20,infaro,20,infaro,20,slipcut,21,110
infaro,20,infaro,20,infaro,20,slipcut,22,110
infaro,20,infaro,20,infaro,20,slipcut,23,110
infaro,20,infaro,20,infaro,20,slipcut,24,110
infaro,20,infaro,20,infaro,20,slipcut,25,110
infaro,20,infaro,20,infaro,20,slipcut,26,110
infaro,20,infaro,20,infaro,20,slipcut,27,110
infaro,20,infaro,20,infaro,20,slipcut,28,110
infaro,20,infaro,20,infaro,20,slipcut,29,110
infaro,20,infaro,20,infaro,20,slipcut,30,110
infaro,20,infaro,20,infaro,20,slipcut,31,110
infaro,20,infaro,20,infaro,20,slipcut,32,110
infaro,20,infaro,20,infaro,20,slipcut,33,110
infaro,20,infaro,20,infaro,20,slipcut,34,110
infaro,20,infaro,20,infaro,20,slipcut,35,110
infaro,20,infaro,20,infaro,20,slipcut,36,110
infaro,20,infaro,20,infaro,20,slipcut,37,110
infaro,20,infaro,20,infaro,20,slipcut,38,110
infaro,20,infaro,20,infaro,20,slipcut,39,110
infaro,20,infaro,20,infaro,20,slipcut,40,120
infaro,20,infaro,20,infaro,20,slipcut,41,110
infaro,20,infaro,20,infaro,20,slipcut,42,100
infaro,20,infaro,20,infaro,20,slipcut,43,90
infaro,20,infaro,20,infaro,20,slipcut,44,80
infaro,20,infaro,20,infaro,20,slipcut,45,70
infaro,20,infaro,20,infaro,20,slipcut,46,60
infaro,20,infaro,20,infaro,20,slipcut,47,50
infaro,20,infaro,20,infaro,20,slipcut,48,40
infaro,20,infaro,20,infaro,20,slipcut,49,30
infaro,20,infaro,20,infaro,20,slipcut,50,20
infaro,20,infaro,20,infaro,20,slipcut,51,10
infaro,20,infaro,20,infaro,20,slipcut,2,90
infaro,20,infaro,20,infaro,20,slipcut,3,80
infaro,20,infaro,20,infaro,20,slipcut,4,70
infaro,20,infaro,20,infaro,20,slipcut,5,60
infaro,20,infaro,20,infaro,20,slipcut,6,50
infaro,20,infaro,20,infaro,20,slipcut,7,40
infaro,20,infaro,20,infaro,20,slipcut,8,30
infaro,20,infaro,20,infaro,20,slipcut,9,20
infaro,20,infaro,20,infaro,20,slipcut,10,10
infaro,20,infaro,20,infaro,20,slipcut,11,0
infaro,20,infaro,20,infaro,20,slipcut,12,-10
infaro,20,infaro,20,infaro,20,slipcut,13,-10
infaro,20,infaro,20,infaro,20,slipcut,14,-10
infaro,20,infaro,20,infaro,20,slipcut,15,-10
infaro,20,infaro,20,infaro,20,slipcut,16,-10
infaro,20,infaro,20,infaro,20,slipcut,17,-10
infaro,20,infaro,20,infaro,20,slipcut,18,-10
infaro,20,infaro,20,infaro,20,slipcut,19,-10
infaro,20,infaro,20,infaro,20,slipcut,20,-10
infaro,20,infaro,20,infaro,20,slipcut,21,-10
infaro,20,infaro,20,infaro,20,slipcut,22,-10
infaro,20,infaro,20,infaro,20,slipcut,23,-10
infaro,20,infaro,20,infaro,20,slipcut,24,-10
infaro,20,infaro,20,infaro,20,slipcut,25,-10
infaro,20,infaro,20,infaro,20,slipcut,26,-10
infaro,20,infaro,20,infaro,20,slipcut,27,-10
infaro,20,infaro,20,infaro,20,slipcut,28,-10
infaro,20,infaro,20,infaro,20,slipcut,29,-10
infaro,20,infaro,20,infaro,20,slipcut,30,-10
infaro,20,infaro,20,infaro,20,slipcut,31,-10
infaro,20,infaro,20,infaro,20,slipcut,32,-10
infaro,20,infaro,20,infaro,20,slipcut,33,-10
infaro,20,infaro,20,infaro,20,slipcut,34,-10
infaro,20,infaro,20,infaro,20,slipcut,35,-10
infaro,20,infaro,20,infaro,20,slipcut,36,-10
infaro,20,infaro,20,infaro,20,slipcut,37,-10
infaro,20,infaro,20,infaro,20,slipcut,38,-10
infaro,20,infaro,20,infaro,20,slipcut,39,-10
infaro,20,infaro,20,infaro,20,slipcut,40,-10
infaro,20,infaro,20,infaro,20,slipcut,41,-10
infaro,20,infaro,20,infaro,20,slipcut,42,-10
infaro,20,infaro,20,infaro,20,slipcut,43,-10
infaro,20,infaro,20,infaro,20,slipcut,44,-10
infaro,20,infaro,20,infaro,20,slipcut,45,-10
infaro,20,infaro,20,infaro,20,slipcut,46,-10
infaro,20,infaro,20,infaro,20,slipcut,47,-10
infaro,20,infaro,20,infaro,20,slipcut,48,-10
infaro,20,infaro,20,infaro,20,slipcut,49,-10
infaro,20,infaro,20,infaro,20,slipcut,50,-10
infaro,20,infaro,20,infaro,20,slipcut,51,-10
infaro,20,infaro,20,infaro,20,peal,2,120
infaro,20,infaro,20,infaro,20,peal,3,110
infaro,20,infaro,20,infaro,20,peal,4,110
infaro,20,infaro,20,infaro,20,peal,5,120
infaro,20,infaro,20,infaro,20,peal,6,110
infaro,20,infaro,20,infaro,20,peal,7,110
