maintained,technique,is,INFARO,and,the,number,is,40
infaro,40,infaro,40,infaro,40,cut,1,135
infaro,40,infaro,40,infaro,40,cut,2,135
infaro,40,infaro,40,infaro,40,cut,3,135
infaro,40,infaro,40,infaro,40,cut,4,135
infaro,40,infaro,40,infaro,40,cut,5,135
infaro,40,infaro,40,infaro,40,cut,6,135
infaro,40,infaro,40,infaro,40,cut,7,135
infaro,40,infaro,40,infaro,40,cut,8,135
infaro,40,infaro,40,infaro,40,cut,9,135
infaro,40,infaro,40,infaro,40,cut,10,135
infaro,40,infaro,40,infaro,40,cut,11,135
infaro,40,infaro,40,infaro,40,cut,12,130
infaro,40,infaro,40,infaro,40,cut,13,130
infaro,40,infaro,40,infaro,40,cut,14,130
infaro,40,infaro,40,infaro,40,cut,15,130
infaro,40,infaro,40,infaro,40,cut,16,130
infaro,40,infaro,40,infaro,40,cut,17,130
infaro,40,infaro,40,infaro,40,cut,18,130
infaro,40,infaro,40,infaro,40,cut,19,130
infaro,40,infaro,40,infaro,40,cut,20,130
infaro,40,infaro,40,infaro,40,cut,21,130
infaro,40,infaro,40,infaro,40,cut,22,130
infaro,40,infaro,40,infaro,40,cut,23,130
infaro,40,infaro,40,infaro,40,cut,24,130
infaro,40,infaro,40,infaro,40,cut,25,130
infaro,40,infaro,40,infaro,40,cut,26,130
infaro,40,infaro,40,infaro,40,cut,27,130
infaro,40,infaro,40,infaro,40,cut,28,130
infaro,40,infaro,40,infaro,40,cut,29,135
infaro,40,infaro,40,infaro,40,cut,30,135
infaro,40,infaro,40,infaro,40,cut,31,135
infaro,40,infaro,40,infaro,40,cut,32,135
infaro,40,infaro,40,infaro,40,cut,33,135
infaro,40,infaro,40,infaro,40,cut,34,135
infaro,40,infaro,40,infaro,40,cut,35,135
infaro,40,infaro,40,infaro,40,cut,36,135
infaro,40,infaro,40,infaro,40,cut,37,135
infaro,40,infaro,40,infaro,40,cut,38,135
infaro,40,infaro,40,infaro,40,cut,39,135
infaro,40,infaro,40,infaro,40,cut,40,285
infaro,40,infaro,40,infaro,40,cut,41,140
infaro,40,infaro,40,infaro,40,cut,42,140
infaro,40,infaro,40,infaro,40,cut,43,140
infaro,40,infaro,40,infaro,40,cut,44,140
infaro,40,infaro,40,infaro,40,cut,45,140
infaro,40,infaro,40,infaro,40,cut,46,140
infaro,40,infaro,40,infaro,40,cut,47,140
infaro,40,infaro,40,infaro,40,cut,48,140
infaro,40,infaro,40,infaro,40,cut,49,140
infaro,40,infaro,40,infaro,40,cut,50,140
infaro,40,infaro,40,infaro,40,cut,51,140
infaro,40,infaro,40,infaro,40,slipcut,2,140
infaro,40,infaro,40,infaro,40,slipcut,3,135
infaro,40,infaro,40,infaro,40,slipcut,4,135
infaro,40,infaro,40,infaro,40,slipcut,5,135
infaro,40,infaro,40,infaro,40,slipcut,6,135
infaro,40,infaro,40,infaro,40,slipcut,7,135
infaro,40,infaro,40,infaro,40,slipcut,8,135
infaro,40,infaro,40,infaro,40,slipcut,9,135
infaro,40,infaro,40,infaro,40,slipcut,10,135
infaro,40,infaro,40,infaro,40,slipcut,11,135
infaro,40,infaro,40,infaro,40,slipcut,12,130
infaro,40,infaro,40,infaro,40,slipcut,13,130
infaro,40,infaro,40,infaro,40,slipcut,14,130
