maintained,technique,is,INFAROUP,and,the,number,is,30
infaroup,30,infaroup,30,infaroup,30,cut,1,0
infaroup,30,infaroup,30,infaroup,30,cut,2,0
infaroup,30,infaroup,30,infaroup,30,cut,3,0
infaroup,30,infaroup,30,infaroup,30,cut,4,0
infaroup,30,infaroup,30,infaroup,30,cut,5,0
infaroup,30,infaroup,30,infaroup,30,cut,6,0
infaroup,30,infaroup,30,infaroup,30,cut,7,0
infaroup,30,infaroup,30,infaroup,30,cut,8,0
infaroup,30,infaroup,30,infaroup,30,cut,9,0
infaroup,30,infaroup,30,infaroup,30,cut,10,0
infaroup,30,infaroup,30,infaroup,30,cut,11,0
infaroup,30,infaroup,30,infaroup,30,cut,12,0
infaroup,30,infaroup,30,infaroup,30,cut,13,0
infaroup,30,infaroup,30,infaroup,30,cut,14,0
infaroup,30,infaroup,30,infaroup,30,cut,15,0
infaroup,30,infaroup,30,infaroup,30,cut,16,0
infaroup,30,infaroup,30,infaroup,30,cut,17,0
infaroup,30,infaroup,30,infaroup,30,cut,18,0
infaroup,30,infaroup,30,infaroup,30,cut,19,0
infaroup,30,infaroup,30,infaroup,30,cut,20,0
infaroup,30,infaroup,30,infaroup,30,cut,21,0
infaroup,30,infaroup,30,infaroup,30,cut,22,90
infaroup,30,infaroup,30,infaroup,30,cut,23,0
infaroup,30,infaroup,30,infaroup,30,cut,24,0
infaroup,30,infaroup,30,infaroup,30,cut,25,0
infaroup,30,infaroup,30,infaroup,30,cut,26,0
infaroup,30,infaroup,30,infaroup,30,cut,27,0
infaroup,30,infaroup,30,infaroup,30,cut,28,0
infaroup,30,infaroup,30,infaroup,30,cut,29,0
infaroup,30,infaroup,30,infaroup,30,cut,30,0
infaroup,30,infaroup,30,infaroup,30,cut,31,0
infaroup,30,infaroup,30,infaroup,30,cut,32,0
infaroup,30,infaroup,30,infaroup,30,cut,33,0
infaroup,30,infaroup,30,infaroup,30,cut,34,0
infaroup,30,infaroup,30,infaroup,30,cut,35,0
infaroup,30,infaroup,30,infaroup,30,cut,36,0
infaroup,30,infaroup,30,infaroup,30,cut,37,0
infaroup,30,infaroup,30,infaroup,30,cut,38,0
infaroup,30,infaroup,30,infaroup,30,cut,39,0
infaroup,30,infaroup,30,infaroup,30,cut,40,0
infaroup,30,infaroup,30,infaroup,30,cut,41,0
infaroup,30,infaroup,30,infaroup,30,cut,42,0
infaroup,30,infaroup,30,infaroup,30,cut,43,0
infaroup,30,infaroup,30,infaroup,30,cut,44,-10
infaroup,30,infaroup,30,infaroup,30,cut,45,-10
infaroup,30,infaroup,30,infaroup,30,cut,46,-10
infaroup,30,infaroup,30,infaroup,30,cut,47,-10
infaroup,30,infaroup,30,infaroup,30,cut,48,-10
infaroup,30,infaroup,30,infaroup,30,cut,49,-10
infaroup,30,infaroup,30,infaroup,30,cut,50,-10
infaroup,30,infaroup,30,infaroup,30,cut,51,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,2,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,3,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,4,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,5,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,6,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,7,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,8,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,9,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,10,0
infaroup,30,infaroup,30,infaroup,30,slipcut,11,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,12,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,13,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,14,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,15,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,16,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,17,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,18,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,19,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,20,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,21,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,22,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,23,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,24,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,25,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,26,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,27,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,28,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,29,-10
infaroup,30,infaroup,30,infaroup,30,slipcut,30,-10
