maintained,technique,is,OUTFARO,and,the,number,is,40
outfaro,40,outfaro,40,outfaro,40,cut,1,270
outfaro,40,outfaro,40,outfaro,40,cut,2,270
outfaro,40,outfaro,40,outfaro,40,cut,3,270
outfaro,40,outfaro,40,outfaro,40,cut,4,270
outfaro,40,outfaro,40,outfaro,40,cut,5,270
outfaro,40,outfaro,40,outfaro,40,cut,6,270
outfaro,40,outfaro,40,outfaro,40,cut,7,270
outfaro,40,outfaro,40,outfaro,40,cut,8,270
outfaro,40,outfaro,40,outfaro,40,cut,9,270
outfaro,40,outfaro,40,outfaro,40,cut,10,270
outfaro,40,outfaro,40,outfaro,40,cut,11,270
outfaro,40,outfaro,40,outfaro,40,cut,12,270
outfaro,40,outfaro,40,outfaro,40,cut,13,260
outfaro,40,outfaro,40,outfaro,40,cut,14,260
outfaro,40,outfaro,40,outfaro,40,cut,15,260
outfaro,40,outfaro,40,outfaro,40,cut,16,260
outfaro,40,outfaro,40,outfaro,40,cut,17,260
outfaro,40,outfaro,40,outfaro,40,cut,18,260
outfaro,40,outfaro,40,outfaro,40,cut,19,260
outfaro,40,outfaro,40,outfaro,40,cut,20,260
outfaro,40,outfaro,40,outfaro,40,cut,21,260
outfaro,40,outfaro,40,outfaro,40,cut,22,260
outfaro,40,outfaro,40,outfaro,40,cut,23,260
outfaro,40,outfaro,40,outfaro,40,cut,24,260
outfaro,40,outfaro,40,outfaro,40,cut,25,260
outfaro,40,outfaro,40,outfaro,40,cut,26,260
outfaro,40,outfaro,40,outfaro,40,cut,27,260
outfaro,40,outfaro,40,outfaro,40,cut,28,260
outfaro,40,outfaro,40,outfaro,40,cut,29,260
outfaro,40,outfaro,40,outfaro,40,cut,30,260
outfaro,40,outfaro,40,outfaro,40,cut,31,260
outfaro,40,outfaro,40,outfaro,40,cut,32,260
outfaro,40,outfaro,40,outfaro,40,cut,33,260
outfaro,40,outfaro,40,outfaro,40,cut,34,260
outfaro,40,outfaro,40,outfaro,40,cut,35,260
outfaro,40,outfaro,40,outfaro,40,cut,36,260
outfaro,40,outfaro,40,outfaro,40,cut,37,260
outfaro,40,outfaro,40,outfaro,40,cut,38,260
outfaro,40,outfaro,40,outfaro,40,cut,39,260
outfaro,40,outfaro,40,outfaro,40,cut,40,270
outfaro,40,outfaro,40,outfaro,40,cut,41,270
outfaro,40,outfaro,40,outfaro,40,cut,42,270
outfaro,40,outfaro,40,outfaro,40,cut,43,270
outfaro,40,outfaro,40,outfaro,40,cut,44,270
outfaro,40,outfaro,40,outfaro,40,cut,45,270
outfaro,40,outfaro,40,outfaro,40,cut,46,270
outfaro,40,outfaro,40,outfaro,40,cut,47,270
outfaro,40,outfaro,40,outfaro,40,cut,48,270
outfaro,40,outfaro,40,outfaro,40,cut,49,270
outfaro,40,outfaro,40,outfaro,40,cut,50,270
outfaro,40,outfaro,40,outfaro,40,cut,51,270
outfaro,40,outfaro,40,outfaro,40,slipcut,2,270
outfaro,40,outfaro,40,outfaro,40,slipcut,3,270
outfaro,40,outfaro,40,outfaro,40,slipcut,4,270
outfaro,40,outfaro,40,outfaro,40,slipcut,5,270
outfaro,40,outfaro,40,outfaro,40,slipcut,6,270
outfaro,40,outfaro,40,outfaro,40,slipcut,7,270
outfaro,40,outfaro,40,outfaro,40,slipcut,8,270
outfaro,40,outfaro,40,outfaro,40,slipcut,9,270
outfaro,40,outfaro,40,outfaro,40,slipcut,10,270
outfaro,40,outfaro,40,outfaro,40,slipcut,11,270
outfaro,40,outfaro,40,outfaro,40,slipcut,12,270
outfaro,40,outfaro,40,outfaro,40,slipcut,13,260
outfaro,40,outfaro,40,outfaro,40,slipcut,14,260
outfaro,40,outfaro,40,outfaro,40,slipcut,15,260
outfaro,40,outfaro,40,outfaro,40,slipcut,16,260
outfaro,40,outfaro,40,outfaro,40,slipcut,17,260
outfaro,40,outfaro,40,outfaro,40,slipcut,18,260
outfaro,40,outfaro,40,outfaro,40,slipcut,19,260
outfaro,40,outfaro,40,outfaro,40,slipcut,20,260
outfaro,40,outfaro,40,outfaro,40,slipcut,21,260
outfaro,40,outfaro,40,outfaro,40,slipcut,22,260
outfaro,40,outfaro,40,outfaro,40,slipcut,23,260
outfaro,40,outfaro,40,outfaro,40,slipcut,24,260
outfaro,40,outfaro,40,outfaro,40,slipcut,25,260
outfaro,40,outfaro,40,outfaro,40,slipcut,26,260
outfaro,40,outfaro,40,outfaro,40,slipcut,27,260
outfaro,40,outfaro,40,outfaro,40,slipcut,28,260
