maintained,technique,is,OUTFAROUP,and,the,number,is,40
outfaroup,40,outfaroup,40,outfaroup,40,cut,1,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,2,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,3,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,4,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,5,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,6,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,7,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,8,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,9,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,10,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,11,135
outfaroup,40,outfaroup,40,outfaroup,40,cut,12,270
outfaroup,40,outfaroup,40,outfaroup,40,cut,13,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,14,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,15,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,16,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,17,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,18,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,19,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,20,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,21,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,22,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,23,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,24,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,25,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,26,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,27,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,28,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,29,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,30,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,31,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,32,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,33,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,34,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,35,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,36,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,37,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,38,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,39,125
outfaroup,40,outfaroup,40,outfaroup,40,cut,40,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,41,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,42,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,43,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,44,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,45,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,46,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,47,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,48,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,49,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,50,130
outfaroup,40,outfaroup,40,outfaroup,40,cut,51,130
