maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,cut,1,155
peal,20,peal,20,peal,20,cut,2,150
peal,20,peal,20,peal,20,cut,3,155
peal,20,peal,20,peal,20,cut,4,150
peal,20,peal,20,peal,20,cut,5,155
peal,20,peal,20,peal,20,cut,6,150
peal,20,peal,20,peal,20,cut,7,155
peal,20,peal,20,peal,20,cut,8,150
peal,20,peal,20,peal,20,cut,9,155
peal,20,peal,20,peal,20,cut,10,150
peal,20,peal,20,peal,20,cut,11,155
peal,20,peal,20,peal,20,cut,12,150
peal,20,peal,20,peal,20,cut,13,155
peal,20,peal,20,peal,20,cut,14,150
peal,20,peal,20,peal,20,cut,15,155
peal,20,peal,20,peal,20,cut,16,150
peal,20,peal,20,peal,20,cut,17,155
peal,20,peal,20,peal,20,cut,18,150
peal,20,peal,20,peal,20,cut,19,155
peal,20,peal,20,peal,20,cut,20,150
peal,20,peal,20,peal,20,cut,21,145
peal,20,peal,20,peal,20,cut,22,145
peal,20,peal,20,peal,20,cut,23,145
peal,20,peal,20,peal,20,cut,24,145
peal,20,peal,20,peal,20,cut,25,145
peal,20,peal,20,peal,20,cut,26,145
peal,20,peal,20,peal,20,cut,27,145
peal,20,peal,20,peal,20,cut,28,145
peal,20,peal,20,peal,20,cut,29,145
peal,20,peal,20,peal,20,cut,30,145
peal,20,peal,20,peal,20,cut,31,145
peal,20,peal,20,peal,20,cut,32,145
peal,20,peal,20,peal,20,cut,33,150
peal,20,peal,20,peal,20,cut,34,145
peal,20,peal,20,peal,20,cut,35,150
peal,20,peal,20,peal,20,cut,36,145
peal,20,peal,20,peal,20,cut,37,150
peal,20,peal,20,peal,20,cut,38,145
peal,20,peal,20,peal,20,cut,39,150
peal,20,peal,20,peal,20,cut,40,145
peal,20,peal,20,peal,20,cut,41,150
peal,20,peal,20,peal,20,cut,42,145
peal,20,peal,20,peal,20,cut,43,150
peal,20,peal,20,peal,20,cut,44,145
peal,20,peal,20,peal,20,cut,45,150
peal,20,peal,20,peal,20,cut,46,145
peal,20,peal,20,peal,20,cut,47,150
peal,20,peal,20,peal,20,cut,48,145
peal,20,peal,20,peal,20,cut,49,150
peal,20,peal,20,peal,20,cut,50,145
peal,20,peal,20,peal,20,cut,51,150
peal,20,peal,20,peal,20,slipcut,2,315
peal,20,peal,20,peal,20,slipcut,3,310
peal,20,peal,20,peal,20,slipcut,4,310
peal,20,peal,20,peal,20,slipcut,5,310
peal,20,peal,20,peal,20,slipcut,6,310
peal,20,peal,20,peal,20,slipcut,7,310
peal,20,peal,20,peal,20,slipcut,8,310
peal,20,peal,20,peal,20,slipcut,9,310
peal,20,peal,20,peal,20,slipcut,10,310
peal,20,peal,20,peal,20,slipcut,11,315
peal,20,peal,20,peal,20,slipcut,12,315
peal,20,peal,20,peal,20,slipcut,13,315
peal,20,peal,20,peal,20,slipcut,14,315
peal,20,peal,20,peal,20,slipcut,15,315
peal,20,peal,20,peal,20,slipcut,16,315
peal,20,peal,20,peal,20,slipcut,17,315
peal,20,peal,20,peal,20,slipcut,18,315
peal,20,peal,20,peal,20,slipcut,19,315
peal,20,peal,20,peal,20,slipcut,20,325
peal,20,peal,20,peal,20,slipcut,21,305
peal,20,peal,20,peal,20,slipcut,22,300
peal,20,peal,20,peal,20,slipcut,23,295
peal,20,peal,20,peal,20,slipcut,24,290
peal,20,peal,20,peal,20,slipcut,25,285
peal,20,peal,20,peal,20,slipcut,26,280
peal,20,peal,20,peal,20,slipcut,27,275
peal,20,peal,20,peal,20,slipcut,28,270
peal,20,peal,20,peal,20,slipcut,29,265
peal,20,peal,20,peal,20,slipcut,30,260
peal,20,peal,20,peal,20,slipcut,31,255
peal,20,peal,20,peal,20,slipcut,32,250
peal,20,peal,20,peal,20,slipcut,33,245
peal,20,peal,20,peal,20,slipcut,34,240
peal,20,peal,20,peal,20,slipcut,35,235
peal,20,peal,20,peal,20,slipcut,36,230
peal,20,peal,20,peal,20,slipcut,37,225
peal,20,peal,20,peal,20,slipcut,38,220
peal,20,peal,20,peal,20,slipcut,39,215
peal,20,peal,20,peal,20,slipcut,40,210
peal,20,peal,20,peal,20,slipcut,41,205
peal,20,peal,20,peal,20,slipcut,42,200
peal,20,peal,20,peal,20,slipcut,43,195
peal,20,peal,20,peal,20,slipcut,44,190
peal,20,peal,20,peal,20,slipcut,45,185
peal,20,peal,20,peal,20,slipcut,46,180
peal,20,peal,20,peal,20,slipcut,47,175
peal,20,peal,20,peal,20,slipcut,48,170
peal,20,peal,20,peal,20,slipcut,49,165
peal,20,peal,20,peal,20,slipcut,50,160
peal,20,peal,20,peal,20,slipcut,51,155
peal,20,peal,20,peal,20,slipcut,2,290
peal,20,peal,20,peal,20,slipcut,3,285
peal,20,peal,20,peal,20,slipcut,4,280
