maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,cut,1,310
peal,20,peal,20,peal,20,cut,2,310
peal,20,peal,20,peal,20,cut,3,310
peal,20,peal,20,peal,20,cut,4,310
peal,20,peal,20,peal,20,cut,5,310
peal,20,peal,20,peal,20,cut,6,310
peal,20,peal,20,peal,20,cut,7,310
peal,20,peal,20,peal,20,cut,8,310
peal,20,peal,20,peal,20,cut,9,310
peal,20,peal,20,peal,20,cut,10,310
peal,20,peal,20,peal,20,cut,11,310
peal,20,peal,20,peal,20,cut,12,310
peal,20,peal,20,peal,20,cut,13,310
peal,20,peal,20,peal,20,cut,14,310
peal,20,peal,20,peal,20,cut,15,310
peal,20,peal,20,peal,20,cut,16,310
peal,20,peal,20,peal,20,cut,17,310
peal,20,peal,20,peal,20,cut,18,310
peal,20,peal,20,peal,20,cut,19,310
peal,20,peal,20,peal,20,cut,20,310
peal,20,peal,20,peal,20,cut,21,300
peal,20,peal,20,peal,20,cut,22,300
peal,20,peal,20,peal,20,cut,23,300
peal,20,peal,20,peal,20,cut,24,300
peal,20,peal,20,peal,20,cut,25,300
peal,20,peal,20,peal,20,cut,26,300
peal,20,peal,20,peal,20,cut,27,300
peal,20,peal,20,peal,20,cut,28,300
peal,20,peal,20,peal,20,cut,29,300
peal,20,peal,20,peal,20,cut,30,300
peal,20,peal,20,peal,20,cut,31,300
peal,20,peal,20,peal,20,cut,32,300
peal,20,peal,20,peal,20,cut,33,300
peal,20,peal,20,peal,20,cut,34,300
peal,20,peal,20,peal,20,cut,35,300
peal,20,peal,20,peal,20,cut,36,300
peal,20,peal,20,peal,20,cut,37,300
peal,20,peal,20,peal,20,cut,38,300
peal,20,peal,20,peal,20,cut,39,300
peal,20,peal,20,peal,20,cut,40,300
peal,20,peal,20,peal,20,cut,41,300
peal,20,peal,20,peal,20,cut,42,300
peal,20,peal,20,peal,20,cut,43,300
peal,20,peal,20,peal,20,cut,44,300
peal,20,peal,20,peal,20,cut,45,300
peal,20,peal,20,peal,20,cut,46,300
peal,20,peal,20,peal,20,cut,47,300
peal,20,peal,20,peal,20,cut,48,300
peal,20,peal,20,peal,20,cut,49,300
peal,20,peal,20,peal,20,cut,50,300
peal,20,peal,20,peal,20,cut,51,300
peal,20,peal,20,peal,20,slipcut,2,320
peal,20,peal,20,peal,20,slipcut,3,310
peal,20,peal,20,peal,20,slipcut,4,310
peal,20,peal,20,peal,20,slipcut,5,310
peal,20,peal,20,peal,20,slipcut,6,310
peal,20,peal,20,peal,20,slipcut,7,310
peal,20,peal,20,peal,20,slipcut,8,310
peal,20,peal,20,peal,20,slipcut,9,310
peal,20,peal,20,peal,20,slipcut,10,310
peal,20,peal,20,peal,20,slipcut,11,310
