maintained,technique,is,PEALUP,and,the,number,is,40
pealup,40,pealup,40,pealup,40,cut,1,50
pealup,40,pealup,40,pealup,40,cut,2,45
pealup,40,pealup,40,pealup,40,cut,3,50
pealup,40,pealup,40,pealup,40,cut,4,45
pealup,40,pealup,40,pealup,40,cut,5,50
pealup,40,pealup,40,pealup,40,cut,6,45
pealup,40,pealup,40,pealup,40,cut,7,50
pealup,40,pealup,40,pealup,40,cut,8,45
pealup,40,pealup,40,pealup,40,cut,9,50
pealup,40,pealup,40,pealup,40,cut,10,45
pealup,40,pealup,40,pealup,40,cut,11,50
pealup,40,pealup,40,pealup,40,cut,12,50
pealup,40,pealup,40,pealup,40,cut,13,60
pealup,40,pealup,40,pealup,40,cut,14,50
pealup,40,pealup,40,pealup,40,cut,15,60
pealup,40,pealup,40,pealup,40,cut,16,50
pealup,40,pealup,40,pealup,40,cut,17,60
pealup,40,pealup,40,pealup,40,cut,18,50
pealup,40,pealup,40,pealup,40,cut,19,60
pealup,40,pealup,40,pealup,40,cut,20,50
pealup,40,pealup,40,pealup,40,cut,21,60
pealup,40,pealup,40,pealup,40,cut,22,50
pealup,40,pealup,40,pealup,40,cut,23,60
pealup,40,pealup,40,pealup,40,cut,24,50
pealup,40,pealup,40,pealup,40,cut,25,60
pealup,40,pealup,40,pealup,40,cut,26,50
pealup,40,pealup,40,pealup,40,cut,27,60
pealup,40,pealup,40,pealup,40,cut,28,50
pealup,40,pealup,40,pealup,40,cut,29,60
pealup,40,pealup,40,pealup,40,cut,30,50
pealup,40,pealup,40,pealup,40,cut,31,60
pealup,40,pealup,40,pealup,40,cut,32,50
pealup,40,pealup,40,pealup,40,cut,33,60
pealup,40,pealup,40,pealup,40,cut,34,50
pealup,40,pealup,40,pealup,40,cut,35,60
pealup,40,pealup,40,pealup,40,cut,36,50
pealup,40,pealup,40,pealup,40,cut,37,60
pealup,40,pealup,40,pealup,40,cut,38,50
pealup,40,pealup,40,pealup,40,cut,39,60
pealup,40,pealup,40,pealup,40,cut,40,50
pealup,40,pealup,40,pealup,40,cut,41,55
pealup,40,pealup,40,pealup,40,cut,42,50
pealup,40,pealup,40,pealup,40,cut,43,55
pealup,40,pealup,40,pealup,40,cut,44,50
pealup,40,pealup,40,pealup,40,cut,45,55
pealup,40,pealup,40,pealup,40,cut,46,50
pealup,40,pealup,40,pealup,40,cut,47,55
pealup,40,pealup,40,pealup,40,cut,48,50
pealup,40,pealup,40,pealup,40,cut,49,55
pealup,40,pealup,40,pealup,40,cut,50,50
pealup,40,pealup,40,pealup,40,cut,51,55
pealup,40,pealup,40,pealup,40,slipcut,2,90
pealup,40,pealup,40,pealup,40,slipcut,3,85
pealup,40,pealup,40,pealup,40,slipcut,4,80
pealup,40,pealup,40,pealup,40,slipcut,5,75
pealup,40,pealup,40,pealup,40,slipcut,6,70
pealup,40,pealup,40,pealup,40,slipcut,7,65
pealup,40,pealup,40,pealup,40,slipcut,8,60
pealup,40,pealup,40,pealup,40,slipcut,9,55
pealup,40,pealup,40,pealup,40,slipcut,10,50
pealup,40,pealup,40,pealup,40,slipcut,11,45
pealup,40,pealup,40,pealup,40,slipcut,12,45
pealup,40,pealup,40,pealup,40,slipcut,13,45
pealup,40,pealup,40,pealup,40,slipcut,14,45
pealup,40,pealup,40,pealup,40,slipcut,15,45
pealup,40,pealup,40,pealup,40,slipcut,16,45
pealup,40,pealup,40,pealup,40,slipcut,17,45
pealup,40,pealup,40,pealup,40,slipcut,18,45
pealup,40,pealup,40,pealup,40,slipcut,19,45
pealup,40,pealup,40,pealup,40,slipcut,20,45
pealup,40,pealup,40,pealup,40,slipcut,21,45
pealup,40,pealup,40,pealup,40,slipcut,22,45
pealup,40,pealup,40,pealup,40,slipcut,23,45
pealup,40,pealup,40,pealup,40,slipcut,24,45
pealup,40,pealup,40,pealup,40,slipcut,25,45
pealup,40,pealup,40,pealup,40,slipcut,26,45
pealup,40,pealup,40,pealup,40,slipcut,27,45
pealup,40,pealup,40,pealup,40,slipcut,28,45
pealup,40,pealup,40,pealup,40,slipcut,29,45
pealup,40,pealup,40,pealup,40,slipcut,30,45
pealup,40,pealup,40,pealup,40,slipcut,31,45
pealup,40,pealup,40,pealup,40,slipcut,32,45
pealup,40,pealup,40,pealup,40,slipcut,33,50
pealup,40,pealup,40,pealup,40,slipcut,34,50
pealup,40,pealup,40,pealup,40,slipcut,35,50
pealup,40,pealup,40,pealup,40,slipcut,36,50
pealup,40,pealup,40,pealup,40,slipcut,37,50
pealup,40,pealup,40,pealup,40,slipcut,38,50
pealup,40,pealup,40,pealup,40,slipcut,39,50
pealup,40,pealup,40,pealup,40,slipcut,40,50
pealup,40,pealup,40,pealup,40,slipcut,41,50
pealup,40,pealup,40,pealup,40,slipcut,42,50
pealup,40,pealup,40,pealup,40,slipcut,43,50
pealup,40,pealup,40,pealup,40,slipcut,44,50
pealup,40,pealup,40,pealup,40,slipcut,45,50
pealup,40,pealup,40,pealup,40,slipcut,46,50
pealup,40,pealup,40,pealup,40,slipcut,47,50
pealup,40,pealup,40,pealup,40,slipcut,48,50
pealup,40,pealup,40,pealup,40,slipcut,49,50
pealup,40,pealup,40,pealup,40,slipcut,50,50
pealup,40,pealup,40,pealup,40,slipcut,51,50
pealup,40,pealup,40,pealup,40,slipcut,2,115
pealup,40,pealup,40,pealup,40,slipcut,3,110
pealup,40,pealup,40,pealup,40,slipcut,4,110
pealup,40,pealup,40,pealup,40,slipcut,5,110
pealup,40,pealup,40,pealup,40,slipcut,6,110
pealup,40,pealup,40,pealup,40,slipcut,7,110
pealup,40,pealup,40,pealup,40,slipcut,8,110
pealup,40,pealup,40,pealup,40,slipcut,9,110
pealup,40,pealup,40,pealup,40,slipcut,10,110
pealup,40,pealup,40,pealup,40,slipcut,11,110
pealup,40,pealup,40,pealup,40,slipcut,12,110
pealup,40,pealup,40,pealup,40,slipcut,13,110
pealup,40,pealup,40,pealup,40,slipcut,14,110
pealup,40,pealup,40,pealup,40,slipcut,15,110
pealup,40,pealup,40,pealup,40,slipcut,16,110
pealup,40,pealup,40,pealup,40,slipcut,17,110
pealup,40,pealup,40,pealup,40,slipcut,18,110
pealup,40,pealup,40,pealup,40,slipcut,19,110
pealup,40,pealup,40,pealup,40,slipcut,20,110
pealup,40,pealup,40,pealup,40,slipcut,21,115
pealup,40,pealup,40,pealup,40,slipcut,22,115
pealup,40,pealup,40,pealup,40,slipcut,23,115
pealup,40,pealup,40,pealup,40,slipcut,24,115
pealup,40,pealup,40,pealup,40,slipcut,25,115
pealup,40,pealup,40,pealup,40,slipcut,26,115
pealup,40,pealup,40,pealup,40,slipcut,27,115
pealup,40,pealup,40,pealup,40,slipcut,28,115
pealup,40,pealup,40,pealup,40,slipcut,29,115
pealup,40,pealup,40,pealup,40,slipcut,30,115
pealup,40,pealup,40,pealup,40,slipcut,31,115
pealup,40,pealup,40,pealup,40,slipcut,32,115
pealup,40,pealup,40,pealup,40,slipcut,33,115
pealup,40,pealup,40,pealup,40,slipcut,34,115
pealup,40,pealup,40,pealup,40,slipcut,35,115
pealup,40,pealup,40,pealup,40,slipcut,36,115
pealup,40,pealup,40,pealup,40,slipcut,37,115
pealup,40,pealup,40,pealup,40,slipcut,38,115
pealup,40,pealup,40,pealup,40,slipcut,39,115
pealup,40,pealup,40,pealup,40,slipcut,40,125
pealup,40,pealup,40,pealup,40,slipcut,41,105
pealup,40,pealup,40,pealup,40,slipcut,42,100
pealup,40,pealup,40,pealup,40,slipcut,43,95
pealup,40,pealup,40,pealup,40,slipcut,44,90
pealup,40,pealup,40,pealup,40,slipcut,45,85
pealup,40,pealup,40,pealup,40,slipcut,46,80
pealup,40,pealup,40,pealup,40,slipcut,47,75
pealup,40,pealup,40,pealup,40,slipcut,48,70
pealup,40,pealup,40,pealup,40,slipcut,49,65
pealup,40,pealup,40,pealup,40,slipcut,50,60
pealup,40,pealup,40,pealup,40,slipcut,51,55
pealup,40,pealup,40,pealup,40,peal,2,90
pealup,40,pealup,40,pealup,40,peal,3,85
pealup,40,pealup,40,pealup,40,peal,4,70
pealup,40,pealup,40,pealup,40,peal,5,65
pealup,40,pealup,40,pealup,40,peal,6,50
pealup,40,pealup,40,pealup,40,peal,7,45
pealup,40,pealup,40,pealup,40,peal,8,30
pealup,40,pealup,40,pealup,40,peal,9,25
pealup,40,pealup,40,pealup,40,peal,10,10
pealup,40,pealup,40,pealup,40,peal,11,5
pealup,40,pealup,40,pealup,40,peal,12,-5
pealup,40,pealup,40,pealup,40,peal,13,0
pealup,40,pealup,40,pealup,40,peal,14,0
pealup,40,pealup,40,pealup,40,peal,15,10
pealup,40,pealup,40,pealup,40,peal,16,10
pealup,40,pealup,40,pealup,40,peal,17,20
pealup,40,pealup,40,pealup,40,peal,18,20
pealup,40,pealup,40,pealup,40,peal,19,30
pealup,40,pealup,40,pealup,40,peal,20,30
pealup,40,pealup,40,pealup,40,peal,21,40
pealup,40,pealup,40,pealup,40,peal,22,40
pealup,40,pealup,40,pealup,40,peal,23,50
pealup,40,pealup,40,pealup,40,peal,24,50
pealup,40,pealup,40,pealup,40,peal,25,55
pealup,40,pealup,40,pealup,40,peal,26,60
pealup,40,pealup,40,pealup,40,peal,27,65
pealup,40,pealup,40,pealup,40,peal,28,70
pealup,40,pealup,40,pealup,40,peal,29,75
pealup,40,pealup,40,pealup,40,peal,30,80
pealup,40,pealup,40,pealup,40,peal,31,85
pealup,40,pealup,40,pealup,40,peal,32,90
pealup,40,pealup,40,pealup,40,peal,33,95
pealup,40,pealup,40,pealup,40,peal,34,100
pealup,40,pealup,40,pealup,40,peal,35,105
pealup,40,pealup,40,pealup,40,peal,36,110
pealup,40,pealup,40,pealup,40,peal,37,115
pealup,40,pealup,40,pealup,40,peal,38,120
pealup,40,pealup,40,pealup,40,peal,39,125
pealup,40,pealup,40,pealup,40,peal,40,130
pealup,40,pealup,40,pealup,40,peal,41,135
pealup,40,pealup,40,pealup,40,peal,42,140
pealup,40,pealup,40,pealup,40,peal,43,145
pealup,40,pealup,40,pealup,40,peal,44,150
pealup,40,pealup,40,pealup,40,peal,45,155
pealup,40,pealup,40,pealup,40,peal,46,160
pealup,40,pealup,40,pealup,40,peal,47,165
pealup,40,pealup,40,pealup,40,peal,48,170
pealup,40,pealup,40,pealup,40,peal,49,175
pealup,40,pealup,40,pealup,40,peal,50,180
pealup,40,pealup,40,pealup,40,peal,51,185
pealup,40,pealup,40,pealup,40,pealup,2,115
pealup,40,pealup,40,pealup,40,pealup,3,120
pealup,40,pealup,40,pealup,40,pealup,4,125
pealup,40,pealup,40,pealup,40,pealup,5,130
pealup,40,pealup,40,pealup,40,pealup,6,135
pealup,40,pealup,40,pealup,40,pealup,7,140
pealup,40,pealup,40,pealup,40,pealup,8,145
pealup,40,pealup,40,pealup,40,pealup,9,150
pealup,40,pealup,40,pealup,40,pealup,10,155
pealup,40,pealup,40,pealup,40,pealup,11,160
pealup,40,pealup,40,pealup,40,pealup,12,165
pealup,40,pealup,40,pealup,40,pealup,13,170
pealup,40,pealup,40,pealup,40,pealup,14,175
pealup,40,pealup,40,pealup,40,pealup,15,180
pealup,40,pealup,40,pealup,40,pealup,16,185
pealup,40,pealup,40,pealup,40,pealup,17,190
pealup,40,pealup,40,pealup,40,pealup,18,195
pealup,40,pealup,40,pealup,40,pealup,19,200
pealup,40,pealup,40,pealup,40,pealup,20,205
pealup,40,pealup,40,pealup,40,pealup,21,210
pealup,40,pealup,40,pealup,40,pealup,22,215
pealup,40,pealup,40,pealup,40,pealup,23,220
pealup,40,pealup,40,pealup,40,pealup,24,225
pealup,40,pealup,40,pealup,40,pealup,25,230
pealup,40,pealup,40,pealup,40,pealup,26,235
pealup,40,pealup,40,pealup,40,pealup,27,240
pealup,40,pealup,40,pealup,40,pealup,28,245
pealup,40,pealup,40,pealup,40,pealup,29,250
pealup,40,pealup,40,pealup,40,pealup,30,255
pealup,40,pealup,40,pealup,40,pealup,31,260
pealup,40,pealup,40,pealup,40,pealup,32,265
pealup,40,pealup,40,pealup,40,pealup,33,270
pealup,40,pealup,40,pealup,40,pealup,34,275
pealup,40,pealup,40,pealup,40,pealup,35,280
pealup,40,pealup,40,pealup,40,pealup,36,285
pealup,40,pealup,40,pealup,40,pealup,37,290
pealup,40,pealup,40,pealup,40,pealup,38,295
pealup,40,pealup,40,pealup,40,pealup,39,300
pealup,40,pealup,40,pealup,40,pealup,40,510
pealup,40,pealup,40,pealup,40,pealup,41,295
pealup,40,pealup,40,pealup,40,pealup,42,285
pealup,40,pealup,40,pealup,40,pealup,43,275
pealup,40,pealup,40,pealup,40,pealup,44,265
pealup,40,pealup,40,pealup,40,pealup,45,255
pealup,40,pealup,40,pealup,40,pealup,46,245
pealup,40,pealup,40,pealup,40,pealup,47,235
pealup,40,pealup,40,pealup,40,pealup,48,225
pealup,40,pealup,40,pealup,40,pealup,49,215
pealup,40,pealup,40,pealup,40,pealup,50,205
pealup,40,pealup,40,pealup,40,pealup,51,195
pealup,40,pealup,40,pealup,40,infaro,10,-5
pealup,40,pealup,40,pealup,40,infaro,11,-5
pealup,40,pealup,40,pealup,40,infaro,12,-5
pealup,40,pealup,40,pealup,40,infaro,13,-5
pealup,40,pealup,40,pealup,40,infaro,14,-5
pealup,40,pealup,40,pealup,40,infaro,15,-5
pealup,40,pealup,40,pealup,40,infaro,16,-5
pealup,40,pealup,40,pealup,40,infaro,17,-5
pealup,40,pealup,40,pealup,40,infaro,18,0
pealup,40,pealup,40,pealup,40,infaro,19,-5
pealup,40,pealup,40,pealup,40,infaro,20,-5
pealup,40,pealup,40,pealup,40,infaro,21,0
pealup,40,pealup,40,pealup,40,infaro,22,-5
pealup,40,pealup,40,pealup,40,infaro,23,-5
pealup,40,pealup,40,pealup,40,infaro,24,0
pealup,40,pealup,40,pealup,40,infaro,25,-5
pealup,40,pealup,40,pealup,40,infaro,26,-5
pealup,40,pealup,40,pealup,40,infaro,27,0
pealup,40,pealup,40,pealup,40,infaro,28,-5
pealup,40,pealup,40,pealup,40,infaro,29,-5
pealup,40,pealup,40,pealup,40,infaro,30,0
pealup,40,pealup,40,pealup,40,infaro,31,0
pealup,40,pealup,40,pealup,40,infaro,32,-5
pealup,40,pealup,40,pealup,40,infaro,33,5
pealup,40,pealup,40,pealup,40,infaro,34,-5
pealup,40,pealup,40,pealup,40,infaro,35,0
pealup,40,pealup,40,pealup,40,infaro,36,0
pealup,40,pealup,40,pealup,40,infaro,37,0
pealup,40,pealup,40,pealup,40,infaro,38,-5
pealup,40,pealup,40,pealup,40,infaro,39,10
pealup,40,pealup,40,pealup,40,infaro,40,-5
pealup,40,pealup,40,pealup,40,infaro,41,5
pealup,40,pealup,40,pealup,40,infaro,42,10
pealup,40,pealup,40,pealup,40,infaroup,10,110
pealup,40,pealup,40,pealup,40,infaroup,11,110
pealup,40,pealup,40,pealup,40,infaroup,12,115
pealup,40,pealup,40,pealup,40,infaroup,13,110
pealup,40,pealup,40,pealup,40,infaroup,14,110
pealup,40,pealup,40,pealup,40,infaroup,15,115
pealup,40,pealup,40,pealup,40,infaroup,16,110
pealup,40,pealup,40,pealup,40,infaroup,17,110
pealup,40,pealup,40,pealup,40,infaroup,18,115
pealup,40,pealup,40,pealup,40,infaroup,19,110
pealup,40,pealup,40,pealup,40,infaroup,20,110
pealup,40,pealup,40,pealup,40,infaroup,21,95
pealup,40,pealup,40,pealup,40,infaroup,22,70
pealup,40,pealup,40,pealup,40,infaroup,23,50
pealup,40,pealup,40,pealup,40,infaroup,24,35
pealup,40,pealup,40,pealup,40,infaroup,25,10
pealup,40,pealup,40,pealup,40,infaroup,26,-5
pealup,40,pealup,40,pealup,40,infaroup,27,0
pealup,40,pealup,40,pealup,40,infaroup,28,-5
pealup,40,pealup,40,pealup,40,infaroup,29,-5
pealup,40,pealup,40,pealup,40,infaroup,30,0
pealup,40,pealup,40,pealup,40,infaroup,31,-5
pealup,40,pealup,40,pealup,40,infaroup,32,-5
pealup,40,pealup,40,pealup,40,infaroup,33,0
pealup,40,pealup,40,pealup,40,infaroup,34,-5
pealup,40,pealup,40,pealup,40,infaroup,35,-5
pealup,40,pealup,40,pealup,40,infaroup,36,0
pealup,40,pealup,40,pealup,40,infaroup,37,-5
pealup,40,pealup,40,pealup,40,infaroup,38,-5
pealup,40,pealup,40,pealup,40,infaroup,39,10
pealup,40,pealup,40,pealup,40,infaroup,40,-5
pealup,40,pealup,40,pealup,40,infaroup,41,0
pealup,40,pealup,40,pealup,40,infaroup,42,0
pealup,40,pealup,40,pealup,40,outfaro,10,0
pealup,40,pealup,40,pealup,40,outfaro,11,0
pealup,40,pealup,40,pealup,40,outfaro,12,0
pealup,40,pealup,40,pealup,40,outfaro,13,0
pealup,40,pealup,40,pealup,40,outfaro,14,0
pealup,40,pealup,40,pealup,40,outfaro,15,0
pealup,40,pealup,40,pealup,40,outfaro,16,0
pealup,40,pealup,40,pealup,40,outfaro,17,5
pealup,40,pealup,40,pealup,40,outfaro,18,0
pealup,40,pealup,40,pealup,40,outfaro,19,0
pealup,40,pealup,40,pealup,40,outfaro,20,5
pealup,40,pealup,40,pealup,40,outfaro,21,0
pealup,40,pealup,40,pealup,40,outfaro,22,5
pealup,40,pealup,40,pealup,40,outfaro,23,10
pealup,40,pealup,40,pealup,40,outfaro,24,5
pealup,40,pealup,40,pealup,40,outfaro,25,5
pealup,40,pealup,40,pealup,40,outfaro,26,10
pealup,40,pealup,40,pealup,40,outfaro,27,5
pealup,40,pealup,40,pealup,40,outfaro,28,5
pealup,40,pealup,40,pealup,40,outfaro,29,10
pealup,40,pealup,40,pealup,40,outfaro,30,5
pealup,40,pealup,40,pealup,40,outfaro,31,5
pealup,40,pealup,40,pealup,40,outfaro,32,5
pealup,40,pealup,40,pealup,40,outfaro,33,5
pealup,40,pealup,40,pealup,40,outfaro,34,0
pealup,40,pealup,40,pealup,40,outfaro,35,10
pealup,40,pealup,40,pealup,40,outfaro,36,0
pealup,40,pealup,40,pealup,40,outfaro,37,5
pealup,40,pealup,40,pealup,40,outfaro,38,5
pealup,40,pealup,40,pealup,40,outfaro,39,5
pealup,40,pealup,40,pealup,40,outfaro,40,5
pealup,40,pealup,40,pealup,40,outfaro,41,10
pealup,40,pealup,40,pealup,40,outfaro,42,5
pealup,40,pealup,40,pealup,40,outfaroup,10,110
pealup,40,pealup,40,pealup,40,outfaroup,11,115
pealup,40,pealup,40,pealup,40,outfaroup,12,110
pealup,40,pealup,40,pealup,40,outfaroup,13,110
pealup,40,pealup,40,pealup,40,outfaroup,14,120
pealup,40,pealup,40,pealup,40,outfaroup,15,115
pealup,40,pealup,40,pealup,40,outfaroup,16,115
pealup,40,pealup,40,pealup,40,outfaroup,17,120
pealup,40,pealup,40,pealup,40,outfaroup,18,115
pealup,40,pealup,40,pealup,40,outfaroup,19,115
pealup,40,pealup,40,pealup,40,outfaroup,20,120
pealup,40,pealup,40,pealup,40,outfaroup,21,105
pealup,40,pealup,40,pealup,40,outfaroup,22,85
pealup,40,pealup,40,pealup,40,outfaroup,23,70
pealup,40,pealup,40,pealup,40,outfaroup,24,45
pealup,40,pealup,40,pealup,40,outfaroup,25,25
pealup,40,pealup,40,pealup,40,outfaroup,26,10
pealup,40,pealup,40,pealup,40,outfaroup,27,0
pealup,40,pealup,40,pealup,40,outfaroup,28,0
pealup,40,pealup,40,pealup,40,outfaroup,29,5
pealup,40,pealup,40,pealup,40,outfaroup,30,0
pealup,40,pealup,40,pealup,40,outfaroup,31,0
pealup,40,pealup,40,pealup,40,outfaroup,32,5
pealup,40,pealup,40,pealup,40,outfaroup,33,0
pealup,40,pealup,40,pealup,40,outfaroup,34,0
pealup,40,pealup,40,pealup,40,outfaroup,35,5
pealup,40,pealup,40,pealup,40,outfaroup,36,0
pealup,40,pealup,40,pealup,40,outfaroup,37,0
pealup,40,pealup,40,pealup,40,outfaroup,38,5
pealup,40,pealup,40,pealup,40,outfaroup,39,0
pealup,40,pealup,40,pealup,40,outfaroup,40,0
pealup,40,pealup,40,pealup,40,outfaroup,41,0
pealup,40,pealup,40,pealup,40,outfaroup,42,0
