maintained,technique,is,INFARO,and,the,number,is,40
infaro,40,infaro,40,cut,1,infaro,40,-10
infaro,40,infaro,40,cut,2,infaro,40,-10
infaro,40,infaro,40,cut,3,infaro,40,-10
infaro,40,infaro,40,cut,4,infaro,40,-10
infaro,40,infaro,40,cut,5,infaro,40,-10
infaro,40,infaro,40,cut,6,infaro,40,-10
infaro,40,infaro,40,cut,7,infaro,40,-10
infaro,40,infaro,40,cut,8,infaro,40,-10
infaro,40,infaro,40,cut,9,infaro,40,-10
infaro,40,infaro,40,cut,10,infaro,40,-10
infaro,40,infaro,40,cut,11,infaro,40,-10
infaro,40,infaro,40,cut,12,infaro,40,-10
infaro,40,infaro,40,cut,13,infaro,40,-10
infaro,40,infaro,40,cut,14,infaro,40,-10
infaro,40,infaro,40,cut,15,infaro,40,-10
infaro,40,infaro,40,cut,16,infaro,40,-10
infaro,40,infaro,40,cut,17,infaro,40,-10
infaro,40,infaro,40,cut,18,infaro,40,-10
infaro,40,infaro,40,cut,19,infaro,40,-10
infaro,40,infaro,40,cut,20,infaro,40,-10
infaro,40,infaro,40,cut,21,infaro,40,-10
infaro,40,infaro,40,cut,22,infaro,40,-10
infaro,40,infaro,40,cut,23,infaro,40,-10
infaro,40,infaro,40,cut,24,infaro,40,-10
infaro,40,infaro,40,cut,25,infaro,40,-10
infaro,40,infaro,40,cut,26,infaro,40,-10
infaro,40,infaro,40,cut,27,infaro,40,-10
infaro,40,infaro,40,cut,28,infaro,40,-10
infaro,40,infaro,40,cut,29,infaro,40,0
infaro,40,infaro,40,cut,30,infaro,40,0
infaro,40,infaro,40,cut,31,infaro,40,0
infaro,40,infaro,40,cut,32,infaro,40,0
infaro,40,infaro,40,cut,33,infaro,40,0
infaro,40,infaro,40,cut,34,infaro,40,0
infaro,40,infaro,40,cut,35,infaro,40,0
infaro,40,infaro,40,cut,36,infaro,40,0
infaro,40,infaro,40,cut,37,infaro,40,0
infaro,40,infaro,40,cut,38,infaro,40,0
infaro,40,infaro,40,cut,39,infaro,40,0
infaro,40,infaro,40,cut,40,infaro,40,290
infaro,40,infaro,40,cut,41,infaro,40,0
infaro,40,infaro,40,cut,42,infaro,40,0
infaro,40,infaro,40,cut,43,infaro,40,0
infaro,40,infaro,40,cut,44,infaro,40,0
infaro,40,infaro,40,cut,45,infaro,40,0
infaro,40,infaro,40,cut,46,infaro,40,0
infaro,40,infaro,40,cut,47,infaro,40,0
infaro,40,infaro,40,cut,48,infaro,40,0
infaro,40,infaro,40,cut,49,infaro,40,0
infaro,40,infaro,40,cut,50,infaro,40,0
infaro,40,infaro,40,cut,51,infaro,40,0
infaro,40,infaro,40,slipcut,2,infaro,40,0
infaro,40,infaro,40,slipcut,3,infaro,40,-10
infaro,40,infaro,40,slipcut,4,infaro,40,-10
infaro,40,infaro,40,slipcut,5,infaro,40,-10
infaro,40,infaro,40,slipcut,6,infaro,40,-10
infaro,40,infaro,40,slipcut,7,infaro,40,-10
infaro,40,infaro,40,slipcut,8,infaro,40,-10
infaro,40,infaro,40,slipcut,9,infaro,40,-10
infaro,40,infaro,40,slipcut,10,infaro,40,-10
infaro,40,infaro,40,slipcut,11,infaro,40,-10
infaro,40,infaro,40,slipcut,12,infaro,40,-10
infaro,40,infaro,40,slipcut,13,infaro,40,-10
infaro,40,infaro,40,slipcut,14,infaro,40,-10
infaro,40,infaro,40,slipcut,15,infaro,40,-10
infaro,40,infaro,40,slipcut,16,infaro,40,-10
infaro,40,infaro,40,slipcut,17,infaro,40,-10
infaro,40,infaro,40,slipcut,18,infaro,40,-10
infaro,40,infaro,40,slipcut,19,infaro,40,-10
infaro,40,infaro,40,slipcut,20,infaro,40,-10
infaro,40,infaro,40,slipcut,21,infaro,40,-10
infaro,40,infaro,40,slipcut,22,infaro,40,-10
infaro,40,infaro,40,slipcut,23,infaro,40,-10
infaro,40,infaro,40,slipcut,24,infaro,40,-10
infaro,40,infaro,40,slipcut,25,infaro,40,-10
infaro,40,infaro,40,slipcut,26,infaro,40,-10
infaro,40,infaro,40,slipcut,27,infaro,40,-10
infaro,40,infaro,40,slipcut,28,infaro,40,-10
infaro,40,infaro,40,slipcut,29,infaro,40,-10
infaro,40,infaro,40,slipcut,30,infaro,40,-10
infaro,40,infaro,40,slipcut,31,infaro,40,-10
infaro,40,infaro,40,slipcut,32,infaro,40,-10
infaro,40,infaro,40,slipcut,33,infaro,40,-10
infaro,40,infaro,40,slipcut,34,infaro,40,-10
infaro,40,infaro,40,slipcut,35,infaro,40,-10
infaro,40,infaro,40,slipcut,36,infaro,40,-10
infaro,40,infaro,40,slipcut,37,infaro,40,-10
infaro,40,infaro,40,slipcut,38,infaro,40,-10
infaro,40,infaro,40,slipcut,39,infaro,40,-10
infaro,40,infaro,40,slipcut,40,infaro,40,-10
infaro,40,infaro,40,slipcut,41,infaro,40,-10
infaro,40,infaro,40,slipcut,42,infaro,40,-10
infaro,40,infaro,40,slipcut,43,infaro,40,-10
infaro,40,infaro,40,slipcut,44,infaro,40,-10
infaro,40,infaro,40,slipcut,45,infaro,40,-10
infaro,40,infaro,40,slipcut,46,infaro,40,-10
infaro,40,infaro,40,slipcut,47,infaro,40,-10
infaro,40,infaro,40,slipcut,48,infaro,40,-10
infaro,40,infaro,40,slipcut,49,infaro,40,-10
infaro,40,infaro,40,slipcut,50,infaro,40,-10
infaro,40,infaro,40,slipcut,51,infaro,40,-10
infaro,40,infaro,40,slipcut,2,infaro,40,-10
infaro,40,infaro,40,slipcut,3,infaro,40,-10
infaro,40,infaro,40,slipcut,4,infaro,40,-10
infaro,40,infaro,40,slipcut,5,infaro,40,-10
infaro,40,infaro,40,slipcut,6,infaro,40,-10
infaro,40,infaro,40,slipcut,7,infaro,40,-10
infaro,40,infaro,40,slipcut,8,infaro,40,-10
infaro,40,infaro,40,slipcut,9,infaro,40,-10
infaro,40,infaro,40,slipcut,10,infaro,40,-10
infaro,40,infaro,40,slipcut,11,infaro,40,-10
infaro,40,infaro,40,slipcut,12,infaro,40,-10
infaro,40,infaro,40,slipcut,13,infaro,40,-10
infaro,40,infaro,40,slipcut,14,infaro,40,-10
infaro,40,infaro,40,slipcut,15,infaro,40,-10
infaro,40,infaro,40,slipcut,16,infaro,40,-10
infaro,40,infaro,40,slipcut,17,infaro,40,-10
infaro,40,infaro,40,slipcut,18,infaro,40,-10
infaro,40,infaro,40,slipcut,19,infaro,40,-10
infaro,40,infaro,40,slipcut,20,infaro,40,-10
infaro,40,infaro,40,slipcut,21,infaro,40,-10
infaro,40,infaro,40,slipcut,22,infaro,40,-10
infaro,40,infaro,40,slipcut,23,infaro,40,-10
infaro,40,infaro,40,slipcut,24,infaro,40,-10
infaro,40,infaro,40,slipcut,25,infaro,40,-10
infaro,40,infaro,40,slipcut,26,infaro,40,-10
infaro,40,infaro,40,slipcut,27,infaro,40,-10
infaro,40,infaro,40,slipcut,28,infaro,40,-10
infaro,40,infaro,40,slipcut,29,infaro,40,-10
infaro,40,infaro,40,slipcut,30,infaro,40,0
infaro,40,infaro,40,slipcut,31,infaro,40,-10
infaro,40,infaro,40,slipcut,32,infaro,40,-10
infaro,40,infaro,40,slipcut,33,infaro,40,-10
infaro,40,infaro,40,slipcut,34,infaro,40,-10
infaro,40,infaro,40,slipcut,35,infaro,40,-10
infaro,40,infaro,40,slipcut,36,infaro,40,-10
infaro,40,infaro,40,slipcut,37,infaro,40,-10
infaro,40,infaro,40,slipcut,38,infaro,40,-10
infaro,40,infaro,40,slipcut,39,infaro,40,-10
infaro,40,infaro,40,slipcut,40,infaro,40,-10
infaro,40,infaro,40,slipcut,41,infaro,40,-10
infaro,40,infaro,40,slipcut,42,infaro,40,-10
infaro,40,infaro,40,slipcut,43,infaro,40,-10
infaro,40,infaro,40,slipcut,44,infaro,40,-10
infaro,40,infaro,40,slipcut,45,infaro,40,-10
infaro,40,infaro,40,slipcut,46,infaro,40,-10
infaro,40,infaro,40,slipcut,47,infaro,40,-10
infaro,40,infaro,40,slipcut,48,infaro,40,-10
infaro,40,infaro,40,slipcut,49,infaro,40,-10
infaro,40,infaro,40,slipcut,50,infaro,40,-10
infaro,40,infaro,40,slipcut,51,infaro,40,-10
infaro,40,infaro,40,peal,2,infaro,40,0
infaro,40,infaro,40,peal,3,infaro,40,-10
infaro,40,infaro,40,peal,4,infaro,40,-10
infaro,40,infaro,40,peal,5,infaro,40,0
infaro,40,infaro,40,peal,6,infaro,40,-10
infaro,40,infaro,40,peal,7,infaro,40,-10
infaro,40,infaro,40,peal,8,infaro,40,0
infaro,40,infaro,40,peal,9,infaro,40,-10
infaro,40,infaro,40,peal,10,infaro,40,-10
infaro,40,infaro,40,peal,11,infaro,40,0
infaro,40,infaro,40,peal,12,infaro,40,-10
infaro,40,infaro,40,peal,13,infaro,40,-10
infaro,40,infaro,40,peal,14,infaro,40,0
infaro,40,infaro,40,peal,15,infaro,40,-10
infaro,40,infaro,40,peal,16,infaro,40,-10
infaro,40,infaro,40,peal,17,infaro,40,0
infaro,40,infaro,40,peal,18,infaro,40,-10
infaro,40,infaro,40,peal,19,infaro,40,-10
infaro,40,infaro,40,peal,20,infaro,40,0
infaro,40,infaro,40,peal,21,infaro,40,-10
infaro,40,infaro,40,peal,22,infaro,40,-10
infaro,40,infaro,40,peal,23,infaro,40,0
infaro,40,infaro,40,peal,24,infaro,40,-10
infaro,40,infaro,40,peal,25,infaro,40,-10
infaro,40,infaro,40,peal,26,infaro,40,0
infaro,40,infaro,40,peal,27,infaro,40,-10
infaro,40,infaro,40,peal,28,infaro,40,-10
infaro,40,infaro,40,peal,29,infaro,40,0
infaro,40,infaro,40,peal,30,infaro,40,-10
infaro,40,infaro,40,peal,31,infaro,40,-10
infaro,40,infaro,40,peal,32,infaro,40,0
infaro,40,infaro,40,peal,33,infaro,40,-10
infaro,40,infaro,40,peal,34,infaro,40,-10
infaro,40,infaro,40,peal,35,infaro,40,0
infaro,40,infaro,40,peal,36,infaro,40,-10
infaro,40,infaro,40,peal,37,infaro,40,0
infaro,40,infaro,40,peal,38,infaro,40,-10
infaro,40,infaro,40,peal,39,infaro,40,0
infaro,40,infaro,40,peal,40,infaro,40,-10
infaro,40,infaro,40,peal,41,infaro,40,10
infaro,40,infaro,40,peal,42,infaro,40,-10
infaro,40,infaro,40,peal,43,infaro,40,0
infaro,40,infaro,40,peal,44,infaro,40,0
infaro,40,infaro,40,peal,45,infaro,40,0
infaro,40,infaro,40,peal,46,infaro,40,-10
infaro,40,infaro,40,peal,47,infaro,40,10
infaro,40,infaro,40,peal,48,infaro,40,-10
infaro,40,infaro,40,peal,49,infaro,40,0
infaro,40,infaro,40,peal,50,infaro,40,0
infaro,40,infaro,40,peal,51,infaro,40,0
infaro,40,infaro,40,pealup,2,infaro,40,-10
infaro,40,infaro,40,pealup,3,infaro,40,-10
infaro,40,infaro,40,pealup,4,infaro,40,-10
infaro,40,infaro,40,pealup,5,infaro,40,-10
infaro,40,infaro,40,pealup,6,infaro,40,-10
infaro,40,infaro,40,pealup,7,infaro,40,-10
infaro,40,infaro,40,pealup,8,infaro,40,-10
infaro,40,infaro,40,pealup,9,infaro,40,-10
infaro,40,infaro,40,pealup,10,infaro,40,-10
infaro,40,infaro,40,pealup,11,infaro,40,-10
infaro,40,infaro,40,pealup,12,infaro,40,-10
infaro,40,infaro,40,pealup,13,infaro,40,0
infaro,40,infaro,40,pealup,14,infaro,40,-10
infaro,40,infaro,40,pealup,15,infaro,40,0
infaro,40,infaro,40,pealup,16,infaro,40,-10
infaro,40,infaro,40,pealup,17,infaro,40,0
infaro,40,infaro,40,pealup,18,infaro,40,-10
infaro,40,infaro,40,pealup,19,infaro,40,0
infaro,40,infaro,40,pealup,20,infaro,40,-10
infaro,40,infaro,40,pealup,21,infaro,40,0
infaro,40,infaro,40,pealup,22,infaro,40,-10
infaro,40,infaro,40,pealup,23,infaro,40,0
infaro,40,infaro,40,pealup,24,infaro,40,-10
