maintained,technique,is,INFAROUP,and,the,number,is,30
infaroup,30,infaroup,30,cut,1,infaroup,30,80
infaroup,30,infaroup,30,cut,2,infaroup,30,80
infaroup,30,infaroup,30,cut,3,infaroup,30,80
infaroup,30,infaroup,30,cut,4,infaroup,30,80
infaroup,30,infaroup,30,cut,5,infaroup,30,80
infaroup,30,infaroup,30,cut,6,infaroup,30,80
infaroup,30,infaroup,30,cut,7,infaroup,30,80
infaroup,30,infaroup,30,cut,8,infaroup,30,60
infaroup,30,infaroup,30,cut,9,infaroup,30,40
infaroup,30,infaroup,30,cut,10,infaroup,30,20
infaroup,30,infaroup,30,cut,11,infaroup,30,0
infaroup,30,infaroup,30,cut,12,infaroup,30,0
infaroup,30,infaroup,30,cut,13,infaroup,30,0
infaroup,30,infaroup,30,cut,14,infaroup,30,0
infaroup,30,infaroup,30,cut,15,infaroup,30,0
infaroup,30,infaroup,30,cut,16,infaroup,30,0
infaroup,30,infaroup,30,cut,17,infaroup,30,0
infaroup,30,infaroup,30,cut,18,infaroup,30,0
infaroup,30,infaroup,30,cut,19,infaroup,30,0
infaroup,30,infaroup,30,cut,20,infaroup,30,0
infaroup,30,infaroup,30,cut,21,infaroup,30,0
infaroup,30,infaroup,30,cut,22,infaroup,30,0
infaroup,30,infaroup,30,cut,23,infaroup,30,0
infaroup,30,infaroup,30,cut,24,infaroup,30,0
infaroup,30,infaroup,30,cut,25,infaroup,30,0
infaroup,30,infaroup,30,cut,26,infaroup,30,0
infaroup,30,infaroup,30,cut,27,infaroup,30,0
infaroup,30,infaroup,30,cut,28,infaroup,30,0
infaroup,30,infaroup,30,cut,29,infaroup,30,0
infaroup,30,infaroup,30,cut,30,infaroup,30,0
infaroup,30,infaroup,30,cut,31,infaroup,30,0
infaroup,30,infaroup,30,cut,32,infaroup,30,0
infaroup,30,infaroup,30,cut,33,infaroup,30,0
infaroup,30,infaroup,30,cut,34,infaroup,30,0
infaroup,30,infaroup,30,cut,35,infaroup,30,0
infaroup,30,infaroup,30,cut,36,infaroup,30,0
infaroup,30,infaroup,30,cut,37,infaroup,30,0
infaroup,30,infaroup,30,cut,38,infaroup,30,10
infaroup,30,infaroup,30,cut,39,infaroup,30,30
infaroup,30,infaroup,30,cut,40,infaroup,30,50
infaroup,30,infaroup,30,cut,41,infaroup,30,70
infaroup,30,infaroup,30,cut,42,infaroup,30,80
infaroup,30,infaroup,30,cut,43,infaroup,30,80
