maintained,technique,is,OUTFARO,and,the,number,is,40
outfaro,40,outfaro,40,cut,1,outfaro,40,-10
outfaro,40,outfaro,40,cut,2,outfaro,40,-10
outfaro,40,outfaro,40,cut,3,outfaro,40,-10
outfaro,40,outfaro,40,cut,4,outfaro,40,-10
outfaro,40,outfaro,40,cut,5,outfaro,40,-10
outfaro,40,outfaro,40,cut,6,outfaro,40,-10
outfaro,40,outfaro,40,cut,7,outfaro,40,-10
outfaro,40,outfaro,40,cut,8,outfaro,40,-10
outfaro,40,outfaro,40,cut,9,outfaro,40,-10
outfaro,40,outfaro,40,cut,10,outfaro,40,-10
outfaro,40,outfaro,40,cut,11,outfaro,40,-10
outfaro,40,outfaro,40,cut,12,outfaro,40,-10
outfaro,40,outfaro,40,cut,13,outfaro,40,-10
outfaro,40,outfaro,40,cut,14,outfaro,40,-10
outfaro,40,outfaro,40,cut,15,outfaro,40,-10
outfaro,40,outfaro,40,cut,16,outfaro,40,-10
outfaro,40,outfaro,40,cut,17,outfaro,40,-10
outfaro,40,outfaro,40,cut,18,outfaro,40,-10
outfaro,40,outfaro,40,cut,19,outfaro,40,-10
outfaro,40,outfaro,40,cut,20,outfaro,40,-10
outfaro,40,outfaro,40,cut,21,outfaro,40,-10
outfaro,40,outfaro,40,cut,22,outfaro,40,-10
outfaro,40,outfaro,40,cut,23,outfaro,40,-10
outfaro,40,outfaro,40,cut,24,outfaro,40,-10
outfaro,40,outfaro,40,cut,25,outfaro,40,-10
outfaro,40,outfaro,40,cut,26,outfaro,40,-10
outfaro,40,outfaro,40,cut,27,outfaro,40,-10
outfaro,40,outfaro,40,cut,28,outfaro,40,0
outfaro,40,outfaro,40,cut,29,outfaro,40,0
outfaro,40,outfaro,40,cut,30,outfaro,40,0
outfaro,40,outfaro,40,cut,31,outfaro,40,0
outfaro,40,outfaro,40,cut,32,outfaro,40,0
outfaro,40,outfaro,40,cut,33,outfaro,40,0
outfaro,40,outfaro,40,cut,34,outfaro,40,0
outfaro,40,outfaro,40,cut,35,outfaro,40,0
outfaro,40,outfaro,40,cut,36,outfaro,40,0
outfaro,40,outfaro,40,cut,37,outfaro,40,0
outfaro,40,outfaro,40,cut,38,outfaro,40,0
outfaro,40,outfaro,40,cut,39,outfaro,40,0
outfaro,40,outfaro,40,cut,40,outfaro,40,270
outfaro,40,outfaro,40,cut,41,outfaro,40,0
outfaro,40,outfaro,40,cut,42,outfaro,40,0
outfaro,40,outfaro,40,cut,43,outfaro,40,0
outfaro,40,outfaro,40,cut,44,outfaro,40,0
outfaro,40,outfaro,40,cut,45,outfaro,40,0
outfaro,40,outfaro,40,cut,46,outfaro,40,0
outfaro,40,outfaro,40,cut,47,outfaro,40,0
outfaro,40,outfaro,40,cut,48,outfaro,40,0
outfaro,40,outfaro,40,cut,49,outfaro,40,0
outfaro,40,outfaro,40,cut,50,outfaro,40,0
outfaro,40,outfaro,40,cut,51,outfaro,40,0
outfaro,40,outfaro,40,slipcut,2,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,3,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,4,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,5,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,6,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,7,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,8,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,9,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,10,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,11,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,12,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,13,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,14,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,15,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,16,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,17,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,18,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,19,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,20,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,21,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,22,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,23,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,24,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,25,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,26,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,27,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,28,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,29,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,30,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,31,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,32,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,33,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,34,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,35,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,36,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,37,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,38,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,39,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,40,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,41,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,42,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,43,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,44,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,45,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,46,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,47,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,48,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,49,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,50,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,51,outfaro,40,-10
outfaro,40,outfaro,40,slipcut,2,outfaro,40,0
outfaro,40,outfaro,40,slipcut,3,outfaro,40,0
outfaro,40,outfaro,40,slipcut,4,outfaro,40,0
outfaro,40,outfaro,40,slipcut,5,outfaro,40,0
outfaro,40,outfaro,40,slipcut,6,outfaro,40,0
outfaro,40,outfaro,40,slipcut,7,outfaro,40,0
outfaro,40,outfaro,40,slipcut,8,outfaro,40,0
outfaro,40,outfaro,40,slipcut,9,outfaro,40,0
outfaro,40,outfaro,40,slipcut,10,outfaro,40,0
outfaro,40,outfaro,40,slipcut,11,outfaro,40,0
outfaro,40,outfaro,40,slipcut,12,outfaro,40,0
outfaro,40,outfaro,40,slipcut,13,outfaro,40,0
outfaro,40,outfaro,40,slipcut,14,outfaro,40,0
outfaro,40,outfaro,40,slipcut,15,outfaro,40,0
outfaro,40,outfaro,40,slipcut,16,outfaro,40,0
outfaro,40,outfaro,40,slipcut,17,outfaro,40,0
outfaro,40,outfaro,40,slipcut,18,outfaro,40,0
outfaro,40,outfaro,40,slipcut,19,outfaro,40,0
outfaro,40,outfaro,40,slipcut,20,outfaro,40,0
outfaro,40,outfaro,40,slipcut,21,outfaro,40,0
outfaro,40,outfaro,40,slipcut,22,outfaro,40,0
outfaro,40,outfaro,40,slipcut,23,outfaro,40,0
outfaro,40,outfaro,40,slipcut,24,outfaro,40,0
outfaro,40,outfaro,40,slipcut,25,outfaro,40,0
outfaro,40,outfaro,40,slipcut,26,outfaro,40,0
outfaro,40,outfaro,40,slipcut,27,outfaro,40,0
outfaro,40,outfaro,40,slipcut,28,outfaro,40,0
outfaro,40,outfaro,40,slipcut,29,outfaro,40,10
outfaro,40,outfaro,40,slipcut,30,outfaro,40,0
outfaro,40,outfaro,40,slipcut,31,outfaro,40,0
outfaro,40,outfaro,40,slipcut,32,outfaro,40,0
outfaro,40,outfaro,40,slipcut,33,outfaro,40,0
outfaro,40,outfaro,40,slipcut,34,outfaro,40,0
outfaro,40,outfaro,40,slipcut,35,outfaro,40,0
outfaro,40,outfaro,40,slipcut,36,outfaro,40,0
outfaro,40,outfaro,40,slipcut,37,outfaro,40,0
outfaro,40,outfaro,40,slipcut,38,outfaro,40,0
outfaro,40,outfaro,40,slipcut,39,outfaro,40,0
outfaro,40,outfaro,40,slipcut,40,outfaro,40,0
outfaro,40,outfaro,40,slipcut,41,outfaro,40,0
outfaro,40,outfaro,40,slipcut,42,outfaro,40,0
outfaro,40,outfaro,40,slipcut,43,outfaro,40,0
outfaro,40,outfaro,40,slipcut,44,outfaro,40,0
outfaro,40,outfaro,40,slipcut,45,outfaro,40,0
outfaro,40,outfaro,40,slipcut,46,outfaro,40,0
outfaro,40,outfaro,40,slipcut,47,outfaro,40,0
outfaro,40,outfaro,40,slipcut,48,outfaro,40,0
outfaro,40,outfaro,40,slipcut,49,outfaro,40,0
outfaro,40,outfaro,40,slipcut,50,outfaro,40,0
outfaro,40,outfaro,40,slipcut,51,outfaro,40,10
outfaro,40,outfaro,40,peal,2,outfaro,40,-10
outfaro,40,outfaro,40,peal,3,outfaro,40,-10
outfaro,40,outfaro,40,peal,4,outfaro,40,0
outfaro,40,outfaro,40,peal,5,outfaro,40,-10
outfaro,40,outfaro,40,peal,6,outfaro,40,-10
outfaro,40,outfaro,40,peal,7,outfaro,40,0
outfaro,40,outfaro,40,peal,8,outfaro,40,-10
outfaro,40,outfaro,40,peal,9,outfaro,40,-10
outfaro,40,outfaro,40,peal,10,outfaro,40,0
outfaro,40,outfaro,40,peal,11,outfaro,40,-10
outfaro,40,outfaro,40,peal,12,outfaro,40,-10
outfaro,40,outfaro,40,peal,13,outfaro,40,0
outfaro,40,outfaro,40,peal,14,outfaro,40,-10
outfaro,40,outfaro,40,peal,15,outfaro,40,-10
outfaro,40,outfaro,40,peal,16,outfaro,40,0
outfaro,40,outfaro,40,peal,17,outfaro,40,-10
outfaro,40,outfaro,40,peal,18,outfaro,40,-10
outfaro,40,outfaro,40,peal,19,outfaro,40,0
outfaro,40,outfaro,40,peal,20,outfaro,40,-10
outfaro,40,outfaro,40,peal,21,outfaro,40,-10
outfaro,40,outfaro,40,peal,22,outfaro,40,0
outfaro,40,outfaro,40,peal,23,outfaro,40,-10
outfaro,40,outfaro,40,peal,24,outfaro,40,-10
outfaro,40,outfaro,40,peal,25,outfaro,40,0
outfaro,40,outfaro,40,peal,26,outfaro,40,-10
outfaro,40,outfaro,40,peal,27,outfaro,40,-10
outfaro,40,outfaro,40,peal,28,outfaro,40,0
outfaro,40,outfaro,40,peal,29,outfaro,40,-10
outfaro,40,outfaro,40,peal,30,outfaro,40,-10
outfaro,40,outfaro,40,peal,31,outfaro,40,0
outfaro,40,outfaro,40,peal,32,outfaro,40,-10
outfaro,40,outfaro,40,peal,33,outfaro,40,-10
outfaro,40,outfaro,40,peal,34,outfaro,40,0
outfaro,40,outfaro,40,peal,35,outfaro,40,-10
outfaro,40,outfaro,40,peal,36,outfaro,40,-10
outfaro,40,outfaro,40,peal,37,outfaro,40,0
outfaro,40,outfaro,40,peal,38,outfaro,40,-10
outfaro,40,outfaro,40,peal,39,outfaro,40,0
outfaro,40,outfaro,40,peal,40,outfaro,40,-10
outfaro,40,outfaro,40,peal,41,outfaro,40,0
outfaro,40,outfaro,40,peal,42,outfaro,40,0
outfaro,40,outfaro,40,peal,43,outfaro,40,0
outfaro,40,outfaro,40,peal,44,outfaro,40,-10
outfaro,40,outfaro,40,peal,45,outfaro,40,10
outfaro,40,outfaro,40,peal,46,outfaro,40,-10
outfaro,40,outfaro,40,peal,47,outfaro,40,0
outfaro,40,outfaro,40,peal,48,outfaro,40,0
outfaro,40,outfaro,40,peal,49,outfaro,40,0
outfaro,40,outfaro,40,peal,50,outfaro,40,-10
outfaro,40,outfaro,40,peal,51,outfaro,40,10
outfaro,40,outfaro,40,pealup,2,outfaro,40,0
outfaro,40,outfaro,40,pealup,3,outfaro,40,0
outfaro,40,outfaro,40,pealup,4,outfaro,40,0
outfaro,40,outfaro,40,pealup,5,outfaro,40,0
outfaro,40,outfaro,40,pealup,6,outfaro,40,0
outfaro,40,outfaro,40,pealup,7,outfaro,40,0
outfaro,40,outfaro,40,pealup,8,outfaro,40,0
outfaro,40,outfaro,40,pealup,9,outfaro,40,0
outfaro,40,outfaro,40,pealup,10,outfaro,40,0
outfaro,40,outfaro,40,pealup,11,outfaro,40,0
outfaro,40,outfaro,40,pealup,12,outfaro,40,0
outfaro,40,outfaro,40,pealup,13,outfaro,40,10
outfaro,40,outfaro,40,pealup,14,outfaro,40,0
outfaro,40,outfaro,40,pealup,15,outfaro,40,10
outfaro,40,outfaro,40,pealup,16,outfaro,40,0
outfaro,40,outfaro,40,pealup,17,outfaro,40,10
outfaro,40,outfaro,40,pealup,18,outfaro,40,0
outfaro,40,outfaro,40,pealup,19,outfaro,40,10
outfaro,40,outfaro,40,pealup,20,outfaro,40,0
outfaro,40,outfaro,40,pealup,21,outfaro,40,10
outfaro,40,outfaro,40,pealup,22,outfaro,40,0
outfaro,40,outfaro,40,pealup,23,outfaro,40,10
outfaro,40,outfaro,40,pealup,24,outfaro,40,0
outfaro,40,outfaro,40,pealup,25,outfaro,40,10
outfaro,40,outfaro,40,pealup,26,outfaro,40,0
outfaro,40,outfaro,40,pealup,27,outfaro,40,10
outfaro,40,outfaro,40,pealup,28,outfaro,40,0
outfaro,40,outfaro,40,pealup,29,outfaro,40,20
outfaro,40,outfaro,40,pealup,30,outfaro,40,0
outfaro,40,outfaro,40,pealup,31,outfaro,40,10
outfaro,40,outfaro,40,pealup,32,outfaro,40,10
outfaro,40,outfaro,40,pealup,33,outfaro,40,10
outfaro,40,outfaro,40,pealup,34,outfaro,40,0
outfaro,40,outfaro,40,pealup,35,outfaro,40,20
outfaro,40,outfaro,40,pealup,36,outfaro,40,0
outfaro,40,outfaro,40,pealup,37,outfaro,40,10
outfaro,40,outfaro,40,pealup,38,outfaro,40,10
outfaro,40,outfaro,40,pealup,39,outfaro,40,10
outfaro,40,outfaro,40,pealup,40,outfaro,40,0
outfaro,40,outfaro,40,pealup,41,outfaro,40,20
outfaro,40,outfaro,40,pealup,42,outfaro,40,0
outfaro,40,outfaro,40,pealup,43,outfaro,40,10
outfaro,40,outfaro,40,pealup,44,outfaro,40,10
outfaro,40,outfaro,40,pealup,45,outfaro,40,10
outfaro,40,outfaro,40,pealup,46,outfaro,40,0
outfaro,40,outfaro,40,pealup,47,outfaro,40,20
outfaro,40,outfaro,40,pealup,48,outfaro,40,0
outfaro,40,outfaro,40,pealup,49,outfaro,40,10
outfaro,40,outfaro,40,pealup,50,outfaro,40,10
outfaro,40,outfaro,40,pealup,51,outfaro,40,10
outfaro,40,outfaro,40,infaro,10,outfaro,40,-10
outfaro,40,outfaro,40,infaro,11,outfaro,40,-10
outfaro,40,outfaro,40,infaro,12,outfaro,40,-10
outfaro,40,outfaro,40,infaro,13,outfaro,40,-10
outfaro,40,outfaro,40,infaro,14,outfaro,40,-10
outfaro,40,outfaro,40,infaro,15,outfaro,40,-10
outfaro,40,outfaro,40,infaro,16,outfaro,40,-10
outfaro,40,outfaro,40,infaro,17,outfaro,40,-10
outfaro,40,outfaro,40,infaro,18,outfaro,40,-10
outfaro,40,outfaro,40,infaro,19,outfaro,40,-10
outfaro,40,outfaro,40,infaro,20,outfaro,40,-10
outfaro,40,outfaro,40,infaro,21,outfaro,40,-10
outfaro,40,outfaro,40,infaro,22,outfaro,40,-10
outfaro,40,outfaro,40,infaro,23,outfaro,40,-10
outfaro,40,outfaro,40,infaro,24,outfaro,40,-10
outfaro,40,outfaro,40,infaro,25,outfaro,40,-10
outfaro,40,outfaro,40,infaro,26,outfaro,40,-10
outfaro,40,outfaro,40,infaro,27,outfaro,40,-10
outfaro,40,outfaro,40,infaro,28,outfaro,40,-10
outfaro,40,outfaro,40,infaro,29,outfaro,40,-10
outfaro,40,outfaro,40,infaro,30,outfaro,40,-10
outfaro,40,outfaro,40,infaro,31,outfaro,40,-10
outfaro,40,outfaro,40,infaro,32,outfaro,40,-10
outfaro,40,outfaro,40,infaro,33,outfaro,40,-10
outfaro,40,outfaro,40,infaro,34,outfaro,40,-10
outfaro,40,outfaro,40,infaro,35,outfaro,40,-10
outfaro,40,outfaro,40,infaro,36,outfaro,40,-10
outfaro,40,outfaro,40,infaro,37,outfaro,40,-10
outfaro,40,outfaro,40,infaro,38,outfaro,40,-10
outfaro,40,outfaro,40,infaro,39,outfaro,40,-10
outfaro,40,outfaro,40,infaro,40,outfaro,40,270
outfaro,40,outfaro,40,infaro,41,outfaro,40,0
outfaro,40,outfaro,40,infaro,42,outfaro,40,0
outfaro,40,outfaro,40,infaroup,10,outfaro,40,0
outfaro,40,outfaro,40,infaroup,11,outfaro,40,0
outfaro,40,outfaro,40,infaroup,12,outfaro,40,10
outfaro,40,outfaro,40,infaroup,13,outfaro,40,10
outfaro,40,outfaro,40,infaroup,14,outfaro,40,10
outfaro,40,outfaro,40,infaroup,15,outfaro,40,10
outfaro,40,outfaro,40,infaroup,16,outfaro,40,10
outfaro,40,outfaro,40,infaroup,17,outfaro,40,10
outfaro,40,outfaro,40,infaroup,18,outfaro,40,10
outfaro,40,outfaro,40,infaroup,19,outfaro,40,10
outfaro,40,outfaro,40,infaroup,20,outfaro,40,10
outfaro,40,outfaro,40,infaroup,21,outfaro,40,10
outfaro,40,outfaro,40,infaroup,22,outfaro,40,10
outfaro,40,outfaro,40,infaroup,23,outfaro,40,10
outfaro,40,outfaro,40,infaroup,24,outfaro,40,10
outfaro,40,outfaro,40,infaroup,25,outfaro,40,10
outfaro,40,outfaro,40,infaroup,26,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,27,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,28,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,29,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,30,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,31,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,32,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,33,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,34,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,35,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,36,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,37,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,38,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,39,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,40,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,41,outfaro,40,-10
outfaro,40,outfaro,40,infaroup,42,outfaro,40,-10
outfaro,40,outfaro,40,outfaro,10,outfaro,40,90
outfaro,40,outfaro,40,outfaro,11,outfaro,40,100
outfaro,40,outfaro,40,outfaro,12,outfaro,40,110
outfaro,40,outfaro,40,outfaro,13,outfaro,40,120
outfaro,40,outfaro,40,outfaro,14,outfaro,40,120
outfaro,40,outfaro,40,outfaro,15,outfaro,40,120
outfaro,40,outfaro,40,outfaro,16,outfaro,40,120
outfaro,40,outfaro,40,outfaro,17,outfaro,40,120
outfaro,40,outfaro,40,outfaro,18,outfaro,40,120
outfaro,40,outfaro,40,outfaro,19,outfaro,40,120
outfaro,40,outfaro,40,outfaro,20,outfaro,40,120
outfaro,40,outfaro,40,outfaro,21,outfaro,40,120
outfaro,40,outfaro,40,outfaro,22,outfaro,40,120
outfaro,40,outfaro,40,outfaro,23,outfaro,40,120
outfaro,40,outfaro,40,outfaro,24,outfaro,40,120
outfaro,40,outfaro,40,outfaro,25,outfaro,40,120
outfaro,40,outfaro,40,outfaro,26,outfaro,40,120
outfaro,40,outfaro,40,outfaro,27,outfaro,40,120
outfaro,40,outfaro,40,outfaro,28,outfaro,40,120
outfaro,40,outfaro,40,outfaro,29,outfaro,40,120
outfaro,40,outfaro,40,outfaro,30,outfaro,40,120
outfaro,40,outfaro,40,outfaro,31,outfaro,40,120
outfaro,40,outfaro,40,outfaro,32,outfaro,40,120
outfaro,40,outfaro,40,outfaro,33,outfaro,40,120
outfaro,40,outfaro,40,outfaro,34,outfaro,40,120
outfaro,40,outfaro,40,outfaro,35,outfaro,40,120
outfaro,40,outfaro,40,outfaro,36,outfaro,40,120
outfaro,40,outfaro,40,outfaro,37,outfaro,40,120
outfaro,40,outfaro,40,outfaro,38,outfaro,40,120
outfaro,40,outfaro,40,outfaro,39,outfaro,40,120
outfaro,40,outfaro,40,outfaro,40,outfaro,40,510
outfaro,40,outfaro,40,outfaro,41,outfaro,40,110
outfaro,40,outfaro,40,outfaro,42,outfaro,40,100
outfaro,40,outfaro,40,outfaroup,10,outfaro,40,0
outfaro,40,outfaro,40,outfaroup,11,outfaro,40,0
outfaro,40,outfaro,40,outfaroup,12,outfaro,40,0
outfaro,40,outfaro,40,outfaroup,13,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,14,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,15,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,16,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,17,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,18,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,19,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,20,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,21,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,22,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,23,outfaro,40,10
outfaro,40,outfaro,40,outfaroup,24,outfaro,40,10
