maintained,technique,is,PEALUP,and,the,number,is,40
pealup,40,cut,1,pealup,40,pealup,40,0
pealup,40,cut,2,pealup,40,pealup,40,-10
pealup,40,cut,3,pealup,40,pealup,40,0
pealup,40,cut,4,pealup,40,pealup,40,-10
pealup,40,cut,5,pealup,40,pealup,40,0
pealup,40,cut,6,pealup,40,pealup,40,-10
pealup,40,cut,7,pealup,40,pealup,40,0
pealup,40,cut,8,pealup,40,pealup,40,-10
pealup,40,cut,9,pealup,40,pealup,40,0
pealup,40,cut,10,pealup,40,pealup,40,-10
pealup,40,cut,11,pealup,40,pealup,40,0
pealup,40,cut,12,pealup,40,pealup,40,-10
pealup,40,cut,13,pealup,40,pealup,40,10
pealup,40,cut,14,pealup,40,pealup,40,-10
pealup,40,cut,15,pealup,40,pealup,40,10
pealup,40,cut,16,pealup,40,pealup,40,-10
pealup,40,cut,17,pealup,40,pealup,40,10
pealup,40,cut,18,pealup,40,pealup,40,-10
pealup,40,cut,19,pealup,40,pealup,40,10
pealup,40,cut,20,pealup,40,pealup,40,-10
pealup,40,cut,21,pealup,40,pealup,40,10
pealup,40,cut,22,pealup,40,pealup,40,-10
pealup,40,cut,23,pealup,40,pealup,40,10
pealup,40,cut,24,pealup,40,pealup,40,-10
pealup,40,cut,25,pealup,40,pealup,40,10
pealup,40,cut,26,pealup,40,pealup,40,-10
pealup,40,cut,27,pealup,40,pealup,40,10
pealup,40,cut,28,pealup,40,pealup,40,-10
pealup,40,cut,29,pealup,40,pealup,40,10
pealup,40,cut,30,pealup,40,pealup,40,-10
pealup,40,cut,31,pealup,40,pealup,40,10
pealup,40,cut,32,pealup,40,pealup,40,-10
pealup,40,cut,33,pealup,40,pealup,40,10
pealup,40,cut,34,pealup,40,pealup,40,-10
pealup,40,cut,35,pealup,40,pealup,40,10
pealup,40,cut,36,pealup,40,pealup,40,-10
pealup,40,cut,37,pealup,40,pealup,40,10
pealup,40,cut,38,pealup,40,pealup,40,-10
